,count,mean,median,std,min,25%,75%,max
MIT_CovidAnalytics-DELPHI,51.0,38051.3,2401.0,96391.6,0.0,82.0,10302.5,498436.0
YYG-ParamSearch,51.0,63782.9,1466.8,240779.8,0.3,128.8,8591.6,1440566.0
IowaStateLW-STEM,51.0,69806.0,3025.0,284164.8,0.0,284.5,29322.0,1996569.0
COVIDhub-ensemble,51.0,94247.4,1721.2,478753.9,0.0,81.6,10471.2,3380318.3
Baseline_0.98,51.0,100163.2,773.3,450129.8,1.0,69.3,11670.9,3027462.1
Baseline,51.0,159458.8,882.9,883504.9,0.1,116.6,10600.0,6271446.9
MOBS_NEU-GLEAM_COVID,51.0,169852.8,4554.3,458479.2,3.0,128.4,41339.0,2690240.1
LANL-GrowthRate,51.0,176281.1,1385.8,749102.5,0.1,40.7,26859.5,5218194.9
CU-select,51.0,259407.4,5776.0,1128815.9,1.0,173.0,47492.5,7784100.0
IHME-CurveFit,51.0,337496.4,4004.2,1193188.3,0.6,428.1,26684.9,7019362.8
UMass-MechBayes,51.0,740627.4,3136.0,4068665.9,9.0,382.5,44642.0,28976689.0
UT-Mobility,51.0,1203610.1,1337.5,7863074.0,0.0,216.5,34226.4,56149330.8
