,count,mean,median,std,min,25%,75%,max
YYG-ParamSearch,51.0,10236.7,255.3,30059.6,2.4,53.8,1903.6,151136.7
UMass-MechBayes,51.0,10836.7,1024.0,24403.2,0.0,64.0,12002.5,145924.0
LANL-GrowthRate,51.0,16530.9,848.1,45442.8,0.0,88.5,3421.9,236647.2
CU-select,51.0,17939.0,1480.3,40507.0,1.0,132.5,14417.0,249001.0
COVIDhub-ensemble,51.0,22764.6,498.0,88892.7,1.1,77.3,7407.1,608040.2
Baseline_0.98,51.0,26664.0,362.0,98296.3,0.0,16.6,2601.6,638626.1
UT-Mobility,51.0,39357.8,816.3,181578.0,0.2,155.4,8379.3,1277868.8
IHME-CurveFit,51.0,59483.8,731.5,214345.8,0.3,58.1,4331.5,1026829.6
Baseline,51.0,59879.1,582.9,224895.6,0.0,53.3,4917.2,1439657.2
MIT_CovidAnalytics-DELPHI,51.0,77581.5,4624.0,212934.3,0.0,145.0,24653.0,1221025.0
UCLA-SuEIR,51.0,129573.0,1509.7,802979.0,2.6,59.7,7784.0,5731304.3
MOBS_NEU-GLEAM_COVID,51.0,210546.7,664.6,1075934.6,0.5,54.5,15189.8,7580020.9
CovidActNow-SEIR_CAN,51.0,300812.7,8761.0,1030384.4,93.6,4219.8,72478.5,6373049.7
