,mean_rank
YYG-ParamSearch,4.3
COVIDhub-ensemble,4.5
UMass-MechBayes,4.8
LANL-GrowthRate,5.0
IHME-CurveFit,5.4
UCLA-SuEIR,5.6
CU-select,6.1
UT-Mobility,6.2
MIT_CovidAnalytics-DELPHI,6.5
MOBS_NEU-GLEAM_COVID,6.7
