,count,mean,median,std,min,25%,75%,max
UMass-MechBayes,51.0,42348.9,3364.0,118385.5,0.0,474.5,38276.5,797449.0
LANL-GrowthRate,51.0,60207.1,4750.2,177209.2,0.3,319.1,18327.2,1005594.0
YYG-ParamSearch,51.0,75797.4,1368.1,217022.9,1.3,112.5,10973.4,1116711.8
COVIDhub-ensemble,51.0,86556.3,1669.9,320323.1,0.8,122.2,25928.0,2131864.9
CU-select,51.0,116743.0,13689.0,305882.2,0.0,1682.0,59780.5,1597696.0
IHME-CurveFit,51.0,144751.8,3308.6,531290.8,4.0,214.5,18398.1,2997323.5
Baseline_0.98,51.0,176354.7,2011.4,711617.4,0.0,154.2,12790.5,4691431.3
MIT_CovidAnalytics-DELPHI,51.0,370275.4,9025.0,1257477.7,0.0,90.5,129260.5,8003241.0
UCLA-SuEIR,51.0,427263.2,4351.5,2709911.2,2.6,171.8,27284.4,19362363.0
Baseline,51.0,592903.4,2571.9,2268522.9,0.0,97.2,25045.2,14568398.4
MOBS_NEU-GLEAM_COVID,51.0,1093248.2,6491.1,4569046.4,5.0,954.1,113513.2,30814537.1
