,count,mean,median,std,min,25%,75%,max
Baseline_0.98,51.0,39.5,12.6,69.2,0.0,3.5,40.3,331.2
Baseline,51.0,41.2,11.4,76.3,0.0,4.9,35.4,411.9
YYG-ParamSearch,51.0,42.8,16.7,76.6,0.2,4.8,40.3,475.9
COVIDhub-ensemble,51.0,44.3,12.8,90.7,0.9,4.5,34.3,481.1
LANL-GrowthRate,51.0,55.7,12.3,110.5,0.0,5.4,71.1,677.1
MOBS_NEU-GLEAM_COVID,51.0,74.7,28.5,120.2,1.0,6.1,104.6,704.2
UMass-MechBayes,51.0,81.2,31.0,174.7,0.0,8.0,76.0,1100.0
CU-select,51.0,82.8,35.0,180.7,0.0,7.0,61.5,1055.0
IHME-CurveFit,51.0,87.9,21.6,175.4,0.3,7.5,83.2,925.4
Auquan-SEIR,51.0,99.1,33.0,272.4,2.0,12.5,89.0,1925.0
MIT_CovidAnalytics-DELPHI,51.0,139.0,32.0,440.5,0.0,7.5,95.0,3099.0
UCLA-SuEIR,51.0,158.7,26.3,650.2,0.4,8.7,104.6,4651.2
IowaStateLW-STEM,51.0,164.6,30.0,688.2,0.0,7.5,119.0,4943.0
UT-Mobility,51.0,175.2,12.7,902.9,0.0,3.7,72.8,6474.6
GT-DeepCOVID,51.0,336.4,62.1,1165.1,0.1,16.5,216.0,8257.2
