,count,mean,median,std,min,25%,75%,max
IowaStateLW-STEM,51.0,68269.6,6889.0,169013.8,1.0,130.0,73730.0,1071225.0
COVIDhub-ensemble,51.0,85709.2,6618.7,290687.3,0.0,169.3,32719.9,1491243.1
MIT_CovidAnalytics-DELPHI,51.0,107728.3,7056.0,294460.6,1.0,260.0,30325.0,1331716.0
YYG-ParamSearch,51.0,140223.9,3175.8,582703.5,3.6,309.6,24116.8,3888731.0
Baseline_0.98,51.0,250741.4,3084.0,1258834.9,0.3,142.4,25804.6,8843376.3
CU-select,51.0,287716.4,9801.0,905504.6,1.0,380.5,88904.0,5550736.0
LANL-GrowthRate,51.0,342315.9,2244.6,1509958.6,0.0,233.6,62350.4,10499718.7
MOBS_NEU-GLEAM_COVID,51.0,352721.6,13163.4,947293.2,0.0,251.1,99011.8,5541687.6
Baseline,51.0,528171.8,2102.9,3164127.5,1.0,229.6,21277.8,22603232.7
IHME-CurveFit,51.0,784341.1,13465.0,2699007.8,1.3,1922.3,89143.6,15802684.1
UMass-MechBayes,51.0,1510575.4,12321.0,6695654.9,25.0,784.0,209040.5,46362481.0
UT-Mobility,51.0,1785238.6,4077.7,10837686.4,0.3,661.2,110776.2,77212624.3
