,count,mean,median,std,min,25%,75%,max
COVIDhub-ensemble,51.0,51.3,19.7,80.1,0.0,5.8,64.2,421.9
YYG-ParamSearch,51.0,69.7,32.0,104.1,0.7,8.7,85.7,547.0
Baseline_0.98,51.0,83.1,24.8,159.3,0.0,5.8,71.7,799.1
LANL-GrowthRate,51.0,93.3,32.2,165.0,0.1,8.6,118.0,1028.3
Baseline,51.0,93.8,16.6,243.3,0.0,5.7,60.9,1199.9
CU-select,51.0,98.2,39.0,155.8,0.0,11.0,141.0,955.0
UMass-MechBayes,51.0,128.4,46.0,265.8,0.0,9.0,125.0,1646.0
IHME-CurveFit,51.0,144.5,28.9,288.2,0.6,8.5,135.1,1408.7
MOBS_NEU-GLEAM_COVID,51.0,163.0,52.7,261.2,0.5,14.2,154.1,1240.6
MIT_CovidAnalytics-DELPHI,51.0,183.9,68.0,369.2,0.0,14.0,163.5,2213.0
UCLA-SuEIR,51.0,190.3,56.2,540.9,0.2,12.1,197.6,3777.6
IowaStateLW-STEM,51.0,200.7,57.0,673.0,0.0,13.0,171.5,4834.0
Auquan-SEIR,51.0,207.3,75.0,596.9,4.0,32.0,141.5,4208.0
UT-Mobility,51.0,245.4,31.4,1047.5,0.0,11.6,132.4,7500.7
GT-DeepCOVID,51.0,389.8,93.7,1127.5,1.8,31.7,282.6,7873.9
