,mean_rank
COVIDhub-ensemble,4.7
LANL-GrowthRate,5.3
YYG-ParamSearch,5.5
UT-Mobility,5.8
UMass-MechBayes,6.8
CU-select,6.8
MOBS_NEU-GLEAM_COVID,7.0
IHME-CurveFit,7.1
UCLA-SuEIR,7.6
IowaStateLW-STEM,7.6
MIT_CovidAnalytics-DELPHI,7.6
Auquan-SEIR,8.5
GT-DeepCOVID,10.6
