,count,mean,median,std,min,25%,75%,max
YYG-ParamSearch,51.0,89777.2,2977.0,266611.2,1.5,349.1,28268.9,1546070.6
LANL-GrowthRate,51.0,169239.2,6023.8,543409.6,0.0,923.2,87563.7,3648921.4
UCLA-SuEIR,51.0,250934.3,20398.2,638100.5,1.6,971.7,117537.2,3018410.5
IHME-CurveFit,51.0,316051.7,6767.2,1018749.1,1.0,354.5,108164.3,6477366.0
Baseline_0.98,51.0,383456.4,3186.7,1626930.6,1.0,224.2,35959.3,9511406.7
MIT_CovidAnalytics-DELPHI,51.0,531125.0,13225.0,2141970.3,1.0,577.0,260734.5,14984641.0
CU-select,51.0,643066.6,19321.0,2758759.2,1.0,1262.5,150312.5,19527561.0
IowaStateLW-STEM,51.0,714808.1,51529.0,3703604.7,4.0,1609.0,269685.0,26512201.0
Baseline,51.0,1517153.7,4374.9,6596311.6,1.0,385.9,40821.8,39370246.6
Auquan-SEIR,51.0,2298214.7,63504.0,11953104.3,9.0,10265.0,466046.5,85377600.0
UT-Mobility,51.0,5279254.3,28754.5,25652281.3,4.9,5703.4,288557.4,160646571.6
