,mean_rank
UMass-MechBayes,5.5
LANL-GrowthRate,5.6
YYG-ParamSearch,6.2
COVIDhub-ensemble,6.5
UCLA-SuEIR,6.9
UT-Mobility,7.3
USACE-ERDC_SEIR,7.9
MOBS_NEU-GLEAM_COVID,8.3
CU-select,8.3
IHME-CurveFit,8.5
PSI-DRAFT,8.7
MIT_CovidAnalytics-DELPHI,8.8
IowaStateLW-STEM,9.5
UA-EpiCovDA,10.9
Auquan-SEIR,12.7
JHU_IDD-CovidSP,14.5
