,total_deaths_2020-06-01,predicted_deaths,actual_deaths,additional_deaths,error,perc_error
Baseline_0.98,105430,110057.0,110123,4693.0,-66.0,-1.4%
GT-DeepCOVID,105430,109936.2,110123,4693.0,-186.8,-4.0%
COVIDhub-ensemble,105430,109916.6,110123,4693.0,-206.4,-4.4%
Baseline,105430,110333.3,110123,4693.0,210.3,4.5%
YYG-ParamSearch,105430,109824.8,110123,4693.0,-298.2,-6.4%
LANL-GrowthRate,105430,109772.6,110123,4693.0,-350.4,-7.5%
MOBS_NEU-GLEAM_COVID,105430,109677.7,110123,4693.0,-445.3,-9.5%
Imperial-combined,105430,110579.0,110123,4693.0,456.0,9.7%
MIT_CovidAnalytics-DELPHI,105430,109637.0,110123,4693.0,-486.0,-10.4%
JHU_IDD-CovidSP,105430,110687.7,110123,4693.0,564.7,12.0%
UCLA-SuEIR,105430,109548.8,110123,4693.0,-574.2,-12.2%
UMass-MechBayes,105430,109468.0,110123,4693.0,-655.0,-14.0%
PSI-DRAFT,105430,109304.5,110123,4693.0,-818.5,-17.4%
UT-Mobility,105430,109215.0,110123,4693.0,-908.0,-19.3%
IHME-CurveFit,105430,109212.4,110123,4693.0,-910.6,-19.4%
Geneva-DeterministicGrowth,105430,109157.0,110123,4693.0,-966.0,-20.6%
CU-select,105430,111348.0,110123,4693.0,1225.0,26.1%
IowaStateLW-STEM,105430,112434.0,110123,4693.0,2311.0,49.2%
SWC-TerminusCM,105430,107694.0,110123,4693.0,-2429.0,-51.8%
UA-EpiCovDA,105430,113771.0,110123,4693.0,3648.0,77.7%
Covid19Sim-Simulator,105430,105541.1,110123,4693.0,-4581.9,-97.6%
Auquan-SEIR,105430,116559.0,110123,4693.0,6436.0,137.1%
USACE-ERDC_SEIR,105430,103530.8,110123,4693.0,-6592.2,-140.5%
CovidActNow-SEIR_CAN,105430,,110123,4693.0,,
GT_CHHS-COVID19,105430,,110123,4693.0,,
NotreDame-FRED,105430,,110123,4693.0,,
