,total_deaths_2020-06-01,predicted_deaths,actual_deaths,additional_deaths,error,perc_error
GT-DeepCOVID,105430,115471.1,115436,10006,35.1,0.4%
Baseline_0.98,105430,115580.9,115436,10006,144.9,1.4%
LANL-GrowthRate,105430,115230.4,115436,10006,-205.6,-2.1%
YYG-ParamSearch,105430,115665.2,115436,10006,229.2,2.3%
PSI-DRAFT,105430,115172.0,115436,10006,-264.0,-2.6%
UMass-MechBayes,105430,115785.0,115436,10006,349.0,3.5%
COVIDhub-ensemble,105430,115966.0,115436,10006,530.0,5.3%
MIT_CovidAnalytics-DELPHI,105430,114860.0,115436,10006,-576.0,-5.8%
MOBS_NEU-GLEAM_COVID,105430,114648.9,115436,10006,-787.1,-7.9%
UCLA-SuEIR,105430,114410.9,115436,10006,-1025.1,-10.2%
IHME-CurveFit,105430,114407.2,115436,10006,-1028.8,-10.3%
UT-Mobility,105430,113996.6,115436,10006,-1439.4,-14.4%
Baseline,105430,116953.3,115436,10006,1517.3,15.2%
IowaStateLW-STEM,105430,117864.0,115436,10006,2428.0,24.3%
SWC-TerminusCM,105430,112365.0,115436,10006,-3071.0,-30.7%
CU-select,105430,119057.0,115436,10006,3621.0,36.2%
JHU_IDD-CovidSP,105430,120034.7,115436,10006,4598.7,46.0%
UA-EpiCovDA,105430,121991.0,115436,10006,6555.0,65.5%
Covid19Sim-Simulator,105430,108609.0,115436,10006,-6827.0,-68.2%
USACE-ERDC_SEIR,105430,107542.8,115436,10006,-7893.2,-78.9%
Auquan-SEIR,105430,126598.0,115436,10006,11162.0,111.6%
CovidActNow-SEIR_CAN,105430,,115436,10006,,
GT_CHHS-COVID19,105430,,115436,10006,,
NotreDame-FRED,105430,,115436,10006,,
