,total_deaths_2020-04-27,predicted_deaths,actual_deaths,additional_deaths,error,perc_error
Baseline_0.98,56502,104897.9,104054,47552,843.9,1.8%
YYG-ParamSearch,56502,102717.0,104054,47552,-1337.0,-2.8%
CU-select,56502,113820.0,104054,47552,9766.0,20.5%
LANL-GrowthRate,56502,116701.3,104054,47552,12647.3,26.6%
Baseline,56502,123230.0,104054,47552,19176.0,40.3%
UT-Mobility,56502,77945.5,104054,47552,-26108.5,-54.9%
IHME-CurveFit,56502,72353.9,104054,47552,-31700.1,-66.7%
IowaStateLW-STEM,56502,,104054,47552,,
MIT_CovidAnalytics-DELPHI,56502,,104054,47552,,
NotreDame-FRED,56502,,104054,47552,,
