,mean_rank
YYG-ParamSearch,6.4
UCLA-SuEIR,6.9
LANL-GrowthRate,7.1
UMass-MechBayes,7.3
MIT_CovidAnalytics-DELPHI,7.5
UT-Mobility,7.6
COVIDhub-ensemble,7.8
MOBS_NEU-GLEAM_COVID,8.3
PSI-DRAFT,8.9
IHME-CurveFit,10.1
SWC-TerminusCM,10.6
IowaStateLW-STEM,10.8
CU-select,10.9
USACE-ERDC_SEIR,11.6
CovidActNow-SEIR_CAN,11.7
Covid19Sim-Simulator,12.0
UA-EpiCovDA,12.5
JHU_IDD-CovidSP,14.6
Auquan-SEIR,17.4
