,count,mean,median,std,min,25%,75%,max
MIT_CovidAnalytics-DELPHI,51.0,109.9,49.0,162.7,0.0,9.0,101.5,706.0
YYG-ParamSearch,51.0,115.4,38.3,226.9,0.6,11.4,92.7,1200.2
COVIDhub-ensemble,51.0,124.2,41.5,283.6,0.2,9.0,102.3,1838.6
Baseline_0.98,51.0,129.6,27.8,291.6,1.0,8.3,108.0,1740.0
IowaStateLW-STEM,51.0,138.3,55.0,227.4,0.0,16.5,171.0,1413.0
Baseline,51.0,142.6,29.7,376.7,0.3,10.8,102.0,2504.3
LANL-GrowthRate,51.0,181.5,37.2,382.4,0.3,6.4,162.6,2284.3
MOBS_NEU-GLEAM_COVID,51.0,217.5,67.5,353.5,1.7,11.3,200.1,1640.2
CU-select,51.0,227.6,76.0,460.2,1.0,13.0,214.5,2790.0
IHME-CurveFit,51.0,253.2,63.3,528.1,0.8,20.7,162.8,2649.4
UT-Mobility,51.0,285.4,36.6,1069.8,0.0,14.7,184.6,7493.3
UMass-MechBayes,51.0,311.8,56.0,810.1,3.0,19.5,211.0,5383.0
