,count,mean,median,std,min,25%,75%,max
COVIDhub-ensemble,51.0,106.5,66.9,122.5,1.3,23.8,161.0,664.9
YYG-ParamSearch,51.0,137.5,61.4,202.6,1.5,18.9,138.0,1000.4
LANL-GrowthRate,51.0,182.0,62.6,290.9,0.2,22.9,224.9,1649.4
Baseline_0.98,51.0,190.5,47.8,440.4,1.0,11.9,143.7,2322.5
CU-select,51.0,212.5,84.0,325.3,0.0,22.5,243.5,1811.0
IHME-CurveFit,51.0,242.8,47.0,435.6,1.1,12.4,273.2,2254.6
UCLA-SuEIR,51.0,250.5,113.0,404.4,0.8,24.6,295.3,2232.8
UMass-MechBayes,51.0,259.7,103.0,457.7,0.0,14.0,239.5,2331.0
Baseline,51.0,298.1,51.7,824.8,0.6,15.3,115.7,4405.6
MIT_CovidAnalytics-DELPHI,51.0,301.3,107.0,524.5,0.0,27.0,385.5,3153.0
IowaStateLW-STEM,51.0,322.9,166.0,706.8,1.0,36.0,387.5,4955.0
UT-Mobility,51.0,451.4,106.7,1290.8,1.1,42.6,402.2,9027.9
MOBS_NEU-GLEAM_COVID,51.0,456.3,142.4,777.3,0.8,37.5,354.2,4320.7
Auquan-SEIR,51.0,499.4,185.0,1159.2,2.0,36.0,507.5,7942.0
