,mean_rank
UMass-MechBayes,5.3
LANL-GrowthRate,5.5
COVIDhub-ensemble,6.5
UCLA-SuEIR,6.7
YYG-ParamSearch,6.8
USACE-ERDC_SEIR,7.9
MIT_CovidAnalytics-DELPHI,7.9
UT-Mobility,8.1
CU-select,8.4
IHME-CurveFit,8.4
MOBS_NEU-GLEAM_COVID,8.5
IowaStateLW-STEM,9.0
PSI-DRAFT,9.3
UA-EpiCovDA,11.4
Auquan-SEIR,11.6
JHU_IDD-CovidSP,14.9
