,total_deaths_2020-04-20,predicted_deaths,actual_deaths,additional_deaths,error,perc_error
Baseline_0.98,42918,85924.1,89084,46166,-3159.9,-6.8%
Baseline,42918,98658.0,89084,46166,9574.0,20.7%
YYG-ParamSearch,42918,78057.3,89084,46166,-11026.7,-23.9%
CU-select,42918,101874.0,89084,46166,12790.0,27.7%
MOBS_NEU-GLEAM_COVID,42918,68798.7,89084,46166,-20285.3,-43.9%
IHME-CurveFit,42918,65009.5,89084,46166,-24074.5,-52.1%
UT-Mobility,42918,58434.4,89084,46166,-30649.6,-66.4%
LANL-GrowthRate,42918,,89084,46166,,
