,mean_rank
UMass-MechBayes,5.3
LANL-GrowthRate,6.2
UCLA-SuEIR,6.2
YYG-ParamSearch,6.2
COVIDhub-ensemble,6.6
MOBS_NEU-GLEAM_COVID,7.7
UT-Mobility,7.7
MIT_CovidAnalytics-DELPHI,7.9
USACE-ERDC_SEIR,8.6
IowaStateLW-STEM,8.7
PSI-DRAFT,8.9
CU-select,9.0
Covid19Sim-Simulator,9.2
UA-EpiCovDA,11.3
Auquan-SEIR,12.6
JHU_IDD-CovidSP,14.0
