,count,mean,median,std,min,25%,75%,max
Baseline_0.98,51.0,63.5,9.6,173.3,0.0,3.7,46.3,1077.4
YYG-ParamSearch,51.0,64.6,10.5,150.5,0.1,2.9,54.0,890.9
Baseline,51.0,66.4,10.7,188.1,0.0,3.4,55.7,1231.3
MIT_CovidAnalytics-DELPHI,51.0,83.6,29.0,276.3,0.0,5.0,61.5,1973.0
COVIDhub-ensemble,51.0,87.3,16.9,298.3,0.4,3.1,51.5,2100.4
LANL-GrowthRate,51.0,99.1,13.9,241.2,0.1,4.0,74.5,1494.6
IHME-CurveFit,51.0,99.5,19.9,208.9,0.3,6.5,60.5,1062.2
MOBS_NEU-GLEAM_COVID,51.0,100.0,28.3,168.5,0.4,3.7,89.5,849.0
IowaStateLW-STEM,51.0,114.1,33.0,343.4,0.0,10.0,85.0,2451.0
CU-select,51.0,160.2,53.0,514.3,1.0,12.5,98.5,3637.0
UT-Mobility,51.0,168.2,11.9,802.5,0.4,4.4,60.0,5700.8
UMass-MechBayes,51.0,179.5,46.0,575.9,0.0,11.0,115.0,4060.0
