,perc_error_2020-09-07_2021-01-23,perc_error_2020-09-14_2021-01-23,perc_error_2020-09-21_2021-01-23,perc_error_2020-09-28_2021-01-23,perc_error_2020-10-05_2021-01-23,perc_error_2020-10-12_2021-01-23,perc_error_2020-10-19_2021-01-23,perc_error_2020-10-26_2021-01-23,perc_error_2020-11-02_2021-01-23,perc_error_2020-11-09_2021-01-23,perc_error_2020-11-16_2021-01-23,perc_error_2020-11-23_2021-01-23,perc_error_2020-11-30_2021-01-23,perc_error_2020-12-07_2021-01-23,perc_error_2020-12-14_2021-01-23,perc_error_2020-12-21_2021-01-23,perc_error_2020-12-28_2021-01-23,perc_error_2021-01-04_2021-01-23,perc_error_2021-01-11_2021-01-23,perc_error_2021-01-18_2021-01-23
QJHong-Encounter,,,,,,,,,,,-0.080,0.047,-0.073,-0.122,-0.050,-0.033,-0.056,-0.036,-0.138,-0.045
LANL-GrowthRate,,,,,,,,,,,,,,,0.137,0.023,0.057,-0.251,0.040,0.060
IowaStateLW-STEM,-0.649,-0.595,-0.631,-0.802,-0.699,-0.708,-0.751,-0.696,-0.661,-0.651,-0.562,-0.340,-0.386,-0.269,-0.013,0.011,-0.043,-0.291,-0.169,0.051
JCB-PRM,,,,,,,,,,,,,0.029,0.090,0.173,0.212,0.022,,,
IBF-TimeSeries,,,,,,,,,,,,,-0.349,-0.129,-0.018,-0.005,-0.151,-0.035,0.200,0.499
Karlen-pypm,,,,,,,,,,,,,,,,0.051,-0.117,-0.176,-0.078,-0.038
Columbia_UNC-SurvCon,,,,,,,,,,,,,-0.456,-0.235,0.160,0.347,-0.029,-0.211,-0.057,0.090
Baseline,-0.502,-0.581,-0.569,-0.598,-0.634,-0.643,-0.668,-0.641,-0.645,-0.616,-0.571,-0.436,-0.494,-0.241,-0.188,-0.126,-0.305,-0.211,-0.037,-0.003
COVIDhub-baseline,,,,,,,,,,,,,-0.485,-0.247,-0.189,-0.121,-0.280,-0.201,-0.026,0.079
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,-0.136,-0.143,-0.018,0.071
JHU_IDD-CovidSP,,,,,,,,,,,,,,,-0.339,0.215,-0.018,-0.124,-0.140,-0.156
TTU-squider,,,,,,,,,,,,,,,,,0.060,-0.066,-0.075,-0.098
GT-DeepCOVID,,,,,,,,,,,,,,,,,-0.083,-0.162,-0.096,0.045
PSI-DRAFT,,,,,,,,,,,,,,,0.613,-0.180,-0.208,-0.215,-0.105,-0.056
UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,,0.536,-0.238,-0.191,-0.021,-0.079
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,-0.195,-0.120,0.016,0.101
CEID-Walk,,,,,,,,,,,,,,,,,-0.265,-0.202,-0.034,0.048
COVIDhub-ensemble,,,,,,,,,,,,,,,,,-0.175,-0.221,-0.089,0.039
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,-0.284,-0.126,0.057,0.087
Covid19Sim-Simulator,-0.785,-0.809,-0.861,-0.820,-0.525,-0.543,-0.763,-0.155,-0.217,0.038,,0.054,0.058,-0.057,-0.183,-0.159,-0.063,-0.227,-0.514,-1.027
IHME-CurveFit,0.177,,0.070,0.056,,,-0.274,-0.291,,,,-0.170,,-0.062,-0.270,0.106,0.134,,,-0.074
OliverWyman-Navigator,,,,,,,,,,,,,,,,,-0.158,-0.154,0.138,0.090
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,-0.148,-0.239,-0.088,0.119
CovidAnalytics-DELPHI,,,,,,,,,,,,,,,-0.174,-0.187,-0.253,-0.295,-0.191,0.677
RobertWalraven-ESG,,,,,,,,,,,,,,,,,-0.289,-0.278,0.112,-0.059
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,-0.218,-0.272,-0.048,0.162
LNQ-ens1,,,,,,,,,,,,,,,,,-0.286,-0.219,0.076,0.131
UMass-MechBayes,,,,,,,,,,,,,,,,,-0.322,-0.207,-0.064,-0.242
JHUAPL-Bucky,,,,,,,,,,,,,-0.167,-0.157,-0.191,-0.126,-0.395,-0.387,-0.265,
BPagano-RtDriven,,,,,,,,,,,,,,,,,-0.067,-0.200,-0.260,-0.610
AIpert-pwllnod,,,,,,,,,,,,,,,,0.664,-0.712,-0.316,-0.013,0.130
