,perc_error_2020-05-25_2020-10-10,perc_error_2020-06-01_2020-10-17,perc_error_2020-06-08_2020-10-24,perc_error_2020-06-15_2020-10-31,perc_error_2020-06-22_2020-11-07,perc_error_2020-06-29_2020-11-14,perc_error_2020-07-06_2020-11-21,perc_error_2020-07-13_2020-11-28,perc_error_2020-07-20_2020-12-05,perc_error_2020-07-27_2020-12-12,perc_error_2020-08-03_2020-12-19,perc_error_2020-08-10_2020-12-26,perc_error_2020-08-17_2021-01-02,perc_error_2020-08-24_2021-01-09,perc_error_2020-08-31_2021-01-16,perc_error_2020-09-07_2021-01-23,perc_error_2020-09-14_2021-01-30,perc_error_2020-09-21_2021-02-06
Baseline,0.423,0.179,0.087,-0.091,-0.272,-0.029,-0.433,-0.201,-0.244,-0.153,-0.019,-0.132,-0.214,-0.314,-0.414,-0.485,-0.584,-0.588
IHME-CurveFit,,,0.088,0.264,-0.043,-0.283,-0.198,,-0.139,-0.273,-0.204,0.090,,0.201,0.155,0.216,,0.038
Covid19Sim-Simulator,-0.565,-0.595,-0.597,-0.413,-0.414,0.662,0.546,0.472,0.131,-0.051,-0.345,,-0.702,-0.807,-0.780,-0.778,-0.817,-0.880
STH-3PU,,,,-0.294,-0.588,-0.682,-0.654,-0.666,0.243,0.018,0.323,-0.366,-0.419,-0.482,-0.532,-0.843,-0.635,-0.674
IowaStateLW-STEM,,,,,,,-0.208,-0.253,-0.435,-0.430,-0.420,,-0.536,-0.529,-0.557,-0.637,-0.601,-0.651
