,mean_abs_error_2020-05-25_2020-10-03,mean_abs_error_2020-06-01_2020-10-03,mean_abs_error_2020-06-08_2020-10-03,mean_abs_error_2020-06-15_2020-10-03,mean_abs_error_2020-06-22_2020-10-03,mean_abs_error_2020-06-29_2020-10-03,mean_abs_error_2020-07-06_2020-10-03,mean_abs_error_2020-07-13_2020-10-03,mean_abs_error_2020-07-20_2020-10-03,mean_abs_error_2020-07-27_2020-10-03,mean_abs_error_2020-08-03_2020-10-03,mean_abs_error_2020-08-10_2020-10-03,mean_abs_error_2020-08-17_2020-10-03,mean_abs_error_2020-08-24_2020-10-03,mean_abs_error_2020-08-31_2020-10-03,mean_abs_error_2020-09-07_2020-10-03,mean_abs_error_2020-09-14_2020-10-03,mean_abs_error_2020-09-21_2020-10-03,mean_abs_error_2020-09-28_2020-10-03,mean_sq_abs_error_2020-05-25_2020-10-03,mean_sq_abs_error_2020-06-01_2020-10-03,mean_sq_abs_error_2020-06-08_2020-10-03,mean_sq_abs_error_2020-06-15_2020-10-03,mean_sq_abs_error_2020-06-22_2020-10-03,mean_sq_abs_error_2020-06-29_2020-10-03,mean_sq_abs_error_2020-07-06_2020-10-03,mean_sq_abs_error_2020-07-13_2020-10-03,mean_sq_abs_error_2020-07-20_2020-10-03,mean_sq_abs_error_2020-07-27_2020-10-03,mean_sq_abs_error_2020-08-03_2020-10-03,mean_sq_abs_error_2020-08-10_2020-10-03,mean_sq_abs_error_2020-08-17_2020-10-03,mean_sq_abs_error_2020-08-24_2020-10-03,mean_sq_abs_error_2020-08-31_2020-10-03,mean_sq_abs_error_2020-09-07_2020-10-03,mean_sq_abs_error_2020-09-14_2020-10-03,mean_sq_abs_error_2020-09-21_2020-10-03,mean_sq_abs_error_2020-09-28_2020-10-03
COVIDhub-ensemble,,,,,,,,,,,,,,,,66.1,54.5,28.0,14.9,,,,,,,,,,,,,,,,18549.5,10717.0,2575.2,497.3
UCLA-SuEIR,,,,,,1102.1,935.5,576.9,510.9,339.5,260.6,276.3,209.7,153.1,120.2,89.2,56.1,39.9,20.1,,,,,,5090921.0,4592603.8,1486569.7,1343787.2,431560.7,319184.8,282176.5,117937.1,64307.7,29276.1,26028.3,9486.3,3514.9,941.9
YYG-ParamSearch,,,,,,,,364.9,356.7,288.3,190.5,165.3,121.9,116.2,94.3,80.4,67.8,38.1,16.4,,,,,,,,498988.6,474405.7,203118.8,81260.9,81433.4,34931.9,50262.2,38798.7,28516.3,19636.1,4314.0,628.3
Karlen-pypm,,,,,,,,,,,,,,,130.1,89.7,64.9,30.2,14.6,,,,,,,,,,,,,,,85059.9,34079.7,16878.7,5406.0,521.0
USC-SI_kJalpha,,,,,,1037.7,,,,,,284.2,185.8,185.0,124.8,93.9,58.9,34.9,23.9,,,,,,7914491.6,,,,,,275588.2,93459.2,134069.4,72096.5,24194.7,8864.7,3744.6,1562.4
JCB-PRM,,,,,,,,,,,,,,,,71.6,60.7,30.9,15.4,,,,,,,,,,,,,,,,21504.3,16840.5,4982.3,536.5
Baseline,2248.3,1821.2,1692.9,1334.5,1094.9,1452.1,877.3,622.8,450.9,274.8,446.1,331.3,303.3,210.1,150.2,101.6,59.6,37.3,17.6,16394328.5,10364117.1,9009843.2,6708674.9,4981430.7,18710312.9,4000566.4,1633487.1,632994.0,286187.9,1456225.1,790621.0,484106.7,264254.0,71702.8,46376.1,10216.9,3826.0,778.6
UMass-MechBayes,,,,,,,,,,,,,,,,67.4,60.9,31.8,16.7,,,,,,,,,,,,,,,,13746.2,11465.2,3371.0,679.9
LNQ-ens1,,,,,,,,,,,,,,,,67.5,73.7,30.4,15.1,,,,,,,,,,,,,,,,17868.8,14585.3,2551.2,503.2
CMU-TimeSeries,,,,,,,,,,,,,,,,62.0,60.9,35.7,21.0,,,,,,,,,,,,,,,,19306.6,9802.4,3187.5,1051.9
