,mean_abs_error_2020-04-20_2020-07-04,mean_abs_error_2020-04-27_2020-07-04,mean_abs_error_2020-05-04_2020-07-04,mean_abs_error_2020-05-11_2020-07-04,mean_abs_error_2020-05-18_2020-07-04,mean_abs_error_2020-05-25_2020-07-04,mean_abs_error_2020-06-01_2020-07-04,mean_abs_error_2020-06-08_2020-07-04,mean_abs_error_2020-06-15_2020-07-04,mean_abs_error_2020-06-22_2020-07-04,mean_abs_error_2020-06-29_2020-07-04,mean_sq_abs_error_2020-04-20_2020-07-04,mean_sq_abs_error_2020-04-27_2020-07-04,mean_sq_abs_error_2020-05-04_2020-07-04,mean_sq_abs_error_2020-05-11_2020-07-04,mean_sq_abs_error_2020-05-18_2020-07-04,mean_sq_abs_error_2020-05-25_2020-07-04,mean_sq_abs_error_2020-06-01_2020-07-04,mean_sq_abs_error_2020-06-08_2020-07-04,mean_sq_abs_error_2020-06-15_2020-07-04,mean_sq_abs_error_2020-06-22_2020-07-04,mean_sq_abs_error_2020-06-29_2020-07-04
YYG-ParamSearch,,,311.8,504.3,487.0,289.2,135.1,96.1,61.2,31.0,12.7,,,339884.4,809782.1,734604.4,255994.4,42403.0,23880.1,9279.0,2531.4,436.1
UCLA-SuEIR,,,446.7,360.1,200.6,151.4,135.9,118.0,59.2,35.0,23.3,,,532416.8,1022573.3,127272.3,62229.7,46271.5,35048.8,8222.7,2626.1,1611.5
COVIDhub-ensemble,,,,,,,,94.4,64.2,42.8,17.7,,,,,,,,20310.0,11556.4,5233.2,921.2
UMass-MechBayes,,,,,,,,83.0,53.0,46.4,18.0,,,,,,,,42345.1,10287.7,7438.6,1299.4
LANL-GrowthRate,,,,,240.2,178.6,128.6,94.2,67.9,62.1,27.0,,,,,162884.9,90181.6,47475.4,30102.1,13968.4,12110.9,1833.5
UT-Mobility,,,,,,,,115.4,79.8,46.1,19.1,,,,,,,,39384.9,25281.1,4827.4,1163.3
OliverWyman-Navigator,,,,,,,,96.2,66.2,55.7,20.1,,,,,,,,33979.5,11458.4,9031.8,1077.5
IHME-CurveFit,1227.8,1094.5,453.2,293.8,279.1,,223.5,108.2,87.9,50.6,25.5,4611566.9,3893034.3,587148.9,337681.2,268187.7,,203941.9,24102.5,18580.2,6255.0,2180.8
IowaStateLW-STEM,,572.1,659.7,,268.5,200.9,177.6,123.9,97.3,68.4,49.3,,805375.2,1276348.9,,187647.8,99056.2,90792.1,40867.4,32893.2,14555.9,9633.0
UA-EpiCovDA,,,,,,,,270.1,79.5,44.8,42.6,,,,,,,,209287.7,15936.2,6367.0,31047.6
Covid19Sim-Simulator,,,,,,221.3,218.6,172.8,85.2,55.0,78.3,,,,,,138947.6,131681.1,82418.8,18961.6,9460.7,85659.6
MOBS-GLEAM_COVID,,,,,,,,133.3,87.9,57.8,33.3,,,,,,,,41856.0,19264.5,7976.9,3401.7
Baseline,1616.2,1351.6,1107.1,914.3,633.9,394.7,242.8,179.1,100.3,45.8,44.3,40328771.5,18141547.6,8614392.0,4684704.5,2232248.3,598843.4,170262.8,123128.5,33810.6,4989.7,46543.7
CovidAnalytics-DELPHI,,,,,,,162.3,165.8,118.8,66.5,42.1,,,,,,,79932.2,105028.9,61361.4,17046.1,7663.7
COVIDhub-baseline,,,,,,,,169.1,114.7,51.1,51.6,,,,,,,,125797.7,52451.0,6459.3,63209.5
PSI-DRAFT,,,,,,310.1,189.1,366.4,129.6,84.0,36.6,,,,,,435799.1,194931.0,1571794.8,162196.3,55294.1,10954.4
USACE-ERDC_SEIR,,,,,369.7,266.0,297.3,211.5,89.3,125.0,234.9,,,,,446382.1,261174.2,337315.7,178269.7,30061.4,50074.2,238623.4
SWC-TerminusCM,,,,,,,246.1,284.5,223.1,,25.8,,,,,,,188834.4,353322.4,897417.1,,1634.5
Auquan-SEIR,,,,,,,,763.3,764.1,71.5,49.5,,,,,,,,1770812.4,1686418.0,22834.8,9255.4
USC-SI_kJalpha,,,,,,,,,,,25.8,,,,,,,,,,,2346.9
JHU_IDD-CovidSP,,,,,,,,379.5,154.8,117.8,56.2,,,,,,,,370241.0,94372.5,40725.2,9350.6
CovidActNow-SEIR_CAN,,,,,,,,332.8,149.5,112.4,,,,,,,,,566005.2,101079.5,78323.2,
CU-select,,,,,,,,319.4,188.2,151.9,83.9,,,,,,,,402954.8,133252.9,111255.5,33184.9
NotreDame-mobility,,,,,,,,,,178.9,50.3,,,,,,,,,,886245.3,32004.3
MITCovAlliance-SIR,,,,,,,,,,,153.3,,,,,,,,,,,126241.8
