,mean_abs_error_2020-07-13_2020-11-28,mean_abs_error_2020-07-20_2020-11-28,mean_abs_error_2020-07-27_2020-11-28,mean_abs_error_2020-08-03_2020-11-28,mean_abs_error_2020-08-10_2020-11-28,mean_abs_error_2020-08-17_2020-11-28,mean_abs_error_2020-08-24_2020-11-28,mean_abs_error_2020-08-31_2020-11-28,mean_abs_error_2020-09-07_2020-11-28,mean_abs_error_2020-09-14_2020-11-28,mean_abs_error_2020-09-21_2020-11-28,mean_abs_error_2020-09-28_2020-11-28,mean_abs_error_2020-10-05_2020-11-28,mean_abs_error_2020-10-12_2020-11-28,mean_abs_error_2020-10-19_2020-11-28,mean_abs_error_2020-10-26_2020-11-28,mean_abs_error_2020-11-02_2020-11-28,mean_abs_error_2020-11-09_2020-11-28,mean_abs_error_2020-11-16_2020-11-28,mean_abs_error_2020-11-23_2020-11-28,mean_sq_abs_error_2020-07-13_2020-11-28,mean_sq_abs_error_2020-07-20_2020-11-28,mean_sq_abs_error_2020-07-27_2020-11-28,mean_sq_abs_error_2020-08-03_2020-11-28,mean_sq_abs_error_2020-08-10_2020-11-28,mean_sq_abs_error_2020-08-17_2020-11-28,mean_sq_abs_error_2020-08-24_2020-11-28,mean_sq_abs_error_2020-08-31_2020-11-28,mean_sq_abs_error_2020-09-07_2020-11-28,mean_sq_abs_error_2020-09-14_2020-11-28,mean_sq_abs_error_2020-09-21_2020-11-28,mean_sq_abs_error_2020-09-28_2020-11-28,mean_sq_abs_error_2020-10-05_2020-11-28,mean_sq_abs_error_2020-10-12_2020-11-28,mean_sq_abs_error_2020-10-19_2020-11-28,mean_sq_abs_error_2020-10-26_2020-11-28,mean_sq_abs_error_2020-11-02_2020-11-28,mean_sq_abs_error_2020-11-09_2020-11-28,mean_sq_abs_error_2020-11-16_2020-11-28,mean_sq_abs_error_2020-11-23_2020-11-28
USC-SI_kJalpha,,,,,,,,,,,,,438.6,392.6,322.4,250.4,214.7,111.5,84.1,56.9,,,,,,,,,,,,,435870.9,371531.2,311863.7,193232.0,134967.8,37043.7,26028.0,7661.8
JCB-PRM,,,,,,,,,,,,,437.1,404.9,396.2,291.0,244.1,159.6,84.1,43.5,,,,,,,,,,,,,460991.5,375010.0,397177.1,264679.8,185815.0,77408.8,29287.3,6375.1
Karlen-pypm,,,,,,,,,,,,,,,,232.2,165.2,93.4,83.8,51.2,,,,,,,,,,,,,,,,248207.3,81118.9,29864.8,23001.0,6814.6
JHUAPL-Bucky,,,,,,,,,,,,,,402.5,324.2,217.2,230.4,143.3,116.4,94.3,,,,,,,,,,,,,,417781.3,305770.7,153111.5,143225.3,64113.9,43216.6,27243.1
UMass-MechBayes,,,,,,,,,,,,,,,,,178.2,114.0,72.7,34.6,,,,,,,,,,,,,,,,,85307.5,37368.7,18023.7,5224.6
BPagano-RtDriven,,,,,,,,,,,,,474.5,502.0,422.9,317.0,249.5,164.2,96.1,60.1,,,,,,,,,,,,,424683.3,560006.1,585027.2,245229.4,140617.5,56853.1,29612.0,9597.9
Caltech-CS156,,,,,,,,,,,,,,,,,237.4,126.6,81.3,39.6,,,,,,,,,,,,,,,,,190301.4,63532.4,25961.2,5095.1
Baseline,1095.9,988.0,994.4,1343.1,1239.9,1166.2,977.4,829.7,739.2,631.8,605.1,547.8,496.6,462.8,431.7,334.9,286.8,205.7,132.5,39.6,3046948.1,2182657.6,2410136.2,8971733.4,6106183.8,4530781.1,3042151.4,1572893.6,1327102.5,863268.1,802815.3,722656.9,526461.0,531575.1,453597.2,288564.2,249763.6,115069.7,51855.9,7677.3
LNQ-ens1,,,,,,,,,,,,,,,,,212.6,123.9,77.2,57.2,,,,,,,,,,,,,,,,,140670.2,44565.5,21288.3,9033.1
OliverWyman-Navigator,,,,,,,,,,,,,,,,,237.5,128.7,81.3,49.3,,,,,,,,,,,,,,,,,169465.7,48945.4,26902.3,7610.6
Covid19Sim-Simulator,1818.9,1215.0,973.1,798.8,,,1127.3,690.9,674.0,675.4,670.4,536.8,449.4,400.7,403.8,265.0,204.7,158.9,,102.7,22017785.5,5682882.1,3697937.4,1460301.3,,,2962051.8,1033396.2,1026722.6,1056707.2,998860.6,675192.2,523825.6,434760.6,413842.2,225366.1,160374.2,79599.0,,37694.0
Google_Harvard-CPF,,,,,,,,,,,,,,,,,195.1,132.0,96.7,48.4,,,,,,,,,,,,,,,,,106241.3,56709.5,36459.2,7276.6
COVIDhub-ensemble,,,,,,,,,,,,,,,,,224.4,153.1,85.8,40.8,,,,,,,,,,,,,,,,,164149.7,75431.5,29104.1,5801.3
COVIDhub-baseline,,,,,,,,,,,,,471.1,422.5,432.7,327.8,288.3,202.7,129.4,44.7,,,,,,,,,,,,,500943.6,460701.5,489665.4,279534.5,262361.9,113277.8,50899.9,7646.0
MSRA-DeepST,,,,,,,,,,,,,,,,,224.8,142.8,98.9,48.3,,,,,,,,,,,,,,,,,158138.2,70643.5,33166.0,5757.1
CU-select,,,,,,,,,,,,,,,,,189.3,154.9,85.2,52.3,,,,,,,,,,,,,,,,,74444.1,77867.2,18318.3,6187.9
