,perc_error_2020-06-22_2020-11-07,perc_error_2020-06-29_2020-11-07,perc_error_2020-07-06_2020-11-07,perc_error_2020-07-13_2020-11-07,perc_error_2020-07-20_2020-11-07,perc_error_2020-07-27_2020-11-07,perc_error_2020-08-03_2020-11-07,perc_error_2020-08-10_2020-11-07,perc_error_2020-08-17_2020-11-07,perc_error_2020-08-24_2020-11-07,perc_error_2020-08-31_2020-11-07,perc_error_2020-09-07_2020-11-07,perc_error_2020-09-14_2020-11-07,perc_error_2020-09-21_2020-11-07,perc_error_2020-09-28_2020-11-07,perc_error_2020-10-05_2020-11-07,perc_error_2020-10-12_2020-11-07,perc_error_2020-10-19_2020-11-07,perc_error_2020-10-26_2020-11-07,perc_error_2020-11-02_2020-11-07
USC-SI_kJalpha,,,,,,,,,,,,,-0.393,-0.142,0.002,-0.116,-0.086,-0.074,0.014,-0.102
Columbia_UNC-SurvCon,,,,,,,,,,,,,-0.173,-0.245,0.199,0.182,-0.023,0.003,0.040,-0.167
QJHong-Encounter,,,,,,,,,,,,,,-0.238,-0.051,-0.109,-0.105,-0.135,-0.102,-0.141
Karlen-pypm,,,,,,,,,,,,,,,,-0.162,-0.056,-0.062,0.014,-0.037
JCB-PRM,,,,,,,,,,,,,-0.295,-0.246,-0.205,-0.148,-0.091,-0.148,-0.084,-0.117
JHUAPL-Bucky,,,,,,,,,,,,,-0.396,,-0.226,-0.161,-0.168,-0.133,-0.016,-0.322
UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,,0.207,0.132,0.128,-0.008,-0.102
OliverWyman-Navigator,,,,,,,,,,,,,,,,,-0.053,-0.068,-0.006,-0.123
Covid19Sim-Simulator,-0.417,0.605,0.519,0.452,0.270,0.197,-0.030,,-0.487,-0.613,-0.268,-0.304,-0.359,-0.414,-0.277,-0.086,-0.226,-0.389,-0.073,-0.002
BPagano-RtDriven,,,,,,,,,,,,,,,,-0.355,-0.289,0.017,0.015,-0.065
CU-select,,,,,,,,,,,,,,,,,-0.098,-0.072,-0.064,-0.044
UMass-MechBayes,,,,,,,,,,,,,,,,,-0.102,-0.082,-0.051,-0.134
LNQ-ens1,,,,,,,,,,,,,,,,,-0.120,-0.142,-0.019,-0.082
GT-DeepCOVID,,,,,,,,,,,,,,,,,-0.117,-0.118,-0.054,-0.105
Baseline,-0.276,-0.021,-0.410,-0.143,-0.134,0.044,0.320,0.251,0.228,0.183,0.110,0.052,-0.098,-0.052,-0.093,-0.167,-0.181,-0.245,-0.190,-0.266
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,-0.037,-0.158,-0.025,-0.173
UA-EpiCovDA,,,,,,,,,,,,,,,,,-0.091,-0.139,-0.028,-0.148
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,-0.047,-0.122,-0.094,-0.176
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,-0.188,-0.133,0.064,-0.060
IBF-TimeSeries,,,,,,,,,,,,,0.064,0.169,0.114,,0.076,0.085,0.281,0.592
