,perc_error_2020-04-20_2020-07-04,perc_error_2020-04-27_2020-07-11,perc_error_2020-05-04_2020-07-18,perc_error_2020-05-11_2020-07-25,perc_error_2020-05-18_2020-08-01,perc_error_2020-05-25_2020-08-08,perc_error_2020-06-01_2020-08-15,perc_error_2020-06-08_2020-08-22,perc_error_2020-06-15_2020-08-29,perc_error_2020-06-22_2020-09-05,perc_error_2020-06-29_2020-09-12,perc_error_2020-07-06_2020-09-19,perc_error_2020-07-13_2020-09-26,perc_error_2020-07-20_2020-10-03,perc_error_2020-07-27_2020-10-10,perc_error_2020-08-03_2020-10-17,perc_error_2020-08-10_2020-10-24,perc_error_2020-08-17_2020-10-31,perc_error_2020-08-24_2020-11-07,perc_error_2020-08-31_2020-11-14,perc_error_2020-09-07_2020-11-21,perc_error_2020-09-14_2020-11-28,perc_error_2020-09-21_2020-12-05,perc_error_2020-09-28_2020-12-12,perc_error_2020-10-05_2020-12-19,perc_error_2020-10-12_2020-12-26,perc_error_2020-10-19_2021-01-02,perc_error_2020-10-26_2021-01-09,perc_error_2020-11-02_2021-01-16,perc_error_2020-11-09_2021-01-23,perc_error_2020-11-16_2021-01-30,perc_error_2020-11-23_2021-02-06,perc_error_2020-11-30_2021-02-13,perc_error_2020-12-07_2021-02-20,perc_error_2020-12-14_2021-02-27,perc_error_2020-12-21_2021-03-06
Baseline,0.853,0.956,0.993,1.005,0.751,0.447,0.171,0.060,-0.127,-0.302,-0.058,-0.435,-0.174,-0.152,0.040,0.341,0.279,0.257,0.183,0.070,-0.064,-0.250,-0.303,-0.412,-0.515,-0.553,-0.609,-0.606,-0.634,-0.616,-0.580,-0.452,-0.498,-0.215,-0.128,-0.015
YYG-ParamSearch,,,,,,,,0.037,-0.116,-0.306,-0.223,-0.290,-0.050,-0.135,-0.057,0.015,-0.012,-0.100,,,,,,,,,,,,,,,,,,
IHME-CurveFit,-0.712,-0.768,-0.069,-0.114,-0.143,,,-0.276,-0.204,-0.320,-0.406,-0.320,,-0.070,-0.102,0.001,0.246,,0.409,0.557,0.604,,0.063,0.110,,,-0.270,-0.279,,,,-0.190,,-0.059,-0.213,0.069
Covid19Sim-Simulator,,,,,,-0.513,-0.608,-0.636,-0.394,-0.416,-0.039,0.093,0.126,0.166,0.181,0.024,,-0.471,-0.613,-0.340,-0.432,-0.530,-0.666,-0.644,-0.409,-0.446,-0.687,-0.169,-0.224,0.038,,0.068,0.006,0.181,0.039,0.007
IowaStateLW-STEM,,,-0.446,,-0.458,-0.360,-0.453,-0.638,-0.536,-0.544,-0.808,-0.148,-0.235,-0.318,-0.240,-0.127,,-0.172,-0.113,-0.127,-0.288,-0.234,-0.363,-0.689,-0.581,-0.622,-0.698,-0.660,-0.648,-0.651,-0.573,-0.363,-0.401,-0.272,0.033,0.082
UCLA-SuEIR,,,-0.337,-0.226,-0.249,-0.467,-0.599,-0.635,-0.741,-0.773,-0.600,-0.595,-0.392,-0.336,-0.141,-0.017,-0.321,-0.184,-0.254,-0.284,-0.418,-0.519,-0.566,-0.632,-0.624,-0.644,-0.678,-0.718,-0.664,-0.559,-0.473,-0.320,-0.551,-0.198,-0.281,-0.141
STH-3PU,,,,,,,,,-0.485,-0.716,-0.782,-0.791,-0.815,-0.142,0.457,1.459,-0.016,-0.026,-0.073,-0.115,-0.711,-0.314,-0.427,,-0.575,-0.603,-0.641,-0.692,-0.703,,,,,,,
USACE-ERDC_SEIR,,,,,-0.536,-0.602,-0.631,-0.657,-0.455,-0.348,-0.189,,,,,,,,,,,,,,,,,,,,,,,,,
BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,-0.586,-0.473,-0.347,-0.362,,,,,,,,
USC-SI_kJalpha,,,,,,,,,,,0.036,,,,,,,,,,,,,,,,,,,,,,,,,
JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,,,,,,,-0.616,,,,,,,,,,
