,mean_abs_error_2020-09-21_2021-02-06,mean_abs_error_2020-09-28_2021-02-06,mean_abs_error_2020-10-05_2021-02-06,mean_abs_error_2020-10-12_2021-02-06,mean_abs_error_2020-10-19_2021-02-06,mean_abs_error_2020-10-26_2021-02-06,mean_abs_error_2020-11-02_2021-02-06,mean_abs_error_2020-11-09_2021-02-06,mean_abs_error_2020-11-16_2021-02-06,mean_abs_error_2020-11-23_2021-02-06,mean_abs_error_2020-11-30_2021-02-06,mean_abs_error_2020-12-07_2021-02-06,mean_abs_error_2020-12-14_2021-02-06,mean_abs_error_2020-12-21_2021-02-06,mean_abs_error_2020-12-28_2021-02-06,mean_abs_error_2021-01-04_2021-02-06,mean_abs_error_2021-01-11_2021-02-06,mean_abs_error_2021-01-18_2021-02-06,mean_abs_error_2021-01-25_2021-02-06,mean_abs_error_2021-02-01_2021-02-06,mean_sq_abs_error_2020-09-21_2021-02-06,mean_sq_abs_error_2020-09-28_2021-02-06,mean_sq_abs_error_2020-10-05_2021-02-06,mean_sq_abs_error_2020-10-12_2021-02-06,mean_sq_abs_error_2020-10-19_2021-02-06,mean_sq_abs_error_2020-10-26_2021-02-06,mean_sq_abs_error_2020-11-02_2021-02-06,mean_sq_abs_error_2020-11-09_2021-02-06,mean_sq_abs_error_2020-11-16_2021-02-06,mean_sq_abs_error_2020-11-23_2021-02-06,mean_sq_abs_error_2020-11-30_2021-02-06,mean_sq_abs_error_2020-12-07_2021-02-06,mean_sq_abs_error_2020-12-14_2021-02-06,mean_sq_abs_error_2020-12-21_2021-02-06,mean_sq_abs_error_2020-12-28_2021-02-06,mean_sq_abs_error_2021-01-04_2021-02-06,mean_sq_abs_error_2021-01-11_2021-02-06,mean_sq_abs_error_2021-01-18_2021-02-06,mean_sq_abs_error_2021-01-25_2021-02-06,mean_sq_abs_error_2021-02-01_2021-02-06
JCB-PRM,,,,,,,,,,,,,1114.2,1049.4,609.3,,,,,,,,,,,,,,,,,,4162384.1,4027645.5,1185617.8,,,,,
Baseline,3241.6,3225.5,3328.0,3290.2,3329.8,3126.5,3065.9,2854.7,2550.8,2001.1,2023.1,1445.4,1318.8,951.7,885.2,662.4,355.9,183.0,121.8,55.9,22912637.2,23875041.3,24793195.0,25854185.5,27065016.7,25492731.0,25741731.2,22583320.2,20186840.1,14478368.7,15300519.0,8689982.6,6570358.2,3273702.4,3511890.5,1592408.0,317118.4,78318.0,47630.1,7752.7
COVIDhub-baseline,,,,,,,,,,,,,1296.0,975.8,857.5,684.8,392.5,211.0,127.6,63.2,,,,,,,,,,,,,6448104.8,3308438.3,3229159.7,1598967.8,390159.1,103039.1,48493.4,13418.0
Karlen-pypm,,,,,,,,,,,,,,,,460.1,286.7,213.4,172.0,73.1,,,,,,,,,,,,,,,,787249.8,289408.1,126561.7,105510.5,18445.1
COVIDhub-ensemble,,,,,,,,,,,,,,,,,318.6,195.5,121.5,61.0,,,,,,,,,,,,,,,,,325067.1,77016.1,45698.1,10833.6
LNQ-ens1,,,,,,,,,,,,,,,,,341.3,227.0,124.8,50.7,,,,,,,,,,,,,,,,,280864.2,136914.0,43698.6,7768.6
UCLA-SuEIR,,,,,,,3589.8,3307.7,3205.3,1885.2,2038.2,1402.0,1313.6,1015.5,1149.1,730.2,399.6,239.0,196.4,56.9,,,,,,,32010807.1,27661123.5,26972512.4,14123111.4,15446763.5,8539617.9,7415361.9,4343063.4,5762608.4,2251834.1,551870.5,201871.1,139741.9,9786.5
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,328.5,237.9,126.1,73.4,,,,,,,,,,,,,,,,,282713.3,127434.5,46055.1,14556.6
IowaStateLW-STEM,3428.9,3965.2,3882.1,3799.5,3794.3,3489.5,3191.3,2948.2,2618.4,1780.6,1788.1,1504.8,1187.5,987.8,722.6,616.5,454.7,251.6,177.3,148.2,27461401.8,34384689.8,33712882.6,33285883.6,33675118.5,30311035.7,26967692.4,24438897.3,21686237.3,12856847.2,12400415.6,9390660.3,5610513.9,3833960.9,2020040.6,1533828.2,610419.1,166986.4,77499.5,81124.6
CEID-Walk,,,,,,,,,,,,,,,,,405.3,229.7,125.4,68.4,,,,,,,,,,,,,,,,,434081.3,125956.1,47749.3,18138.1
UMass-MechBayes,,,,,,,,,,,,,,,,,313.4,198.0,155.8,83.8,,,,,,,,,,,,,,,,,283929.6,136059.1,112308.0,24463.5
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,394.3,221.6,127.0,74.0,,,,,,,,,,,,,,,,,697582.9,121283.8,46629.7,15841.6
JHU_IDD-CovidSP,,,,,,,,,,,,,,,603.9,550.4,458.4,307.6,243.4,188.9,,,,,,,,,,,,,,,1015518.2,1005033.8,645302.9,266709.0,177987.1,137567.7
OliverWyman-Navigator,,,,,,,,,,,,,,,,,450.0,235.9,143.5,49.6,,,,,,,,,,,,,,,,,445227.3,125996.5,75905.3,8280.3
GT-DeepCOVID,,,,,,,,,,,,,,,,,320.4,195.8,177.6,77.3,,,,,,,,,,,,,,,,,273059.5,78558.5,124844.9,17400.9
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,350.9,249.8,129.6,75.3,,,,,,,,,,,,,,,,,285870.9,138842.7,44788.0,13892.3
LANL-GrowthRate,,,,,,,,,,,,,,,958.5,694.0,474.3,329.1,163.7,74.9,,,,,,,,,,,,,,,3207657.8,1804056.6,627651.2,393918.7,86864.6,14984.5
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,346.1,321.9,159.6,60.3,,,,,,,,,,,,,,,,,463715.0,246708.4,60954.4,8812.2
CMU-TimeSeries,,,,,,,,,,,,,,,,,370.6,323.8,128.5,70.4,,,,,,,,,,,,,,,,,444073.2,342290.8,49298.1,15115.1
RobertWalraven-ESG,,,,,,,,,,,,,,,,,389.1,241.9,137.0,78.7,,,,,,,,,,,,,,,,,382652.5,178914.2,66145.6,20211.9
USC-SI_kJalpha,,,,,,,,,,,,,,,,,392.4,317.5,155.7,60.8,,,,,,,,,,,,,,,,,446779.9,277480.9,70162.5,10839.5
Google_Harvard-CPF,,,,,,,,,,,,,,,,,382.9,243.4,137.3,84.4,,,,,,,,,,,,,,,,,352148.5,111850.1,60232.5,20579.9
