,perc_error_2020-04-20_2020-07-11,perc_error_2020-04-27_2020-07-11,perc_error_2020-05-04_2020-07-11,perc_error_2020-05-11_2020-07-11,perc_error_2020-05-18_2020-07-11,perc_error_2020-05-25_2020-07-11,perc_error_2020-06-01_2020-07-11,perc_error_2020-06-08_2020-07-11,perc_error_2020-06-15_2020-07-11,perc_error_2020-06-22_2020-07-11,perc_error_2020-06-29_2020-07-11,perc_error_2020-07-06_2020-07-11
UT-Mobility,,,,,,,,,0.062,0.019,-0.017,-0.225
IHME-CurveFit,-0.728,-0.768,-0.011,0.036,0.142,,-0.123,0.013,0.118,-0.049,-0.107,-0.482
UMass-MechBayes,,,,,,,,,-0.013,0.087,0.174,-0.161
OliverWyman-Navigator,,,,,,,,,0.083,0.078,0.127,-0.234
CovidAnalytics-DELPHI,,,,,,,,0.085,0.130,0.001,0.138,0.504
PSI-DRAFT,,,,,,,0.088,0.309,0.184,-0.057,-0.151,-0.409
YYG-ParamSearch,,,0.157,0.517,0.689,0.493,0.274,0.230,0.132,-0.101,-0.117,-0.369
MOBS-GLEAM_COVID,,,,,,,,,-0.067,-0.165,-0.171,-0.173
LANL-GrowthRate,,,,,,-0.025,-0.099,0.015,0.170,0.229,0.199,-0.368
Baseline,0.916,0.950,0.959,1.009,0.861,0.634,0.414,0.375,0.203,-0.017,0.285,-0.362
IowaStateLW-STEM,,,-0.426,,-0.288,-0.138,-0.119,-0.184,-0.020,-0.052,-0.508,0.529
Covid19Sim-Simulator,,,,,,-0.385,-0.503,-0.540,0.021,-0.024,-0.270,-0.504
USACE-ERDC_SEIR,,,,,-0.387,-0.390,-0.468,-0.454,-0.123,-0.260,-0.926,-0.013
COVIDhub-baseline,,,,,,,,,0.268,0.022,0.351,-0.318
Auquan-SEIR,,,,,,,,,1.765,2.636,0.061,0.231
COVIDhub-ensemble,,,,,,,,,0.193,0.201,0.235,-0.266
UCLA-SuEIR,,,-0.294,-0.099,0.004,-0.160,-0.249,-0.197,-0.301,-0.305,-0.185,-0.372
UA-EpiCovDA,,,,,,,,,0.962,-0.025,0.170,-0.449
epiforecasts-ensemble1,,,,,,,,,0.207,0.069,-0.166,-0.648
NotreDame-mobility,,,,,,,,,,-0.878,-0.037,-0.435
JHU_IDD-CovidSP,,,,,,,,,0.662,0.716,0.411,-0.129
CovidActNow-SEIR_CAN,,,,,,,,,0.410,,,-0.020
GT-DeepCOVID,,,,,,,,,0.259,-0.153,0.185,-1.941
Columbia_UNC-SurvCon,,,,,,,,,,,,-0.001
USC-SI_kJalpha,,,,,,,,,,,0.347,0.239
MITCovAlliance-SIR,,,,,,,,,,,0.122,-0.925
CU-select,,,,,,,,,0.624,1.064,1.161,0.364
QJHong-Encounter,,,,,,,,,,,,0.320
SWC-TerminusCM,,,,,,,-0.217,,,,-0.300,
UMich-RidgeTfReg,,,,,,,,,,,,-0.465
RobertWalraven-ESG,,,,,,,,,,,,-2.609
