,mean_abs_error_2020-04-20_2020-07-25,mean_abs_error_2020-04-27_2020-08-01,mean_abs_error_2020-05-04_2020-08-08,mean_abs_error_2020-05-11_2020-08-15,mean_abs_error_2020-05-18_2020-08-22,mean_abs_error_2020-05-25_2020-08-29,mean_abs_error_2020-06-01_2020-09-05,mean_abs_error_2020-06-08_2020-09-12,mean_abs_error_2020-06-15_2020-09-19,mean_abs_error_2020-06-22_2020-09-26,mean_abs_error_2020-06-29_2020-10-03,mean_abs_error_2020-07-06_2020-10-10,mean_abs_error_2020-07-13_2020-10-17,mean_abs_error_2020-07-20_2020-10-24,mean_abs_error_2020-07-27_2020-10-31,mean_abs_error_2020-08-03_2020-11-07,mean_abs_error_2020-08-10_2020-11-14,mean_abs_error_2020-08-17_2020-11-21,mean_abs_error_2020-08-24_2020-11-28,mean_abs_error_2020-08-31_2020-12-05,mean_abs_error_2020-09-07_2020-12-12,mean_abs_error_2020-09-14_2020-12-19,mean_abs_error_2020-09-21_2020-12-26,mean_abs_error_2020-09-28_2021-01-02,mean_abs_error_2020-10-05_2021-01-09,mean_abs_error_2020-10-12_2021-01-16,mean_abs_error_2020-10-19_2021-01-23,mean_abs_error_2020-10-26_2021-01-30,mean_abs_error_2020-11-02_2021-02-06,mean_sq_abs_error_2020-04-20_2020-07-25,mean_sq_abs_error_2020-04-27_2020-08-01,mean_sq_abs_error_2020-05-04_2020-08-08,mean_sq_abs_error_2020-05-11_2020-08-15,mean_sq_abs_error_2020-05-18_2020-08-22,mean_sq_abs_error_2020-05-25_2020-08-29,mean_sq_abs_error_2020-06-01_2020-09-05,mean_sq_abs_error_2020-06-08_2020-09-12,mean_sq_abs_error_2020-06-15_2020-09-19,mean_sq_abs_error_2020-06-22_2020-09-26,mean_sq_abs_error_2020-06-29_2020-10-03,mean_sq_abs_error_2020-07-06_2020-10-10,mean_sq_abs_error_2020-07-13_2020-10-17,mean_sq_abs_error_2020-07-20_2020-10-24,mean_sq_abs_error_2020-07-27_2020-10-31,mean_sq_abs_error_2020-08-03_2020-11-07,mean_sq_abs_error_2020-08-10_2020-11-14,mean_sq_abs_error_2020-08-17_2020-11-21,mean_sq_abs_error_2020-08-24_2020-11-28,mean_sq_abs_error_2020-08-31_2020-12-05,mean_sq_abs_error_2020-09-07_2020-12-12,mean_sq_abs_error_2020-09-14_2020-12-19,mean_sq_abs_error_2020-09-21_2020-12-26,mean_sq_abs_error_2020-09-28_2021-01-02,mean_sq_abs_error_2020-10-05_2021-01-09,mean_sq_abs_error_2020-10-12_2021-01-16,mean_sq_abs_error_2020-10-19_2021-01-23,mean_sq_abs_error_2020-10-26_2021-01-30,mean_sq_abs_error_2020-11-02_2021-02-06
IHME-CurveFit,1578.7,1584.5,876.9,806.5,,,,981.8,729.0,559.4,701.6,674.6,,632.5,573.5,652.6,883.4,,1289.5,1343.1,1460.6,,1351.9,1370.3,,,1223.9,1316.3,,6814725.0,6936657.5,2427718.8,2621089.6,,,,3824326.7,2711022.1,896150.5,1984451.7,1599535.6,,914611.8,598174.8,1474257.7,2697577.8,,10279012.9,9789530.8,9494537.5,,7953844.9,8540200.9,,,3210841.3,5355930.4,
UCLA-SuEIR,,,1021.3,1015.5,862.5,927.8,920.0,1010.5,1059.8,1066.8,1109.1,1012.8,668.9,680.5,535.7,532.1,771.9,766.6,722.6,878.2,1135.9,1478.5,1648.0,1897.9,2289.9,2646.2,3024.5,3301.8,3475.4,,,3564107.7,4224392.6,3669910.3,4204726.2,4155482.7,5398504.3,6001781.2,5761819.0,5161548.4,5152689.5,1822511.3,1973500.4,729475.9,822714.7,1522164.7,1213107.3,1043742.1,1619126.1,2440556.0,4170999.7,5369489.7,7074808.3,10589609.2,14623803.3,19903660.7,25085641.2,30191446.4
Baseline,2343.7,2322.0,2229.3,2111.1,1883.8,1602.1,1414.9,1396.7,1188.2,1039.9,1451.9,922.8,690.5,528.2,520.7,934.8,900.6,971.9,931.9,942.7,1037.5,1167.9,1294.9,1534.4,1863.1,2202.1,2526.3,2672.1,2951.5,74226979.4,44280764.1,28849697.9,21269283.4,14971169.3,8326908.5,6298882.0,6356761.4,5487281.5,4632046.1,18753888.6,4341083.6,1888626.4,820382.5,880340.8,5515976.9,4277697.9,3677771.5,2932645.0,1903876.0,2237182.6,2802702.8,3614214.0,4892730.2,7083147.6,10472515.8,14838310.0,18562322.7,23987983.5
IowaStateLW-STEM,,989.7,1160.6,,1146.5,1125.5,1244.7,1165.0,1013.1,979.0,1061.8,835.8,780.3,620.6,735.1,750.1,,884.6,980.7,906.1,1047.4,1064.3,1275.4,1929.8,2234.1,2561.5,2917.3,3000.7,3076.9,,2650373.8,3507631.8,,4842824.1,4949525.1,6781137.8,6156549.0,4772826.4,4073620.3,5844332.4,2973114.5,2400284.0,859174.2,1850707.9,2535525.2,,2327330.2,2727482.5,1710066.4,2241040.7,2633977.1,3702334.0,7063361.4,9906567.9,13969986.2,19047853.6,22408127.9,25531799.5
Covid19Sim-Simulator,,,,,,955.5,1020.9,1019.4,812.7,772.2,978.4,977.9,879.4,697.7,618.9,471.2,,,1081.7,860.9,1075.7,1423.8,1665.4,1764.0,1654.6,2016.8,2553.3,1970.3,1884.4,,,,,,4299199.7,4832654.9,4988134.5,3591103.6,2926872.8,9716760.8,10989878.6,5754490.3,2570792.3,1941823.7,554200.0,,,2753614.4,1522162.6,2487208.0,4373972.3,5975295.5,6496606.6,6260079.0,8948506.0,15953554.2,12520120.1,14018538.8
YYG-ParamSearch,,,,,,,,,823.6,713.7,,,436.6,462.4,385.8,,,,,,,,,,,,,,,,,,,,,,,3391444.3,2702117.4,,,633338.5,642573.3,359159.2,,,,,,,,,,,,,,
USC-SI_kJalpha,,,,,,,,,,,1043.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7934532.1,,,,,,,,,,,,,,,,,,
