,mean_abs_error_2020-04-20_2020-05-02,mean_abs_error_2020-04-27_2020-05-09,mean_abs_error_2020-05-04_2020-05-16,mean_abs_error_2020-05-11_2020-05-23,mean_abs_error_2020-05-18_2020-05-30,mean_abs_error_2020-05-25_2020-06-06,mean_abs_error_2020-06-01_2020-06-13,mean_abs_error_2020-06-08_2020-06-20,mean_abs_error_2020-06-15_2020-06-27,mean_abs_error_2020-06-22_2020-07-04,mean_abs_error_2020-06-29_2020-07-11,mean_abs_error_2020-07-06_2020-07-18,mean_abs_error_2020-07-13_2020-07-25,mean_abs_error_2020-07-20_2020-08-01,mean_abs_error_2020-07-27_2020-08-08,mean_abs_error_2020-08-03_2020-08-15,mean_abs_error_2020-08-10_2020-08-22,mean_abs_error_2020-08-17_2020-08-29,mean_abs_error_2020-08-24_2020-09-05,mean_abs_error_2020-08-31_2020-09-12,mean_abs_error_2020-09-07_2020-09-19,mean_abs_error_2020-09-14_2020-09-26,mean_abs_error_2020-09-21_2020-10-03,mean_abs_error_2020-09-28_2020-10-10,mean_abs_error_2020-10-05_2020-10-17,mean_abs_error_2020-10-12_2020-10-24,mean_abs_error_2020-10-19_2020-10-31,mean_abs_error_2020-10-26_2020-11-07,mean_abs_error_2020-11-02_2020-11-14,mean_abs_error_2020-11-09_2020-11-21,mean_abs_error_2020-11-16_2020-11-28,mean_abs_error_2020-11-23_2020-12-05,mean_abs_error_2020-11-30_2020-12-12,mean_abs_error_2020-12-07_2020-12-19,mean_abs_error_2020-12-14_2020-12-26,mean_abs_error_2020-12-21_2021-01-02,mean_abs_error_2020-12-28_2021-01-09,mean_abs_error_2021-01-04_2021-01-16,mean_abs_error_2021-01-11_2021-01-23,mean_abs_error_2021-01-18_2021-01-30,mean_abs_error_2021-01-25_2021-02-06,mean_abs_error_2021-02-01_2021-02-13,mean_abs_error_2021-02-08_2021-02-20,mean_abs_error_2021-02-15_2021-02-27,mean_abs_error_2021-02-22_2021-03-06,mean_sq_abs_error_2020-04-20_2020-05-02,mean_sq_abs_error_2020-04-27_2020-05-09,mean_sq_abs_error_2020-05-04_2020-05-16,mean_sq_abs_error_2020-05-11_2020-05-23,mean_sq_abs_error_2020-05-18_2020-05-30,mean_sq_abs_error_2020-05-25_2020-06-06,mean_sq_abs_error_2020-06-01_2020-06-13,mean_sq_abs_error_2020-06-08_2020-06-20,mean_sq_abs_error_2020-06-15_2020-06-27,mean_sq_abs_error_2020-06-22_2020-07-04,mean_sq_abs_error_2020-06-29_2020-07-11,mean_sq_abs_error_2020-07-06_2020-07-18,mean_sq_abs_error_2020-07-13_2020-07-25,mean_sq_abs_error_2020-07-20_2020-08-01,mean_sq_abs_error_2020-07-27_2020-08-08,mean_sq_abs_error_2020-08-03_2020-08-15,mean_sq_abs_error_2020-08-10_2020-08-22,mean_sq_abs_error_2020-08-17_2020-08-29,mean_sq_abs_error_2020-08-24_2020-09-05,mean_sq_abs_error_2020-08-31_2020-09-12,mean_sq_abs_error_2020-09-07_2020-09-19,mean_sq_abs_error_2020-09-14_2020-09-26,mean_sq_abs_error_2020-09-21_2020-10-03,mean_sq_abs_error_2020-09-28_2020-10-10,mean_sq_abs_error_2020-10-05_2020-10-17,mean_sq_abs_error_2020-10-12_2020-10-24,mean_sq_abs_error_2020-10-19_2020-10-31,mean_sq_abs_error_2020-10-26_2020-11-07,mean_sq_abs_error_2020-11-02_2020-11-14,mean_sq_abs_error_2020-11-09_2020-11-21,mean_sq_abs_error_2020-11-16_2020-11-28,mean_sq_abs_error_2020-11-23_2020-12-05,mean_sq_abs_error_2020-11-30_2020-12-12,mean_sq_abs_error_2020-12-07_2020-12-19,mean_sq_abs_error_2020-12-14_2020-12-26,mean_sq_abs_error_2020-12-21_2021-01-02,mean_sq_abs_error_2020-12-28_2021-01-09,mean_sq_abs_error_2021-01-04_2021-01-16,mean_sq_abs_error_2021-01-11_2021-01-23,mean_sq_abs_error_2021-01-18_2021-01-30,mean_sq_abs_error_2021-01-25_2021-02-06,mean_sq_abs_error_2021-02-01_2021-02-13,mean_sq_abs_error_2021-02-08_2021-02-20,mean_sq_abs_error_2021-02-15_2021-02-27,mean_sq_abs_error_2021-02-22_2021-03-06
YYG-ParamSearch,135.4,114.0,68.5,50.7,66.0,53.1,37.8,39.0,37.8,34.7,50.7,80.4,53.9,76.8,74.4,42.4,32.2,30.0,31.4,29.5,35.8,49.3,41.5,35.1,29.2,,,,,,,,,,,,,,,,,,,,,81066.5,61360.4,16615.4,9236.4,14713.7,10186.1,3040.6,3854.2,3833.5,3624.4,11249.2,41372.9,22415.4,47660.3,41636.3,6054.4,3796.7,3426.0,2474.7,3271.2,5454.2,9808.6,4864.2,2588.6,1816.5,,,,,,,,,,,,,,,,,,,,
COVIDhub-ensemble,,125.4,60.8,66.5,68.8,48.2,51.3,45.0,45.0,45.5,41.3,61.7,68.2,69.4,70.7,41.5,34.3,29.3,32.0,30.2,33.1,42.0,32.9,30.5,36.1,41.1,58.2,63.9,84.7,91.5,85.8,79.8,183.1,151.7,105.6,121.2,145.1,244.9,160.0,115.6,121.5,89.0,130.5,147.6,135.4,,112224.4,10247.7,20937.3,18152.3,7228.1,6343.7,4880.2,5164.4,5642.8,6988.8,29156.2,27526.0,37636.9,46447.3,7044.5,4017.3,2782.7,3020.0,2619.0,4222.3,6354.5,3229.5,1893.6,3154.3,4170.8,9112.9,12673.4,22735.4,25572.5,29104.1,34884.9,92923.6,78424.1,42533.7,38788.2,75699.7,212078.0,92414.5,26399.6,45698.1,20195.3,54641.1,78259.0,150160.5
UMass-MechBayes,,304.8,137.5,59.7,44.9,27.4,55.2,35.5,34.6,45.3,54.3,66.6,51.1,72.2,88.8,57.8,46.4,41.8,38.2,31.0,27.9,44.8,35.9,32.0,37.0,37.1,49.0,58.4,71.2,71.7,72.7,81.7,197.3,150.9,96.8,94.1,210.6,248.6,153.0,117.2,155.8,121.4,102.3,117.6,149.2,,687136.0,90886.7,9281.9,6057.9,2389.6,7788.2,4332.5,3333.9,7179.8,15241.7,31567.7,13789.9,41374.5,68214.1,24971.2,8156.1,4451.1,4004.8,4076.9,2795.5,6742.8,3931.9,2454.6,4383.0,3759.3,5668.0,10415.2,17011.6,14275.9,18023.7,28830.5,102340.4,72789.1,36385.4,35294.5,118933.2,214495.0,86727.1,62066.5,112308.0,55637.1,32249.4,59212.5,164162.0
OliverWyman-Navigator,,,,,,,,50.2,44.2,53.3,58.2,66.6,75.3,76.1,68.0,38.4,38.4,31.7,31.2,41.8,37.8,43.7,41.4,50.3,34.8,49.3,57.3,54.1,84.2,76.4,81.3,94.9,151.9,169.8,180.8,153.3,157.4,185.0,168.7,123.3,143.5,86.7,120.5,105.7,177.7,,,,,,,,7178.0,5169.1,8018.6,11221.4,32979.5,22295.9,32084.7,27098.0,5657.0,4079.0,6406.3,2268.3,4686.9,4873.3,5458.8,4079.1,8028.7,2998.5,7276.1,14161.6,11330.5,23361.4,14885.4,26902.3,37704.3,73332.5,103592.4,115073.6,66355.2,114089.5,138528.9,54983.8,32507.0,75905.3,27643.4,60165.5,41022.1,160090.7
Baseline,119.6,141.1,96.1,103.3,99.2,73.5,56.9,71.4,61.2,52.0,119.1,90.8,86.9,96.7,83.1,40.5,37.1,41.5,40.9,37.9,44.2,42.6,42.8,41.0,37.8,53.3,67.0,72.4,94.8,120.7,132.5,127.0,268.9,169.5,156.2,129.0,227.7,249.1,150.1,104.1,121.8,129.6,233.3,171.9,152.6,192463.6,143212.1,58657.7,56963.6,55785.4,22157.9,7943.6,20181.2,12593.2,7010.8,220424.8,49476.3,37800.1,62935.1,49202.8,10389.5,7674.0,11365.8,8952.3,4408.6,7377.1,6096.0,4760.4,3976.5,3162.4,7491.3,10894.1,14797.9,30661.3,36889.6,51855.9,60666.5,169296.5,100996.6,88454.0,54620.2,203236.4,234242.0,62135.6,25462.0,47630.1,51810.6,271003.8,97580.8,112944.1
LNQ-ens1,,,,,,,,,,,,,,61.2,71.3,27.5,41.1,42.5,33.5,26.3,36.3,52.0,34.9,27.3,38.7,44.1,57.4,61.7,77.8,75.9,77.2,90.7,236.5,130.8,112.3,138.0,247.1,264.5,131.9,115.9,124.8,91.9,136.0,170.9,137.9,,,,,,,,,,,,,,29734.9,37491.8,1791.1,7046.6,4642.6,2236.4,2852.7,4635.0,8627.5,3384.4,1493.5,4395.2,4179.4,8376.4,11838.9,20317.8,15721.2,21288.3,33255.8,131807.3,50596.7,40380.1,52561.4,150042.4,196658.0,43461.6,30458.8,43698.6,22757.7,72237.5,225075.2,151597.7
USC-SI_kJalpha,,,,,,,,,,,55.5,84.9,114.6,78.2,86.3,38.4,36.1,34.0,44.1,35.8,45.6,45.5,40.4,46.4,41.7,46.1,55.4,66.7,82.3,73.8,84.1,95.9,140.5,165.6,104.9,166.4,131.4,292.6,202.8,180.4,155.7,91.4,120.2,183.8,152.6,,,,,,,,,,,12955.9,33931.9,50067.7,27461.6,64868.6,3087.2,3920.7,3214.4,9902.4,4451.0,5907.9,5352.0,4482.5,5583.0,4530.0,6011.7,11186.0,17576.7,21910.7,13645.8,26028.0,31900.3,52350.1,79730.8,44100.5,78479.1,46009.0,263403.0,124918.5,78940.1,70162.5,23871.6,53388.4,248137.2,168243.9
LANL-GrowthRate,195.1,174.9,81.9,63.7,60.6,53.3,56.4,56.2,55.5,62.4,69.0,81.1,90.3,118.0,137.0,106.4,72.8,71.4,60.5,48.2,51.9,57.5,44.8,46.8,63.9,63.3,76.6,87.7,92.5,90.7,105.2,128.3,230.6,135.6,138.7,204.0,262.6,260.9,180.1,169.3,163.7,143.4,125.8,158.7,175.7,433404.1,161922.0,31864.4,15491.3,13845.0,11384.9,8100.1,10275.5,8884.9,12067.9,19573.2,51521.6,44706.9,92601.1,156271.0,69485.7,21225.9,17617.6,13990.7,10580.8,11979.8,9825.0,5021.8,5727.9,15119.3,10846.5,13985.8,22458.3,26608.6,20254.3,28544.6,58625.0,131693.3,49104.0,69383.4,193994.2,257473.5,266869.1,84404.7,94544.2,86864.6,49155.8,57043.4,122335.6,192870.2
COVIDhub-baseline,295.2,119.8,95.2,140.9,105.8,92.4,64.3,68.7,71.8,57.4,126.6,86.7,94.3,99.3,81.8,54.1,38.3,48.5,53.8,57.6,53.3,45.6,50.8,46.7,37.7,52.8,72.5,74.0,96.9,117.6,129.4,127.0,254.2,164.1,155.4,137.3,208.6,242.2,167.4,124.8,127.6,147.9,291.1,374.5,176.6,2270378.6,80788.1,45446.9,149427.5,53119.3,34659.2,10815.7,17043.1,19575.8,8362.5,252963.7,47474.9,46972.1,61368.4,46207.9,24338.1,6699.6,12940.3,14569.1,11233.8,10207.5,6251.7,6996.6,5304.6,3523.3,7380.7,15920.2,14587.2,32384.7,35521.7,50899.9,60716.9,153169.7,94451.9,87272.7,54683.0,167172.0,208220.1,74745.3,33801.8,48493.4,75556.1,349360.2,1689855.7,143818.8
UCLA-SuEIR,,,186.4,114.0,50.9,49.6,49.3,58.3,38.2,41.5,73.9,79.7,75.9,97.3,78.4,58.9,44.0,52.9,44.9,44.6,47.2,43.5,46.1,39.7,48.3,71.7,84.1,89.7,108.0,132.6,177.2,124.1,282.5,157.6,154.9,122.0,286.8,273.2,168.5,131.6,196.4,132.3,154.8,,224.4,,,325849.9,127486.6,9314.2,9176.2,6803.1,9480.9,3985.3,4463.4,19808.8,44107.4,31122.3,68724.1,43575.8,28940.0,7777.5,13079.0,6595.2,5896.2,6808.2,5934.1,4613.2,3152.3,5354.2,10794.9,15943.7,17991.7,38593.9,41645.1,100907.8,55063.5,188402.7,77319.3,83206.2,44744.4,281975.4,252229.0,76561.3,63367.3,139741.9,38689.2,77467.7,,229394.7
