,mean_abs_error_2020-04-20_2020-05-30,mean_abs_error_2020-04-27_2020-06-06,mean_abs_error_2020-05-04_2020-06-13,mean_abs_error_2020-05-11_2020-06-20,mean_abs_error_2020-05-18_2020-06-27,mean_abs_error_2020-05-25_2020-07-04,mean_abs_error_2020-06-01_2020-07-11,mean_abs_error_2020-06-08_2020-07-18,mean_abs_error_2020-06-15_2020-07-25,mean_abs_error_2020-06-22_2020-08-01,mean_abs_error_2020-06-29_2020-08-08,mean_abs_error_2020-07-06_2020-08-15,mean_abs_error_2020-07-13_2020-08-22,mean_abs_error_2020-07-20_2020-08-29,mean_abs_error_2020-07-27_2020-09-05,mean_abs_error_2020-08-03_2020-09-12,mean_abs_error_2020-08-10_2020-09-19,mean_abs_error_2020-08-17_2020-09-26,mean_abs_error_2020-08-24_2020-10-03,mean_abs_error_2020-08-31_2020-10-10,mean_abs_error_2020-09-07_2020-10-17,mean_abs_error_2020-09-14_2020-10-24,mean_abs_error_2020-09-21_2020-10-31,mean_abs_error_2020-09-28_2020-11-07,mean_abs_error_2020-10-05_2020-11-14,mean_abs_error_2020-10-12_2020-11-21,mean_abs_error_2020-10-19_2020-11-28,mean_abs_error_2020-10-26_2020-12-05,mean_abs_error_2020-11-02_2020-12-12,mean_abs_error_2020-11-09_2020-12-19,mean_abs_error_2020-11-16_2020-12-26,mean_abs_error_2020-11-23_2021-01-02,mean_abs_error_2020-11-30_2021-01-09,mean_abs_error_2020-12-07_2021-01-16,mean_abs_error_2020-12-14_2021-01-23,mean_abs_error_2020-12-21_2021-01-30,mean_abs_error_2020-12-28_2021-02-06,mean_abs_error_2021-01-04_2021-02-13,mean_abs_error_2021-01-11_2021-02-20,mean_abs_error_2021-01-18_2021-02-27,mean_abs_error_2021-01-25_2021-03-06,mean_sq_abs_error_2020-04-20_2020-05-30,mean_sq_abs_error_2020-04-27_2020-06-06,mean_sq_abs_error_2020-05-04_2020-06-13,mean_sq_abs_error_2020-05-11_2020-06-20,mean_sq_abs_error_2020-05-18_2020-06-27,mean_sq_abs_error_2020-05-25_2020-07-04,mean_sq_abs_error_2020-06-01_2020-07-11,mean_sq_abs_error_2020-06-08_2020-07-18,mean_sq_abs_error_2020-06-15_2020-07-25,mean_sq_abs_error_2020-06-22_2020-08-01,mean_sq_abs_error_2020-06-29_2020-08-08,mean_sq_abs_error_2020-07-06_2020-08-15,mean_sq_abs_error_2020-07-13_2020-08-22,mean_sq_abs_error_2020-07-20_2020-08-29,mean_sq_abs_error_2020-07-27_2020-09-05,mean_sq_abs_error_2020-08-03_2020-09-12,mean_sq_abs_error_2020-08-10_2020-09-19,mean_sq_abs_error_2020-08-17_2020-09-26,mean_sq_abs_error_2020-08-24_2020-10-03,mean_sq_abs_error_2020-08-31_2020-10-10,mean_sq_abs_error_2020-09-07_2020-10-17,mean_sq_abs_error_2020-09-14_2020-10-24,mean_sq_abs_error_2020-09-21_2020-10-31,mean_sq_abs_error_2020-09-28_2020-11-07,mean_sq_abs_error_2020-10-05_2020-11-14,mean_sq_abs_error_2020-10-12_2020-11-21,mean_sq_abs_error_2020-10-19_2020-11-28,mean_sq_abs_error_2020-10-26_2020-12-05,mean_sq_abs_error_2020-11-02_2020-12-12,mean_sq_abs_error_2020-11-09_2020-12-19,mean_sq_abs_error_2020-11-16_2020-12-26,mean_sq_abs_error_2020-11-23_2021-01-02,mean_sq_abs_error_2020-11-30_2021-01-09,mean_sq_abs_error_2020-12-07_2021-01-16,mean_sq_abs_error_2020-12-14_2021-01-23,mean_sq_abs_error_2020-12-21_2021-01-30,mean_sq_abs_error_2020-12-28_2021-02-06,mean_sq_abs_error_2021-01-04_2021-02-13,mean_sq_abs_error_2021-01-11_2021-02-20,mean_sq_abs_error_2021-01-18_2021-02-27,mean_sq_abs_error_2021-01-25_2021-03-06
YYG-ParamSearch,377.5,323.8,184.3,299.0,368.6,295.5,206.3,227.7,240.0,268.5,286.7,318.6,189.9,208.4,184.7,139.4,129.9,107.3,118.4,123.8,147.2,202.7,189.2,,,,,,,,,,,,,,,,,,,465851.9,479033.4,124575.1,283186.6,416699.9,273042.8,95229.4,144188.0,233321.5,426079.3,619331.0,822751.5,320590.1,261649.3,117470.3,48805.5,57931.4,28992.5,52599.5,62084.9,89654.7,129020.6,80347.7,,,,,,,,,,,,,,,,,,
Covid19Sim-Simulator,,,,,,223.9,278.9,298.6,217.1,244.6,295.6,292.1,186.6,187.6,177.7,171.1,,,386.1,141.1,179.4,170.4,204.3,212.0,252.9,303.3,403.8,397.0,447.7,483.4,,750.5,676.8,589.4,595.8,513.6,610.5,614.0,523.1,535.8,656.9,,,,,,147077.1,239858.0,324675.8,215685.1,406350.3,514956.8,537699.6,219556.0,234255.9,167623.3,128665.2,,,741398.9,99182.5,161764.1,88202.3,89046.4,100443.2,152956.7,233539.3,413842.2,482110.8,634347.7,815883.6,,1869460.3,1364411.1,1286118.9,1415993.0,782793.2,1150591.6,1098682.8,943006.7,807067.7,958392.3
UCLA-SuEIR,,,322.1,281.4,162.7,163.4,169.9,243.4,251.2,322.0,407.8,413.9,319.1,299.8,210.6,179.2,180.8,172.7,158.1,166.5,158.4,168.4,198.7,224.9,301.1,403.4,529.0,667.0,843.7,984.1,1138.3,676.2,1045.3,736.1,885.3,818.0,1149.1,839.8,637.0,534.4,660.2,,,300522.3,748698.4,86665.3,71053.6,75296.9,184527.5,352979.6,661506.6,913585.8,1212567.8,620959.7,583917.2,221688.1,170281.8,124914.7,82899.2,69409.8,54326.1,63048.8,64523.5,85568.9,99814.9,183643.9,345529.7,618051.3,1022950.8,1711691.3,2071538.2,3001438.0,1514982.1,3252155.4,2340371.9,3189643.1,2847475.8,5762608.4,3106535.0,1169999.7,903013.3,1368226.7
LANL-GrowthRate,563.6,422.0,248.2,206.5,189.7,200.5,187.6,201.2,192.5,264.5,344.4,402.1,393.5,400.4,415.5,337.5,264.3,266.7,252.1,228.1,248.2,271.1,268.2,322.7,398.5,483.6,580.3,749.4,616.8,617.8,639.8,703.4,957.7,577.9,664.7,899.7,958.5,795.6,939.1,1193.2,556.4,2528927.3,871954.9,204267.3,147143.4,115301.4,114949.1,104781.2,204157.0,233264.1,425238.7,905603.4,1300696.4,969552.1,933070.9,1115895.5,600995.8,235786.9,209151.3,230785.9,186586.3,201366.6,160581.6,136506.7,215945.7,336228.8,483521.4,692163.3,1249729.1,918772.6,935364.1,1043506.5,1595915.0,2870593.1,1095575.7,1596822.6,3533698.4,3207657.8,2336837.3,2644289.3,6688696.1,1349402.9
IowaStateLW-STEM,,350.8,464.8,,213.5,190.6,236.8,260.8,281.7,330.0,456.2,402.3,366.2,302.7,217.5,230.2,,234.7,263.2,183.2,193.8,167.0,205.6,242.5,289.9,377.2,495.8,580.2,713.2,854.2,854.4,591.8,796.4,802.2,742.2,803.9,722.6,723.3,625.4,758.2,715.0,,298282.7,856957.6,,129238.9,101578.6,171770.5,240670.4,309069.4,541187.2,1303489.8,912891.1,680355.0,266664.2,166834.3,235560.4,,230336.5,366457.6,133166.1,111247.2,70338.8,103872.9,118870.2,178550.4,305815.5,517620.4,784409.5,1205511.6,1799328.6,1907010.1,1247634.7,2123727.4,2550605.6,2258172.7,2499151.1,2020040.6,2106411.8,1041081.9,1511039.0,1434237.1
Baseline,643.8,626.6,580.0,597.5,508.0,417.4,352.2,376.7,360.0,366.5,607.2,450.2,364.0,300.0,198.4,241.5,211.1,239.1,215.5,207.7,187.9,177.8,215.2,229.9,249.7,343.1,431.7,519.0,703.6,845.4,881.2,738.2,1004.2,756.5,865.1,764.1,885.2,769.1,560.4,601.2,662.1,6926943.2,4161437.1,2536749.6,2034674.8,1435518.9,644598.2,329298.1,446468.8,441479.4,643609.7,3330726.3,1258364.2,764782.0,419428.3,140649.1,403254.7,322502.0,304223.4,274280.8,136030.7,152848.3,83390.4,114888.8,130797.7,134459.1,285024.7,453597.2,680358.9,1288866.6,1666123.1,1960291.7,1719732.1,3090354.6,2489926.9,2829697.3,2208293.3,3511890.5,2056457.1,810333.8,955926.9,1141129.2
IHME-CurveFit,796.5,768.2,325.5,245.5,254.2,,302.4,209.5,206.2,221.1,294.1,351.3,,270.3,215.5,195.2,178.4,,386.9,391.7,332.8,,253.9,379.6,,,381.6,470.4,,,,529.1,,603.2,743.4,580.5,655.3,,,756.7,522.2,2422907.2,2353719.1,373940.5,245309.5,220248.5,,346487.5,134996.0,207821.3,232389.7,515880.3,654348.2,,214815.0,110684.9,149430.4,80644.9,,800469.1,848201.0,316164.6,,187415.7,566354.6,,,372841.8,624966.8,,,,944752.4,,879610.7,1623702.7,817870.6,902415.4,,,1498318.0,903199.7
CU-select,563.2,464.8,745.4,663.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1516131.8,900526.5,2748338.5,1618015.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JCB-PRM,,,,,,,,,,,,,,,,,,,,,118.9,158.7,158.9,173.9,227.4,296.5,396.2,431.9,558.5,628.6,479.6,646.8,614.3,600.8,597.6,703.7,609.3,,,,,,,,,,,,,,,,,,,,,,,,,62063.2,82415.9,61788.4,65259.9,118100.2,199199.2,397177.1,536987.5,874343.1,1111130.7,877742.9,1258281.5,1363257.2,1390817.2,1066061.1,1728117.4,1185617.8,,,,
USC-SI_kJalpha,,,,,,,,,,,431.2,500.0,463.6,340.1,305.6,158.8,183.4,149.1,186.9,172.9,156.8,186.0,174.0,198.5,207.3,279.6,322.4,402.1,477.7,544.1,,,,,,,,,,,488.5,,,,,,,,,,,2353396.8,1090545.4,641253.2,364899.8,593622.5,68525.0,108782.4,56224.8,138580.1,123720.5,65265.7,85043.4,72795.4,87950.0,104745.6,183393.4,311863.7,411974.9,703549.7,761956.4,,,,,,,,,,,694218.7
