,mean_abs_error_2020-05-04_2020-09-05,mean_abs_error_2020-05-11_2020-09-05,mean_abs_error_2020-05-18_2020-09-05,mean_abs_error_2020-05-25_2020-09-05,mean_abs_error_2020-06-01_2020-09-05,mean_abs_error_2020-06-08_2020-09-05,mean_abs_error_2020-06-15_2020-09-05,mean_abs_error_2020-06-22_2020-09-05,mean_abs_error_2020-06-29_2020-09-05,mean_abs_error_2020-07-06_2020-09-05,mean_abs_error_2020-07-13_2020-09-05,mean_abs_error_2020-07-20_2020-09-05,mean_abs_error_2020-07-27_2020-09-05,mean_abs_error_2020-08-03_2020-09-05,mean_abs_error_2020-08-10_2020-09-05,mean_abs_error_2020-08-17_2020-09-05,mean_abs_error_2020-08-24_2020-09-05,mean_abs_error_2020-08-31_2020-09-05,mean_sq_abs_error_2020-05-04_2020-09-05,mean_sq_abs_error_2020-05-11_2020-09-05,mean_sq_abs_error_2020-05-18_2020-09-05,mean_sq_abs_error_2020-05-25_2020-09-05,mean_sq_abs_error_2020-06-01_2020-09-05,mean_sq_abs_error_2020-06-08_2020-09-05,mean_sq_abs_error_2020-06-15_2020-09-05,mean_sq_abs_error_2020-06-22_2020-09-05,mean_sq_abs_error_2020-06-29_2020-09-05,mean_sq_abs_error_2020-07-06_2020-09-05,mean_sq_abs_error_2020-07-13_2020-09-05,mean_sq_abs_error_2020-07-20_2020-09-05,mean_sq_abs_error_2020-07-27_2020-09-05,mean_sq_abs_error_2020-08-03_2020-09-05,mean_sq_abs_error_2020-08-10_2020-09-05,mean_sq_abs_error_2020-08-17_2020-09-05,mean_sq_abs_error_2020-08-24_2020-09-05,mean_sq_abs_error_2020-08-31_2020-09-05
YYG-ParamSearch,,,,,,,715.5,583.7,519.2,431.6,242.8,241.3,184.7,121.5,81.5,46.8,31.4,17.4,,,,,,,2642792.7,1980932.8,1755864.2,1452652.1,388539.8,310618.9,117470.3,37025.0,24838.0,9337.2,2474.7,872.0
USC-SI_kJalpha,,,,,,,,,842.5,,694.1,426.3,305.6,118.5,95.4,58.5,44.1,19.7,,,,,,,,,7869880.7,,1392667.8,561316.4,593622.5,36801.6,29331.4,8624.1,9902.4,1190.2
Baseline,3162.4,2749.8,2252.5,1753.3,1421.8,1298.9,1022.5,841.8,1090.4,676.2,468.6,336.0,198.4,179.1,110.2,77.2,40.9,17.6,54952574.7,34720073.8,20841909.0,9849008.3,6306176.6,5485048.1,4173553.6,3223285.4,9984469.0,2606254.5,1126781.7,475944.8,140649.1,213965.5,80387.7,40475.8,8952.3,761.7
UCLA-SuEIR,,,,,912.9,925.6,877.5,816.3,784.8,658.5,415.7,337.5,210.6,148.3,104.9,82.7,44.9,26.1,,,,,4147506.2,4618874.3,4451972.9,3733734.0,2994423.1,2676932.9,940560.5,721854.3,221688.1,124568.5,44870.1,28116.5,6595.2,2355.6
CovidAnalytics-DELPHI,,,,,,,,,,,376.0,288.6,211.9,169.0,128.5,69.3,52.3,23.4,,,,,,,,,,,597905.2,323853.6,195999.6,99792.4,51739.4,12989.6,12733.6,1840.8
COVIDhub-ensemble,,,,,,,,,,,,,,,72.6,39.3,32.0,17.3,,,,,,,,,,,,,,,20051.4,5900.4,3020.0,937.7
OliverWyman-Navigator,,,,,,,,,,,,,,,75.1,45.0,31.2,19.0,,,,,,,,,,,,,,,14393.4,15832.7,2268.3,1001.1
JCB-PRM,,,,,,,,,,,,,,,85.9,53.2,37.5,21.7,,,,,,,,,,,,,,,14495.0,10306.2,7988.1,1856.0
LNQ-ens1,,,,,,,,,,,,,,,89.1,70.1,33.5,17.9,,,,,,,,,,,,,,,48454.9,16466.6,2236.4,877.5
UMass-MechBayes,,,,,,,,,,,,,,,102.8,59.0,38.2,19.8,,,,,,,,,,,,,,,36163.7,9908.3,4004.8,1412.7
