,mean_abs_error_2020-04-20_2020-06-06,mean_abs_error_2020-04-27_2020-06-13,mean_abs_error_2020-05-04_2020-06-20,mean_abs_error_2020-05-11_2020-06-27,mean_abs_error_2020-05-18_2020-07-04,mean_abs_error_2020-05-25_2020-07-11,mean_abs_error_2020-06-01_2020-07-18,mean_abs_error_2020-06-08_2020-07-25,mean_abs_error_2020-06-15_2020-08-01,mean_abs_error_2020-06-22_2020-08-08,mean_abs_error_2020-06-29_2020-08-15,mean_abs_error_2020-07-06_2020-08-22,mean_abs_error_2020-07-13_2020-08-29,mean_abs_error_2020-07-20_2020-09-05,mean_abs_error_2020-07-27_2020-09-12,mean_abs_error_2020-08-03_2020-09-19,mean_abs_error_2020-08-10_2020-09-26,mean_abs_error_2020-08-17_2020-10-03,mean_abs_error_2020-08-24_2020-10-10,mean_abs_error_2020-08-31_2020-10-17,mean_abs_error_2020-09-07_2020-10-24,mean_abs_error_2020-09-14_2020-10-31,mean_abs_error_2020-09-21_2020-11-07,mean_abs_error_2020-09-28_2020-11-14,mean_abs_error_2020-10-05_2020-11-21,mean_abs_error_2020-10-12_2020-11-28,mean_abs_error_2020-10-19_2020-12-05,mean_abs_error_2020-10-26_2020-12-12,mean_abs_error_2020-11-02_2020-12-19,mean_abs_error_2020-11-09_2020-12-26,mean_abs_error_2020-11-16_2021-01-02,mean_abs_error_2020-11-23_2021-01-09,mean_abs_error_2020-11-30_2021-01-16,mean_abs_error_2020-12-07_2021-01-23,mean_abs_error_2020-12-14_2021-01-30,mean_abs_error_2020-12-21_2021-02-06,mean_sq_abs_error_2020-04-20_2020-06-06,mean_sq_abs_error_2020-04-27_2020-06-13,mean_sq_abs_error_2020-05-04_2020-06-20,mean_sq_abs_error_2020-05-11_2020-06-27,mean_sq_abs_error_2020-05-18_2020-07-04,mean_sq_abs_error_2020-05-25_2020-07-11,mean_sq_abs_error_2020-06-01_2020-07-18,mean_sq_abs_error_2020-06-08_2020-07-25,mean_sq_abs_error_2020-06-15_2020-08-01,mean_sq_abs_error_2020-06-22_2020-08-08,mean_sq_abs_error_2020-06-29_2020-08-15,mean_sq_abs_error_2020-07-06_2020-08-22,mean_sq_abs_error_2020-07-13_2020-08-29,mean_sq_abs_error_2020-07-20_2020-09-05,mean_sq_abs_error_2020-07-27_2020-09-12,mean_sq_abs_error_2020-08-03_2020-09-19,mean_sq_abs_error_2020-08-10_2020-09-26,mean_sq_abs_error_2020-08-17_2020-10-03,mean_sq_abs_error_2020-08-24_2020-10-10,mean_sq_abs_error_2020-08-31_2020-10-17,mean_sq_abs_error_2020-09-07_2020-10-24,mean_sq_abs_error_2020-09-14_2020-10-31,mean_sq_abs_error_2020-09-21_2020-11-07,mean_sq_abs_error_2020-09-28_2020-11-14,mean_sq_abs_error_2020-10-05_2020-11-21,mean_sq_abs_error_2020-10-12_2020-11-28,mean_sq_abs_error_2020-10-19_2020-12-05,mean_sq_abs_error_2020-10-26_2020-12-12,mean_sq_abs_error_2020-11-02_2020-12-19,mean_sq_abs_error_2020-11-09_2020-12-26,mean_sq_abs_error_2020-11-16_2021-01-02,mean_sq_abs_error_2020-11-23_2021-01-09,mean_sq_abs_error_2020-11-30_2021-01-16,mean_sq_abs_error_2020-12-07_2021-01-23,mean_sq_abs_error_2020-12-14_2021-01-30,mean_sq_abs_error_2020-12-21_2021-02-06
YYG-ParamSearch,,,211.9,388.5,477.9,344.5,281.9,305.5,333.6,337.1,350.5,362.6,220.4,241.3,208.7,158.9,152.8,127.7,148.9,158.4,196.8,263.0,,,,,,,,,,,,,,,,,176484.2,477841.9,708739.5,400699.0,175239.4,282176.7,560268.0,719336.0,904400.2,1080411.7,366915.2,310804.4,131673.3,60551.2,72430.8,38238.9,78210.7,106438.5,136146.1,187879.9,,,,,,,,,,,,,,
Covid19Sim-Simulator,,,,,,291.2,354.8,388.9,303.6,325.1,351.2,340.0,217.2,226.1,208.6,200.7,,,424.5,173.0,220.1,207.8,261.3,261.1,315.2,355.9,547.9,507.7,533.0,520.4,,900.6,865.9,681.3,720.4,661.1,,,,,,253540.7,418136.8,586735.7,548399.1,708633.8,662912.3,744566.3,327249.7,328877.3,241191.2,143543.1,,,856773.3,152767.3,207708.2,120735.8,153428.3,158252.5,235887.5,327494.6,698361.3,632236.5,708067.5,754676.8,,2708656.0,2415801.8,1827794.6,2063777.9,1112316.8
UCLA-SuEIR,,,365.9,329.8,204.7,210.8,232.0,328.9,366.1,429.2,510.8,498.2,371.2,337.0,241.5,205.7,229.3,210.8,195.9,199.8,201.8,215.5,255.3,292.8,411.0,501.7,709.3,881.3,1062.5,1126.1,1317.9,793.2,1228.8,925.8,1074.3,1001.7,,,368115.1,886436.3,128699.6,116091.7,163790.2,399036.0,847855.3,1153475.6,1380858.1,1709634.4,791698.1,721597.8,261688.3,219769.7,197030.1,115023.9,97949.8,78682.6,94616.0,102293.7,134895.3,166359.7,345174.3,525749.2,1050358.9,1601352.3,2450934.5,2621950.8,3869844.4,2333513.4,5194149.9,3793647.6,5148972.7,4303605.1
IowaStateLW-STEM,,425.5,533.7,,274.2,260.7,328.2,364.8,404.9,431.6,554.6,470.7,418.2,335.9,258.9,278.7,,284.5,315.7,224.8,243.5,201.4,246.9,308.9,396.7,472.2,683.4,770.2,902.0,964.9,976.9,690.6,969.3,952.1,1007.2,1014.7,,440861.2,990284.5,,195894.4,188669.0,347099.3,512764.2,732888.1,939732.8,1909791.0,1233792.1,824999.4,308156.2,226754.8,370671.8,,354000.4,515543.8,202447.6,169041.0,107745.1,137676.6,187810.0,314279.9,470882.4,909145.4,1232780.4,1768285.0,2192426.4,2557646.9,1884858.9,3623199.9,4034949.5,3956950.3,3910253.2
LANL-GrowthRate,640.5,481.8,294.3,256.3,244.3,240.2,248.6,290.9,,,435.1,493.2,469.5,465.6,476.6,401.9,325.1,322.9,320.8,288.9,327.6,347.5,357.5,426.8,545.7,608.9,801.3,989.9,,,,,,,,,2951894.7,1038875.6,268418.2,203636.1,167419.4,184074.7,222757.9,430344.9,,,1372625.7,1831775.5,1314835.5,1219580.1,1408616.9,802906.7,349717.7,292659.0,343186.8,290401.5,305919.7,245740.7,241565.9,377022.2,611770.1,759704.3,1221981.9,1984981.9,,,,,,,,
USC-SI_kJalpha,,,,,,,,,,,560.0,635.5,571.7,428.3,369.5,214.1,238.0,192.1,234.5,214.8,199.6,249.8,237.7,257.3,287.1,347.8,447.6,512.6,594.3,656.0,,,,,,,,,,,,,,,,,4125847.0,1680489.6,967195.4,563022.9,825741.3,129403.3,186113.0,95077.2,194580.5,207860.7,101674.4,146758.1,121113.9,140815.5,189046.1,260983.8,450179.3,635930.5,871538.2,998712.2,,,,,,
IHME-CurveFit,916.4,873.9,367.6,268.1,268.9,,381.4,275.5,300.3,288.6,370.3,410.3,,313.0,253.6,242.8,227.0,,465.5,493.0,435.3,,344.0,484.5,,,458.1,517.1,,,,562.3,,621.4,848.9,740.2,3022638.3,2862287.6,439745.8,295807.5,261061.7,,535072.5,277390.6,506271.5,396140.4,770271.3,883701.3,,269598.5,151654.5,192301.2,129789.5,,1109033.6,1205310.8,576377.9,,372491.0,964815.2,,,505505.4,707213.1,,,,1195538.7,,965761.7,2228900.2,1270204.7
Baseline,821.0,776.9,738.5,746.2,627.4,508.2,462.6,494.2,483.9,472.3,740.5,536.4,419.8,335.8,216.0,302.0,270.3,306.7,274.3,256.6,246.0,233.9,283.2,284.7,346.6,418.0,577.4,679.3,881.6,947.9,999.3,886.9,1187.7,906.6,1052.0,907.0,11054700.6,6532965.3,4085877.4,3182409.0,2210691.6,948314.6,582105.8,768665.9,922257.5,1090124.5,4737392.4,1741342.8,967474.1,475531.3,154522.8,667948.7,524416.5,494013.0,428427.0,221105.7,248235.4,141726.3,185434.9,205858.4,248726.5,389315.1,712373.1,1007682.3,1776162.7,1969236.9,2438125.8,2425915.7,4873397.7,3825891.8,4464165.7,3186595.6
JCB-PRM,,,,,,,,,,,,,,,,,,,,,150.9,206.5,219.8,225.6,296.2,360.1,521.1,538.9,679.9,688.5,562.4,817.0,821.6,829.0,869.2,1074.8,,,,,,,,,,,,,,,,,,,,,92035.1,112526.0,103673.8,111118.9,194651.1,263078.6,598460.1,669225.4,1085499.9,1273893.2,1023668.5,2055555.8,2472434.0,2381451.3,2342490.0,4124955.7
CovidAnalytics-DELPHI,,,,,,,,,,,,390.5,321.3,288.5,254.7,,252.5,223.0,255.3,252.9,263.1,276.3,326.7,385.5,,529.4,828.8,805.1,,1179.3,1321.4,,,,,,,,,,,,,,,,,701334.5,507830.4,323631.4,256030.4,,197833.7,129809.3,276209.2,224115.5,165477.1,161302.4,202719.7,293886.0,,642814.6,1376500.7,1387096.4,,3530787.4,4638298.6,,,,,
