,perc_error_2020-04-20_2020-07-18,perc_error_2020-04-27_2020-07-18,perc_error_2020-05-04_2020-07-18,perc_error_2020-05-11_2020-07-18,perc_error_2020-05-18_2020-07-18,perc_error_2020-05-25_2020-07-18,perc_error_2020-06-01_2020-07-18,perc_error_2020-06-08_2020-07-18,perc_error_2020-06-15_2020-07-18,perc_error_2020-06-22_2020-07-18,perc_error_2020-06-29_2020-07-18,perc_error_2020-07-06_2020-07-18,perc_error_2020-07-13_2020-07-18
OliverWyman-Navigator,,,,,,,,,,0.027,0.097,-0.177,0.001
LANL-GrowthRate,,,,,,,-0.178,-0.089,0.035,0.063,0.048,-0.384,-0.166
UT-Mobility,,,,,,,,,,-0.052,-0.063,-0.207,0.102
UMass-MechBayes,,,,,,,,,,0.063,0.205,-0.089,-0.006
COVIDhub-baseline,,,,,,,,,,-0.044,0.249,-0.327,-0.052
COVIDhub-ensemble,,,,,,,,,,0.094,0.176,-0.222,-0.082
IHME-CurveFit,-0.743,-0.783,-0.069,-0.033,0.057,,-0.195,-0.042,0.053,-0.095,-0.128,-0.277,
Baseline,0.963,0.993,0.992,1.028,0.863,0.620,0.387,0.330,0.145,-0.075,0.209,-0.344,-0.085
YYG-ParamSearch,,,,0.537,0.722,0.503,0.275,0.213,0.095,-0.147,-0.139,-0.328,-0.185
IowaStateLW-STEM,,,-0.446,,-0.343,-0.197,-0.207,-0.302,-0.156,-0.196,-0.602,0.308,-0.001
USACE-ERDC_SEIR,,,,,-0.431,-0.442,-0.491,-0.477,-0.160,-0.193,-0.445,0.064,0.105
CovidAnalytics-DELPHI,,,,,,,,,0.046,-0.082,0.076,0.498,0.356
PSI-DRAFT,,,,,,,,0.353,0.117,-0.123,-0.198,-0.367,-0.266
Covid19Sim-Simulator,,,,,,-0.412,-0.520,-0.553,-0.070,-0.112,-0.222,-0.263,-0.677
UA-EpiCovDA,,,,,,,,,,-0.074,0.140,-0.425,-0.193
Columbia_UNC-SurvCon,,,,,,,,,,,,0.006,0.042
MOBS-GLEAM_COVID,,,,,,,,,,-0.257,-0.264,-0.200,-0.165
UCLA-SuEIR,,,-0.337,-0.157,-0.072,-0.239,-0.331,-0.295,-0.405,-0.418,-0.277,-0.379,-0.098
Auquan-SEIR,,,,,,,,,,1.902,-0.130,0.013,
GT-DeepCOVID,,,,,,,,,,-0.239,0.136,-0.910,0.080
epiforecasts-ensemble1,,,,,,,,,,-0.041,-0.175,-0.532,-1.130
JHU_IDD-CovidSP,,,,,,,,,,0.732,0.460,0.136,-0.199
NotreDame-mobility,,,,,,,,,,-0.744,-0.035,-0.466,-0.340
CU-select,,,,,,,,,,1.235,1.511,0.423,0.060
MITCovAlliance-SIR,,,,,,,,,,,0.001,-0.562,-1.164
CovidActNow-SEIR_CAN,,,,,,,,,,,,-0.022,
QJHong-Encounter,,,,,,,,,,,,0.295,0.328
USC-SI_kJalpha,,,,,,,,,,,0.295,0.437,0.482
UMich-RidgeTfReg,,,,,,,,,,,,-0.506,-0.289
SWC-TerminusCM,,,,,,,,,,,-0.374,,
RobertWalraven-ESG,,,,,,,,,,,,-1.474,-2.645
