,mean_abs_error_2020-09-21_2021-03-06,mean_abs_error_2020-09-28_2021-03-06,mean_abs_error_2020-10-05_2021-03-06,mean_abs_error_2020-10-12_2021-03-06,mean_abs_error_2020-10-19_2021-03-06,mean_abs_error_2020-10-26_2021-03-06,mean_abs_error_2020-11-02_2021-03-06,mean_abs_error_2020-11-09_2021-03-06,mean_abs_error_2020-11-16_2021-03-06,mean_abs_error_2020-11-23_2021-03-06,mean_abs_error_2020-11-30_2021-03-06,mean_abs_error_2020-12-07_2021-03-06,mean_abs_error_2020-12-14_2021-03-06,mean_abs_error_2020-12-21_2021-03-06,mean_abs_error_2020-12-28_2021-03-06,mean_abs_error_2021-01-04_2021-03-06,mean_abs_error_2021-01-11_2021-03-06,mean_abs_error_2021-01-18_2021-03-06,mean_abs_error_2021-01-25_2021-03-06,mean_abs_error_2021-02-01_2021-03-06,mean_abs_error_2021-02-08_2021-03-06,mean_abs_error_2021-02-15_2021-03-06,mean_abs_error_2021-02-22_2021-03-06,mean_abs_error_2021-03-01_2021-03-06,mean_sq_abs_error_2020-09-21_2021-03-06,mean_sq_abs_error_2020-09-28_2021-03-06,mean_sq_abs_error_2020-10-05_2021-03-06,mean_sq_abs_error_2020-10-12_2021-03-06,mean_sq_abs_error_2020-10-19_2021-03-06,mean_sq_abs_error_2020-10-26_2021-03-06,mean_sq_abs_error_2020-11-02_2021-03-06,mean_sq_abs_error_2020-11-09_2021-03-06,mean_sq_abs_error_2020-11-16_2021-03-06,mean_sq_abs_error_2020-11-23_2021-03-06,mean_sq_abs_error_2020-11-30_2021-03-06,mean_sq_abs_error_2020-12-07_2021-03-06,mean_sq_abs_error_2020-12-14_2021-03-06,mean_sq_abs_error_2020-12-21_2021-03-06,mean_sq_abs_error_2020-12-28_2021-03-06,mean_sq_abs_error_2021-01-04_2021-03-06,mean_sq_abs_error_2021-01-11_2021-03-06,mean_sq_abs_error_2021-01-18_2021-03-06,mean_sq_abs_error_2021-01-25_2021-03-06,mean_sq_abs_error_2021-02-01_2021-03-06,mean_sq_abs_error_2021-02-08_2021-03-06,mean_sq_abs_error_2021-02-15_2021-03-06,mean_sq_abs_error_2021-02-22_2021-03-06,mean_sq_abs_error_2021-03-01_2021-03-06
USC-SI_kJalpha,,,,,,,,,,,,,,,,,,,488.5,315.4,271.8,259.4,152.6,69.6,,,,,,,,,,,,,,,,,,,694218.7,318517.4,298253.4,493333.7,168243.9,35920.7
LANL-GrowthRate,,,,,,,,,,,,,,,,,,,556.4,362.8,335.7,256.7,175.7,51.4,,,,,,,,,,,,,,,,,,,1349402.9,337002.9,383075.4,344536.4,192870.2,13150.6
Karlen-pypm,,,,,,,,,,,,,,,,,,,,337.2,304.4,180.8,134.4,72.4,,,,,,,,,,,,,,,,,,,,442436.6,472372.1,156797.7,139401.3,41781.7
CovidAnalytics-DELPHI,,,,,,,,,,,,,,,,,,,1086.7,534.2,304.9,224.5,117.9,56.6,,,,,,,,,,,,,,,,,,,6180567.6,1197209.5,318302.9,204073.2,89128.1,18817.5
IHME-CurveFit,,,,,1793.6,1826.9,,,,1514.1,,1216.2,1333.8,1152.3,1073.7,,,860.9,522.2,374.7,287.9,278.6,177.3,145.6,,,,,6890681.0,8901530.6,,,,7974768.5,,3344051.0,5185870.8,3948623.5,3623025.6,,,2055418.3,903199.7,314737.4,249019.4,485640.2,203987.6,127342.3
UMass-MechBayes,,,,,,,,,,,,,,,,,,,,,226.7,177.2,149.2,61.5,,,,,,,,,,,,,,,,,,,,,248776.7,162524.0,164162.0,26594.2
COVIDhub-ensemble,,,,,,,,,,,,,,,,,,,,,282.9,221.6,135.4,59.5,,,,,,,,,,,,,,,,,,,,,227794.7,179132.4,150160.5,24178.2
LNQ-ens1,,,,,,,,,,,,,,,,,,,,,301.8,251.1,137.9,47.2,,,,,,,,,,,,,,,,,,,,,324311.8,535791.3,151597.7,9907.5
Baseline,3894.6,3916.8,4057.0,4016.8,4071.1,3808.3,3753.1,3493.2,3110.5,2568.6,2569.2,2006.4,2016.7,1538.4,1263.9,1081.7,984.3,830.7,662.1,680.4,647.1,306.0,152.6,48.8,35739743.0,37432232.8,39534434.1,41284120.5,43616578.2,41787175.4,42512149.0,38036271.1,34541386.8,25735925.9,27409189.5,17153023.8,13728674.7,7184147.2,6661749.3,3129300.3,2122437.3,1763767.8,1141129.2,1300711.1,1440831.1,267438.3,112944.1,8808.1
OliverWyman-Navigator,,,,,,,,,,,,,,,,,,,,,280.4,185.4,177.7,51.8,,,,,,,,,,,,,,,,,,,,,266250.3,130012.9,160090.7,12877.0
