,mean_abs_error_2020-05-25_2020-10-10,mean_abs_error_2020-06-01_2020-10-17,mean_abs_error_2020-06-08_2020-10-24,mean_abs_error_2020-06-15_2020-10-31,mean_abs_error_2020-06-22_2020-11-07,mean_abs_error_2020-06-29_2020-11-14,mean_abs_error_2020-07-06_2020-11-21,mean_abs_error_2020-07-13_2020-11-28,mean_abs_error_2020-07-20_2020-12-05,mean_abs_error_2020-07-27_2020-12-12,mean_abs_error_2020-08-03_2020-12-19,mean_abs_error_2020-08-10_2020-12-26,mean_abs_error_2020-08-17_2021-01-02,mean_abs_error_2020-08-24_2021-01-09,mean_abs_error_2020-08-31_2021-01-16,mean_abs_error_2020-09-07_2021-01-23,mean_abs_error_2020-09-14_2021-01-30,mean_abs_error_2020-09-21_2021-02-06,mean_abs_error_2020-09-28_2021-02-13,mean_abs_error_2020-10-05_2021-02-20,mean_abs_error_2020-10-12_2021-02-27,mean_abs_error_2020-10-19_2021-03-06,mean_sq_abs_error_2020-05-25_2020-10-10,mean_sq_abs_error_2020-06-01_2020-10-17,mean_sq_abs_error_2020-06-08_2020-10-24,mean_sq_abs_error_2020-06-15_2020-10-31,mean_sq_abs_error_2020-06-22_2020-11-07,mean_sq_abs_error_2020-06-29_2020-11-14,mean_sq_abs_error_2020-07-06_2020-11-21,mean_sq_abs_error_2020-07-13_2020-11-28,mean_sq_abs_error_2020-07-20_2020-12-05,mean_sq_abs_error_2020-07-27_2020-12-12,mean_sq_abs_error_2020-08-03_2020-12-19,mean_sq_abs_error_2020-08-10_2020-12-26,mean_sq_abs_error_2020-08-17_2021-01-02,mean_sq_abs_error_2020-08-24_2021-01-09,mean_sq_abs_error_2020-08-31_2021-01-16,mean_sq_abs_error_2020-09-07_2021-01-23,mean_sq_abs_error_2020-09-14_2021-01-30,mean_sq_abs_error_2020-09-21_2021-02-06,mean_sq_abs_error_2020-09-28_2021-02-13,mean_sq_abs_error_2020-10-05_2021-02-20,mean_sq_abs_error_2020-10-12_2021-02-27,mean_sq_abs_error_2020-10-19_2021-03-06
Baseline,2376.2,2003.9,1951.3,1597.6,1359.0,2033.2,1382.7,1095.9,1171.8,1366.2,1973.5,2051.4,2158.3,2064.3,2176.0,2419.1,3014.3,3241.6,3456.1,3737.8,3873.3,4071.1,18265950.4,12571724.2,11762225.4,9238547.8,6934414.1,36136800.0,6869352.4,3046948.1,2958145.3,4097077.5,13064051.3,10965960.4,10562780.7,9415145.5,10286989.7,12792367.4,19116655.0,22912637.2,27963031.0,32231629.3,37663462.3,43616578.2
IHME-CurveFit,,,1815.9,1720.9,1210.2,1187.7,1011.7,,1440.7,1432.0,1329.9,1687.0,,2014.5,1755.9,1630.8,,1660.3,1663.3,,,1793.6,,,10763599.3,14142036.0,5777566.0,3837991.4,2062647.5,,4789614.8,4655639.2,3933083.3,10985364.8,,21008679.3,20683752.0,15818572.7,,11004971.2,13450917.1,,,6890681.0
Covid19Sim-Simulator,1327.1,1372.9,1372.1,1166.9,1159.5,2674.2,2374.6,1818.9,1355.4,1293.3,1385.2,,,3037.9,2905.5,3072.9,3667.7,4087.5,4102.3,4095.2,3629.6,4178.7,8028102.3,8183382.3,7963647.4,5778404.3,4640306.8,72771405.7,52677293.0,22017785.5,6297280.7,4877118.6,4656822.5,,,18109866.2,17166353.6,23463186.8,32702487.9,40458986.4,40387419.9,47184980.7,33288230.1,49172689.0
IowaStateLW-STEM,,,,,,,1315.8,1360.2,1426.8,1762.0,1921.6,,2188.3,2301.1,2559.4,2992.8,3089.6,3428.9,4254.5,4368.8,4491.9,4675.7,,,,,,,5105060.7,5237143.6,3849907.0,6846855.7,8555352.5,,10138057.6,10911242.4,13772896.6,17821730.2,20819949.3,27461401.8,40390087.0,44229936.7,49410678.8,55606198.2
