,perc_error_2020-04-20_2020-08-01,perc_error_2020-04-27_2020-08-01,perc_error_2020-05-04_2020-08-01,perc_error_2020-05-11_2020-08-01,perc_error_2020-05-18_2020-08-01,perc_error_2020-05-25_2020-08-01,perc_error_2020-06-01_2020-08-01,perc_error_2020-06-08_2020-08-01,perc_error_2020-06-15_2020-08-01,perc_error_2020-06-22_2020-08-01,perc_error_2020-06-29_2020-08-01,perc_error_2020-07-06_2020-08-01,perc_error_2020-07-13_2020-08-01,perc_error_2020-07-20_2020-08-01,perc_error_2020-07-27_2020-08-01
USACE-ERDC_SEIR,,,,,-0.536,-0.559,-0.574,-0.572,-0.311,-0.255,-0.202,-0.062,-0.010,0.288,-0.015
CovidAnalytics-DELPHI,,,,,,,,,,,-0.100,0.194,0.050,-0.062,-0.179
Baseline,0.966,0.984,0.956,0.948,0.751,0.492,0.245,0.158,-0.033,-0.235,-0.009,-0.444,-0.231,-0.290,-0.261
YYG-ParamSearch,,,,,,0.427,0.193,0.098,-0.044,-0.275,-0.248,-0.386,-0.240,-0.236,-0.258
UT-Mobility,,,,,,,,,,,,-0.273,0.156,0.100,0.055
Columbia_UNC-SurvCon,,,,,,,,,,,,0.297,0.217,-0.054,-0.157
OliverWyman-Navigator,,,,,,,,,,,,-0.216,-0.032,-0.130,-0.180
UMass-MechBayes,,,,,,,,,,,,-0.140,-0.027,-0.159,-0.256
JHU_IDD-CovidSP,,,,,,,,,,,,0.182,-0.017,-0.121,-0.363
GT-DeepCOVID,,,,,,,,,,,,-0.499,-0.032,-0.129,-0.123
IHME-CurveFit,-0.777,-0.815,-0.209,-0.200,-0.143,,-0.364,-0.193,-0.125,-0.255,-0.290,-0.318,,-0.152,-0.362
IowaStateLW-STEM,,,-0.502,,-0.458,-0.321,-0.370,-0.504,-0.389,-0.425,-0.737,-0.028,-0.268,-0.294,-0.258
MOBS-GLEAM_COVID,,,,,,,,,,,,-0.346,-0.317,0.092,-0.141
CU-select,,,,,,,,,,,,0.433,-0.201,-0.260,-0.045
COVIDhub-ensemble,,,,,,,,,,,,-0.296,-0.182,-0.198,-0.180
PSI-DRAFT,,,,,,,,,,-0.293,-0.342,-0.468,-0.359,-0.272,-0.216
LANL-GrowthRate,,,,,,,,,,-0.248,-0.250,-0.542,-0.378,-0.382,-0.401
QJHong-Encounter,,,,,,,,,,,,0.610,0.215,-0.082,-0.132
USC-SI_kJalpha,,,,,,,,,,,0.154,0.564,0.474,-0.072,-0.320
Covid19Sim-Simulator,,,,,,-0.488,-0.578,-0.608,-0.266,-0.304,-0.272,-0.232,-0.377,-0.450,-0.981
UCLA-SuEIR,,,-0.438,-0.299,-0.249,-0.406,-0.498,-0.490,-0.592,-0.612,-0.463,-0.505,-0.276,-0.295,-0.165
COVIDhub-baseline,,,,,,,,,,,,-0.439,-0.239,-0.263,-0.210
NotreDame-mobility,,,,,,,,,,-0.599,-0.016,-0.595,-0.434,-0.418,-0.636
CovidActNow-SEIR_CAN,,,,,,,,,,,,-0.136,,,
UA-EpiCovDA,,,,,,,,,,,,-0.521,-0.388,-0.230,-0.152
LNQ-ens1,,,,,,,,,,,,,,0.005,-0.141
STH-3PU,,,,,,,,,-0.311,-0.586,-0.670,-0.708,-0.776,-0.355,-0.102
MITCovAlliance-SIR,,,,,,,,,,,-0.238,-0.519,-0.655,-0.800,-1.236
Auquan-SEIR,,,,,,,,,,,,-0.415,,,
Geneva-DetGrowth,,,,,,,,,,,,,,,0.007
epiforecasts-ensemble1,,,,,,,,,,,-0.270,-0.599,-0.510,-0.639,-0.765
DDS-NBDS,,,,,,,,,,,,,,,0.017
RobertWalraven-ESG,,,,,,,,,,,,-0.983,-1.112,-0.175,-0.485
UMich-RidgeTfReg,,,,,,,,,,,,-0.660,-0.464,-0.462,-0.404
JCB-PRM,,,,,,,,,,,,,,,-0.172
SWC-TerminusCM,,,,,,,,,,,-0.538,,,,
UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,-0.669
Karlen-pypm,,,,,,,,,,,,,,,-1.229
