,perc_error_2020-04-20_2020-07-25,perc_error_2020-04-27_2020-08-01,perc_error_2020-05-04_2020-08-08,perc_error_2020-05-11_2020-08-15,perc_error_2020-05-18_2020-08-22,perc_error_2020-05-25_2020-08-29,perc_error_2020-06-01_2020-09-05,perc_error_2020-06-08_2020-09-12,perc_error_2020-06-15_2020-09-19,perc_error_2020-06-22_2020-09-26,perc_error_2020-06-29_2020-10-03,perc_error_2020-07-06_2020-10-10,perc_error_2020-07-13_2020-10-17,perc_error_2020-07-20_2020-10-24,perc_error_2020-07-27_2020-10-31,perc_error_2020-08-03_2020-11-07,perc_error_2020-08-10_2020-11-14,perc_error_2020-08-17_2020-11-21,perc_error_2020-08-24_2020-11-28,perc_error_2020-08-31_2020-12-05,perc_error_2020-09-07_2020-12-12,perc_error_2020-09-14_2020-12-19,perc_error_2020-09-21_2020-12-26,perc_error_2020-09-28_2021-01-02,perc_error_2020-10-05_2021-01-09,perc_error_2020-10-12_2021-01-16,perc_error_2020-10-19_2021-01-23,perc_error_2020-10-26_2021-01-30,perc_error_2020-11-02_2021-02-06,perc_error_2020-11-09_2021-02-13,perc_error_2020-11-16_2021-02-20,perc_error_2020-11-23_2021-02-27,perc_error_2020-11-30_2021-03-06
Baseline,0.974,0.984,0.940,0.898,0.667,0.388,0.143,0.060,-0.114,-0.283,-0.026,-0.410,-0.136,-0.125,0.058,0.320,0.220,0.127,0.021,-0.140,-0.273,-0.439,-0.454,-0.520,-0.593,-0.628,-0.668,-0.652,-0.662,-0.631,-0.575,-0.424,-0.458
IHME-CurveFit,-0.760,-0.815,-0.270,-0.333,,,,-0.242,-0.131,-0.245,-0.391,-0.269,,-0.078,-0.138,-0.033,0.250,,0.385,0.414,0.493,,0.148,0.120,,,-0.274,-0.294,,,,-0.171,
IowaStateLW-STEM,,,-0.524,,-0.550,-0.413,-0.501,-0.693,-0.557,-0.542,-0.810,-0.138,-0.186,-0.318,-0.253,-0.176,,-0.292,-0.263,-0.321,-0.466,-0.442,-0.518,-0.757,-0.660,-0.694,-0.751,-0.708,-0.680,-0.669,-0.573,-0.336,-0.360
Covid19Sim-Simulator,,,,,,-0.555,-0.618,-0.629,-0.408,-0.416,0.193,0.307,0.324,0.258,0.214,-0.030,,-0.537,-0.679,-0.559,-0.609,-0.689,-0.782,-0.752,-0.484,-0.526,-0.763,-0.143,-0.200,0.144,,0.156,0.010
UCLA-SuEIR,,,-0.480,-0.401,-0.415,-0.586,-0.684,-0.705,-0.788,-0.813,-0.626,-0.613,-0.421,-0.379,-0.199,-0.123,-0.435,-0.350,-0.415,-0.477,-0.594,-0.676,-0.693,-0.728,-0.707,-0.722,-0.743,-0.763,-0.697,-0.565,-0.432,-0.228,-0.523
STH-3PU,,,,,,,,,-0.512,-0.721,-0.772,-0.754,-0.757,0.110,0.330,1.125,-0.077,-0.137,-0.202,-0.289,-0.767,-0.493,-0.551,,-0.645,-0.673,-0.699,-0.730,-0.730,,,,
YYG-ParamSearch,,,,,,,,,-0.126,-0.292,,,-0.050,-0.178,-0.115,,,,,,,,,,,,,,,,,,
USC-SI_kJalpha,,,,,,,,,,,-0.094,,,,,,,,,,,,,,,,,,,,,,
