,perc_error_2020-04-27_2020-08-29,perc_error_2020-05-04_2020-08-29,perc_error_2020-05-11_2020-08-29,perc_error_2020-05-18_2020-08-29,perc_error_2020-05-25_2020-08-29,perc_error_2020-06-01_2020-08-29,perc_error_2020-06-08_2020-08-29,perc_error_2020-06-15_2020-08-29,perc_error_2020-06-22_2020-08-29,perc_error_2020-06-29_2020-08-29,perc_error_2020-07-06_2020-08-29,perc_error_2020-07-13_2020-08-29,perc_error_2020-07-20_2020-08-29,perc_error_2020-07-27_2020-08-29,perc_error_2020-08-03_2020-08-29,perc_error_2020-08-10_2020-08-29,perc_error_2020-08-17_2020-08-29,perc_error_2020-08-24_2020-08-29
YYG-ParamSearch,,,,,,,0.029,-0.116,-0.311,-0.244,-0.336,-0.125,-0.141,-0.069,0.037,0.063,0.016,-0.089
CovidAnalytics-DELPHI,,,,,,,,,,,0.038,-0.095,-0.116,-0.064,-0.131,-0.186,-0.154,-0.002
Baseline,0.993,0.932,0.885,0.661,0.388,0.143,0.052,-0.127,-0.304,-0.080,-0.462,-0.235,-0.247,-0.111,0.128,0.070,0.052,-0.010
IHME-CurveFit,,,,,,,-0.279,-0.204,-0.326,-0.399,-0.346,,-0.079,-0.106,-0.067,0.008,,-0.112
USC-SI_kJalpha,,,,,,,,,,0.114,1.134,1.022,-0.174,-0.357,0.201,-0.011,-0.022,0.031
UCLA-SuEIR,,,,,-0.586,-0.662,-0.664,-0.741,-0.755,-0.579,-0.577,-0.358,-0.310,-0.110,0.105,-0.105,0.039,0.042
Columbia_UNC-SurvCon,,,,,,,,,,,0.514,0.232,-0.159,-0.178,-0.101,-0.145,0.062,0.029
COVIDhub-ensemble,,,,,,,,,,,,,,,-0.034,-0.008,0.008,-0.022
QJHong-Encounter,,,,,,,,,,,,,,0.135,0.173,0.065,0.020,0.044
GT-DeepCOVID,,,,,,,,,,,,,,,-0.032,0.042,0.043,0.010
NotreDame-mobility,,,,,,,,,,,,,-0.302,-0.291,-0.378,-0.038,0.046,-0.060
STH-3PU,,,,,,,,-0.485,-0.704,-0.767,-0.782,-0.824,-0.310,0.385,1.277,0.023,0.037,0.003
OliverWyman-Navigator,,,,,,,,,,,,,,,0.110,-0.038,0.013,-0.042
IowaStateLW-STEM,,-0.569,,-0.567,-0.413,-0.492,-0.662,-0.536,-0.539,-0.803,-0.155,-0.307,-0.342,-0.268,-0.103,,-0.106,-0.015
Karlen-pypm,,,,,,,,,,,,,,0.161,-0.054,0.318,0.228,0.063
UMass-MechBayes,,,,,,,,,,,,,,,-0.101,-0.100,-0.042,-0.107
LNQ-ens1,,,,,,,,,,,,,,,0.216,0.113,0.064,0.003
UA-EpiCovDA,,,,,,,,,,,,,,,-0.415,0.118,0.003,-0.022
CU-select,,,,,,,,,,,,,,,0.254,-0.053,-0.032,-0.133
Covid19Sim-Simulator,,,,,-0.555,-0.618,-0.637,-0.394,-0.410,-0.165,-0.091,-0.150,-0.104,-0.133,-0.139,,-0.900,-1.741
COVIDhub-baseline,,,,,,,,,,,,,,,0.162,0.081,0.079,0.099
JCB-PRM,,,,,,,,,,,,,,,0.147,0.138,0.066,0.066
PSI-DRAFT,,,,,,,,,,,,,0.226,0.732,1.218,0.112,-0.436,0.077
CEID-Walk,,,,,,,,,,,,,,,,0.046,0.094,0.115
Auquan-SEIR,,,,,,,,,,,-0.682,,,,-0.265,-0.106,0.105,0.411
JHU_IDD-CovidSP,,,,,,,,,,,,,,0.338,0.360,0.257,0.173,-0.241
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,0.637,-0.070,-0.184,-0.134
LANL-GrowthRate,,,,,,,,,,,,-0.528,-0.493,-0.466,-0.354,-0.273,-0.237,-0.240
USACE-ERDC_SEIR,,,,,,,,-0.455,-0.332,-0.163,-0.162,-0.070,1.064,0.355,0.357,0.362,0.312,0.181
DDS-NBDS,,,,,,,,,,,,,,,0.573,1.072,0.065,0.093
UMich-RidgeTfReg,,,,,,,,,,,,,,,-0.283,-0.249,-0.336,-0.124
epiforecasts-ensemble1,,,,,,,,,,,,,,,-0.076,-0.283,-0.429,-1.206
UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,-0.318,-0.283,-0.259,-0.143
RPI_UW-Mob_Collision,,,,,,,,,,,,,,,0.647,0.495,0.315,0.140
RobertWalraven-ESG,,,,,,,,,,,,,,,-0.288,0.867,-0.570,-0.779
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,0.072
MITCovAlliance-SIR,,,,,,,,,,,-0.538,-0.597,-0.582,-0.618,-0.496,,-1.038,
UT-Mobility,,,,,,,,,,,,,,,1.167,,0.405,0.167
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,,0.098
WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,,-0.197
TTU-squider,,,,,,,,,,,,,,,,,10.002,1.600
