,mean_abs_error_2020-09-21_2021-02-27,mean_abs_error_2020-09-28_2021-02-27,mean_abs_error_2020-10-05_2021-02-27,mean_abs_error_2020-10-12_2021-02-27,mean_abs_error_2020-10-19_2021-02-27,mean_abs_error_2020-10-26_2021-02-27,mean_abs_error_2020-11-02_2021-02-27,mean_abs_error_2020-11-09_2021-02-27,mean_abs_error_2020-11-16_2021-02-27,mean_abs_error_2020-11-23_2021-02-27,mean_abs_error_2020-11-30_2021-02-27,mean_abs_error_2020-12-07_2021-02-27,mean_abs_error_2020-12-14_2021-02-27,mean_abs_error_2020-12-21_2021-02-27,mean_abs_error_2020-12-28_2021-02-27,mean_abs_error_2021-01-04_2021-02-27,mean_abs_error_2021-01-11_2021-02-27,mean_abs_error_2021-01-18_2021-02-27,mean_abs_error_2021-01-25_2021-02-27,mean_abs_error_2021-02-01_2021-02-27,mean_abs_error_2021-02-08_2021-02-27,mean_abs_error_2021-02-15_2021-02-27,mean_abs_error_2021-02-22_2021-02-27,mean_sq_abs_error_2020-09-21_2021-02-27,mean_sq_abs_error_2020-09-28_2021-02-27,mean_sq_abs_error_2020-10-05_2021-02-27,mean_sq_abs_error_2020-10-12_2021-02-27,mean_sq_abs_error_2020-10-19_2021-02-27,mean_sq_abs_error_2020-10-26_2021-02-27,mean_sq_abs_error_2020-11-02_2021-02-27,mean_sq_abs_error_2020-11-09_2021-02-27,mean_sq_abs_error_2020-11-16_2021-02-27,mean_sq_abs_error_2020-11-23_2021-02-27,mean_sq_abs_error_2020-11-30_2021-02-27,mean_sq_abs_error_2020-12-07_2021-02-27,mean_sq_abs_error_2020-12-14_2021-02-27,mean_sq_abs_error_2020-12-21_2021-02-27,mean_sq_abs_error_2020-12-28_2021-02-27,mean_sq_abs_error_2021-01-04_2021-02-27,mean_sq_abs_error_2021-01-11_2021-02-27,mean_sq_abs_error_2021-01-18_2021-02-27,mean_sq_abs_error_2021-01-25_2021-02-27,mean_sq_abs_error_2021-02-01_2021-02-27,mean_sq_abs_error_2021-02-08_2021-02-27,mean_sq_abs_error_2021-02-15_2021-02-27,mean_sq_abs_error_2021-02-22_2021-02-27
Karlen-pypm,,,,,,,,,,,,,,,,,,,418.5,263.3,224.9,126.1,71.6,,,,,,,,,,,,,,,,,,,615637.1,236916.5,247976.0,75397.6,40230.8
LANL-GrowthRate,,,,,,,,,,,,,,,,,,1193.2,418.2,276.6,226.8,158.7,84.8,,,,,,,,,,,,,,,,,,6688696.1,764176.0,187485.2,172752.3,122335.6,40736.6
USC-SI_kJalpha,,,,,,,,,,,,,,,,,,,404.4,230.5,198.2,183.8,77.9,,,,,,,,,,,,,,,,,,,499429.9,168295.8,144711.6,248137.2,36723.1
UMass-MechBayes,,,,,,,,,,,,,,,,,,,,207.3,165.9,117.6,75.7,,,,,,,,,,,,,,,,,,,,206973.5,114234.4,59212.5,42594.1
COVIDhub-ensemble,,,,,,,,,,,,,,,,,,,,213.5,200.8,147.6,66.2,,,,,,,,,,,,,,,,,,,,119230.8,123850.8,78259.0,37379.1
RobertWalraven-ESG,,,,,,,,,,,,,,,,,,,,189.6,132.6,133.8,80.9,,,,,,,,,,,,,,,,,,,,97753.0,53330.9,71152.8,53585.3
Google_Harvard-CPF,,,,,,,,,,,,,,,,,,,,230.5,193.3,166.9,66.7,,,,,,,,,,,,,,,,,,,,138264.7,92192.9,100357.8,39762.7
Baseline,3780.7,3779.9,3913.4,3873.3,3924.3,3676.6,3618.6,3372.0,3003.9,2458.1,2454.6,1887.4,1838.4,1387.3,1164.8,952.2,759.8,601.2,477.6,465.8,421.5,171.9,75.9,32836973.4,34291333.6,36076045.0,37663462.3,39670115.2,37919937.7,38500391.7,34348240.8,31147154.6,23083924.5,24516738.9,15051012.0,11887680.6,6140397.5,5901329.7,2685239.9,1326436.5,955926.9,595027.5,629797.6,701628.1,97580.8,29991.0
CovidAnalytics-DELPHI,,,,,,,,,,,,,,,,,,1338.5,877.3,405.4,217.8,150.1,60.5,,,,,,,,,,,,,,,,,,8865216.2,4286755.8,534479.4,172413.7,95345.3,24625.0
IHME-CurveFit,,,,,1756.1,1763.4,,,,1423.0,,1160.9,1261.5,1032.4,969.5,,,756.7,428.6,310.9,225.6,224.5,112.2,,,,,6544576.7,8446767.0,,,,7387741.6,,2946366.0,4455390.6,3133259.8,2725666.8,,,1498318.0,681444.3,241220.2,164241.1,417564.0,79826.7
Covid19Sim-Simulator,,,,3629.6,4014.1,2679.8,2433.9,2690.2,,2297.8,1961.3,1443.8,994.3,816.9,1011.8,894.4,558.8,535.8,500.8,291.6,238.8,237.5,195.4,,,,33288230.1,44167864.1,25210717.9,23280375.0,23448233.5,,16834499.6,13363738.9,6343669.0,3015583.5,1758342.5,3569691.2,2547391.9,908327.4,807067.7,569704.7,213207.1,192429.6,352356.5,210517.0
LNQ-ens1,,,,,,,,,,,,,,,,,,,,256.8,211.2,170.9,73.8,,,,,,,,,,,,,,,,,,,,202646.4,164977.5,225075.2,35846.9
OliverWyman-Navigator,,,,,,,,,,,,,,,,,,,,267.1,195.6,105.7,87.3,,,,,,,,,,,,,,,,,,,,250623.6,140291.5,41022.1,38930.2
COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,186.9,182.5,1024.2,70.0,,,,,,,,,,,,,,,,,,,,97157.7,119287.3,13535125.9,36046.9
CU-select,,,,,,,,,,,,,,,,,,,,403.3,198.9,125.1,82.2,,,,,,,,,,,,,,,,,,,,517777.8,124118.4,61440.0,39433.8
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,,,304.1,247.3,170.3,74.5,,,,,,,,,,,,,,,,,,,,262215.2,179690.9,90321.1,33268.1
JHU_IDD-CovidSP,,,,,,,,,,,,,,,,,,596.3,487.5,409.9,330.4,247.6,177.7,,,,,,,,,,,,,,,,,,1140579.9,628596.1,413321.1,289858.1,185639.4,167265.5
UCLA-SuEIR,,,,,,,,,,2431.2,2457.1,1874.9,1712.2,1421.5,1493.3,1084.1,791.4,534.4,524.3,317.3,279.6,,111.2,,,,,,,,,,24076623.9,24784534.8,15038601.9,12937166.6,8754616.1,10859354.3,4561702.4,1837277.5,903013.3,893831.1,239778.6,227138.2,,55378.9
UA-EpiCovDA,,,,,,,,,,,,,,,,,,,,315.2,229.5,154.5,83.4,,,,,,,,,,,,,,,,,,,,291484.9,230927.0,88117.2,41940.1
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,,,,335.0,270.7,186.0,75.1,,,,,,,,,,,,,,,,,,,,284913.2,198324.5,95342.6,33356.7
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,,,,223.4,190.7,,86.5,,,,,,,,,,,,,,,,,,,,139991.3,107239.6,,52817.1
COVIDhub-baseline,,,,,,,,,,,,,,,,989.3,733.1,651.1,480.6,491.1,483.2,374.5,90.5,,,,,,,,,,,,,,,,2795981.0,1320677.1,1170606.5,628137.0,730734.5,834094.0,1689855.7,38915.6
CMU-TimeSeries,,,,,,,,,,,,,,,,,,,,357.9,246.5,159.3,90.0,,,,,,,,,,,,,,,,,,,,282133.3,175000.9,91759.6,39260.9
BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,383.7,278.2,232.7,72.9,,,,,,,,,,,,,,,,,,,,459966.7,240193.4,523032.6,34386.7
PSI-DRAFT,,,,,,,,,,,,,,,,,,646.3,811.3,670.5,373.5,207.7,106.1,,,,,,,,,,,,,,,,,,1954532.7,5103640.4,3341276.7,402728.6,150396.7,48721.0
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,414.9,358.5,209.0,72.5,,,,,,,,,,,,,,,,,,,,518270.4,355821.2,194402.8,42280.8
GT-DeepCOVID,,,,,,,,,,,,,,,,,,,,228.0,255.7,755.1,84.1,,,,,,,,,,,,,,,,,,,,111522.7,215781.7,17696853.6,48850.1
IowaStateLW-STEM,,,,4491.9,4494.1,4146.8,3795.8,3519.2,3160.2,2239.3,2210.5,1945.6,1749.5,1551.9,1188.2,907.9,744.7,758.2,533.4,706.5,465.6,272.3,77.5,,,,49410678.8,50306513.0,45881000.0,41078523.0,37514029.0,34298388.5,21611921.7,20962564.0,16772990.4,11236129.8,7886261.2,4366970.8,3012879.9,1414066.3,1511039.0,857708.2,1659106.9,758608.0,198236.8,31916.0
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,,415.8,295.6,195.7,80.7,,,,,,,,,,,,,,,,,,,,494296.7,297790.9,109577.5,37615.1
Caltech-CS156,,,,,,,,,,,,,,,,,,,,277.6,201.5,,85.5,,,,,,,,,,,,,,,,,,,,177327.9,117733.2,,56576.7
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,,,,448.6,348.4,271.7,66.1,,,,,,,,,,,,,,,,,,,,614660.5,316542.4,213124.4,32485.0
Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,1437.0,,1253.9,671.9,,269.0,218.8,92.6,,,,,,,,,,,,,,,,7283537.7,,5388864.9,2132737.3,,213144.9,343438.5,69949.2
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,,,,501.4,254.1,223.1,87.9,,,,,,,,,,,,,,,,,,,,856259.7,194689.8,269710.5,47282.2
AIpert-pwllnod,,,,,,,,,,,,,,,,1711.3,1889.5,1959.7,1078.4,603.7,383.2,233.2,85.4,,,,,,,,,,,,,,,,11679838.2,26373961.8,31132722.1,6133190.5,1556776.9,475577.2,172487.1,29912.2
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,,,,304.9,717.8,20058.9,81.8,,,,,,,,,,,,,,,,,,,,255470.0,8564745.9,20208405952.7,58867.7
WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,2183.5,1741.8,1290.4,939.7,618.1,406.2,251.2,169.4,,,,,,,,,,,,,,,,17164641.8,11448764.4,6663857.7,3547129.3,1559967.5,628877.8,268096.4,155903.5
MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,529.6,492.7,274.2,85.1,,,,,,,,,,,,,,,,,,,,1453357.5,1497618.6,465065.9,44339.3
SigSci-TS,,,,,,,,,,,,,,,,,,,,434.9,,230.2,119.2,,,,,,,,,,,,,,,,,,,,755315.8,,204519.3,78099.6
IUPUI-HkPrMobiDyR,,,,,,,,,,,,,,,,,,,,,,,75.5,,,,,,,,,,,,,,,,,,,,,,,22220.8
JHUAPL-Bucky,,,,,,,,,,,,,,,,1319.3,1008.7,,490.0,985.2,778.0,776.1,269.1,,,,,,,,,,,,,,,,8021406.8,5794825.6,,819626.5,3502626.7,2368477.5,2814655.6,388410.0
CEID-Walk,,,,,,,,,,,,,,,,,,,,504.0,497.6,377.6,96.3,,,,,,,,,,,,,,,,,,,,877530.3,869563.3,1710049.9,41282.8
DDS-NBDS,,,,,,,,,,,,,,,,,,,,471.2,484.4,,96.7,,,,,,,,,,,,,,,,,,,,1292478.0,754978.9,,29388.7
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,,,,,87.0,,,,,,,,,,,,,,,,,,,,,,,54085.0
TTU-squider,,,,,,,,,,,,,,,,,,,,697.5,688.3,544.3,483.4,,,,,,,,,,,,,,,,,,,,1143465.1,1143885.6,759292.0,602036.6
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,,,,130.4,,,,,,,,,,,,,,,,,,,,,,,102094.5
MITCovAlliance-SIR,,,,,,,,,,,,,,,,1454.4,1476.2,,,,,,,,,,,,,,,,,,,,,,10825546.9,8854979.6,,,,,,
