,mean_abs_error_2020-04-20_2020-06-27,mean_abs_error_2020-04-27_2020-06-27,mean_abs_error_2020-05-04_2020-06-27,mean_abs_error_2020-05-11_2020-06-27,mean_abs_error_2020-05-18_2020-06-27,mean_abs_error_2020-05-25_2020-06-27,mean_abs_error_2020-06-01_2020-06-27,mean_abs_error_2020-06-08_2020-06-27,mean_abs_error_2020-06-15_2020-06-27,mean_abs_error_2020-06-22_2020-06-27,mean_sq_abs_error_2020-04-20_2020-06-27,mean_sq_abs_error_2020-04-27_2020-06-27,mean_sq_abs_error_2020-05-04_2020-06-27,mean_sq_abs_error_2020-05-11_2020-06-27,mean_sq_abs_error_2020-05-18_2020-06-27,mean_sq_abs_error_2020-05-25_2020-06-27,mean_sq_abs_error_2020-06-01_2020-06-27,mean_sq_abs_error_2020-06-08_2020-06-27,mean_sq_abs_error_2020-06-15_2020-06-27,mean_sq_abs_error_2020-06-22_2020-06-27
Baseline_0.98,763.1,609.7,381.7,293.7,217.1,161.2,126.8,108.2,66.7,51.3,4839711.4,2319668.0,781578.6,481883.2,283546.6,82921.2,72255.4,68014.9,47382.1,62891.4
YYG-ParamSearch,,,229.4,346.5,337.7,216.2,122.7,91.2,61.0,51.3,,,193391.5,404861.5,372749.4,152908.8,82048.5,69185.5,55504.8,66225.9
UCLA-SuEIR,,,445.1,347.4,199.9,139.2,134.9,117.4,68.5,51.7,,,553891.9,860217.6,149882.2,85721.8,81910.3,75245.2,60175.9,61460.5
LANL-GrowthRate,,,,299.0,229.7,164.3,117.7,108.2,85.7,68.3,,,,341986.7,208969.2,104986.7,56599.4,96277.4,71857.4,65686.6
UMass-MechBayes,,,,,,144.3,178.2,92.4,63.1,53.7,,,,,,133626.4,128320.8,90139.0,61561.3,65863.5
Baseline,1386.2,1124.7,890.1,710.4,463.7,260.0,168.8,124.5,72.6,51.2,31034533.7,13287992.9,5522752.4,2780536.0,1221782.1,271114.2,88573.3,72616.5,44029.3,62049.9
COVIDhub-ensemble,,,,,,,154.4,101.4,72.6,53.0,,,,,,,109803.3,83696.2,64269.9,63305.2
IHME-CurveFit,1184.2,1059.7,376.9,238.1,264.3,,216.2,114.0,95.4,70.9,4555028.1,3977314.1,407122.8,259348.0,236791.2,,226306.6,94532.8,83124.7,79193.4
UT-Mobility,,,,,,,147.0,118.0,82.7,55.7,,,,,,,134925.6,103579.2,69439.8,61285.2
IowaStateLW-STEM,,559.8,640.5,,257.0,192.3,183.5,126.8,106.2,76.6,,778612.8,1320010.4,,198552.0,129079.8,123118.9,75144.6,62616.6,57128.8
MIT_CovidAnalytics-DELPHI,,,,,414.7,238.8,169.3,160.4,115.5,66.2,,,,,712926.1,234527.8,157586.6,144697.9,99908.3,73755.8
OliverWyman-Navigator,,,,,,,,106.0,70.2,58.2,,,,,,,,90505.8,60925.6,66092.4
MOBS_NEU-GLEAM_COVID,,,,,,,173.5,132.6,87.6,62.2,,,,,,,114798.0,97905.3,70469.1,65883.3
Covid19Sim-Simulator,,,,,,236.4,235.1,186.7,106.0,75.2,,,,,,236179.3,229808.3,177158.9,93334.5,77927.0
UA-EpiCovDA,,,,,,,271.8,266.9,92.5,56.2,,,,,,,199554.3,272833.3,85859.6,71328.9
PSI-DRAFT,,,,,521.1,279.7,178.5,303.8,109.3,72.9,,,,,1101151.2,374576.2,172881.2,825863.7,111077.8,71756.1
USACE-ERDC_SEIR,,,,,377.8,277.9,301.1,221.3,126.7,,,,,,610225.0,390840.5,466764.4,304649.5,116921.8,
Auquan-SEIR,,,1167.8,,321.3,321.3,335.0,634.7,550.2,71.1,,,4883727.6,,544621.0,544621.0,617233.8,1184481.1,884821.3,57398.3
CovidActNow-SEIR_CAN,,,,,,,219.0,227.0,135.2,93.2,,,,,,,167158.6,194425.4,114980.0,87265.4
SWC-TerminusCM,,,,,,,224.7,208.5,216.5,,,,,,,,192201.5,174721.5,919712.6,
Geneva-DetGrowth,,,,,,,,,,56.1,,,,,,,,,,60163.7
JHU_IDD-CovidSP,,,,,,,418.9,274.9,118.2,84.7,,,,,,,446674.3,227761.8,91848.3,70873.1
CU-select,,,,,,,368.8,221.6,139.7,88.3,,,,,,,611526.6,203746.3,113363.3,78800.0
NotreDame-mobility,,,,,,,,,,197.6,,,,,,,,,,932863.9
