,perc_error_2020-06-15_2020-10-31,perc_error_2020-06-22_2020-10-31,perc_error_2020-06-29_2020-10-31,perc_error_2020-07-06_2020-10-31,perc_error_2020-07-13_2020-10-31,perc_error_2020-07-20_2020-10-31,perc_error_2020-07-27_2020-10-31,perc_error_2020-08-03_2020-10-31,perc_error_2020-08-10_2020-10-31,perc_error_2020-08-17_2020-10-31,perc_error_2020-08-24_2020-10-31,perc_error_2020-08-31_2020-10-31,perc_error_2020-09-07_2020-10-31,perc_error_2020-09-14_2020-10-31,perc_error_2020-09-21_2020-10-31,perc_error_2020-09-28_2020-10-31,perc_error_2020-10-05_2020-10-31,perc_error_2020-10-12_2020-10-31,perc_error_2020-10-19_2020-10-31,perc_error_2020-10-26_2020-10-31
USC-SI_kJalpha,,,,,,,,,,,,,-0.182,-0.320,-0.076,0.083,-0.053,-0.045,-0.056,0.052
QJHong-Encounter,,,,,,,,,,,,,,-0.319,-0.197,-0.017,-0.058,-0.073,-0.110,-0.057
JCB-PRM,,,,,,,,,,,,,-0.205,-0.250,-0.192,-0.161,-0.111,-0.053,-0.101,-0.018
Karlen-pypm,,,,,,,,,,,,,,,,-0.152,-0.106,-0.016,-0.036,0.054
YYG-ParamSearch,,,,,-0.080,-0.196,-0.115,-0.041,-0.042,-0.100,-0.203,-0.257,-0.280,-0.352,-0.273,-0.078,-0.073,,,
JHUAPL-Bucky,,,,,,,,,,,,,,-0.356,-0.251,-0.170,-0.101,-0.107,-0.084,-0.047
Columbia_UNC-SurvCon,,,,,,,,,,,,,0.108,-0.130,-0.185,0.214,0.189,0.021,0.039,0.104
Baseline,-0.094,-0.267,-0.009,-0.403,-0.133,-0.124,0.058,0.341,0.275,0.257,0.216,0.146,0.092,-0.061,-0.008,-0.044,-0.118,-0.129,-0.196,-0.137
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,0.051,0.001,-0.076,-0.005
OliverWyman-Navigator,,,,,,,,,,,,,,,,,-0.020,-0.012,-0.035,0.048
UA-EpiCovDA,,,,,,,,,,,,,,,,,-0.002,-0.044,-0.115,-0.021
GT-DeepCOVID,,,,,,,,,,,,,,,,,0.010,-0.050,-0.059,0.059
CU-select,,,,,,,,,,,,,,,,,-0.070,-0.099,-0.073,-0.025
UMass-MechBayes,,,,,,,,,,,,,,,,,-0.094,-0.054,-0.059,-0.054
JHU_IDD-CovidSP,,,,,,,,,,,,,,,-0.031,-0.048,-0.154,-0.218,-0.298,-0.340
Covid19Sim-Simulator,-0.415,-0.410,0.545,0.484,0.421,0.273,0.214,-0.001,,-0.471,-0.599,-0.190,-0.246,-0.303,-0.347,-0.208,-0.067,-0.272,-0.506,-0.002
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,0.013,-0.127,-0.058,0.092
LNQ-ens1,,,,,,,,,,,,,,,,,-0.091,-0.051,-0.080,0.069
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,-0.163,-0.033,-0.152,-0.005
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,-0.253,-0.004,-0.123,0.045
IowaStateLW-STEM,,,-0.815,-0.149,-0.182,-0.322,-0.253,-0.152,,-0.172,-0.074,-0.039,-0.130,0.008,0.006,-0.412,-0.109,-0.135,-0.277,-0.169
UCLA-SuEIR,,,,,,,-0.199,-0.080,-0.354,-0.184,-0.207,-0.178,-0.233,-0.294,-0.241,-0.239,-0.178,-0.162,-0.186,-0.093
COVIDhub-baseline,,,,,,,,,,,,,,,,,-0.115,-0.121,-0.167,-0.046
COVIDhub-ensemble,,,,,,,,,,,,,,,,,-0.134,-0.114,-0.151,-0.051
BPagano-RtDriven,,,,,,,,,,,,,,,,,-0.320,-0.336,0.029,0.048
CEID-Walk,,,,,,,,,,,,,,,,,-0.147,-0.124,-0.167,-0.057
STH-3PU,-0.295,-0.613,-0.709,-0.690,-0.709,0.196,0.330,1.249,-0.026,-0.026,-0.046,-0.056,-0.680,-0.095,-0.155,,-0.223,-0.183,-0.193,-0.259
DDS-NBDS,,,,,,,,,,,,,,,,,-0.377,-0.051,-0.126,-0.068
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,-0.205,-0.216,-0.107,-0.124
IHME-CurveFit,0.261,-0.064,-0.327,-0.236,,-0.079,-0.138,-0.010,0.256,,0.397,0.545,0.507,,-0.096,0.175,,,-0.295,-0.467
IBF-TimeSeries,,,,,,,,,,,,,0.274,0.120,0.236,0.198,,0.213,0.301,0.867
UT-Mobility,,,,,,,,,,,,,,,,,-0.145,-0.175,-0.161,-0.152
MSRA-DeepST,,,,,,,,,,,,,,,,,,-0.133,-0.151,-0.055
NotreDame-mobility,,,,,,,,,,,,,,,-0.237,-0.232,-0.287,-0.306,-0.348,-0.295
UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,,-0.293,0.284,0.224,0.266,0.105
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,-0.684,-0.106,-0.153,-0.128
PSI-DRAFT,,,,,,,,,,,,,,,-0.237,-0.220,-0.379,-0.369,-0.387,-0.275
RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,-0.123,-0.237,-0.215,-0.153
CovidAnalytics-DELPHI,,,,,,,,,,,,,,-0.309,-0.337,-0.361,-0.325,-0.288,-0.422,-0.253
WalmartLabsML-LogForecasting,,,,,,,,,,,,,-0.346,-0.404,-0.383,-0.367,-0.362,-0.354,-0.365,-0.331
RobertWalraven-ESG,,,,,,,,,,,,,-0.604,-0.623,-0.582,,-0.487,-0.516,-0.206,-0.248
USACE-ERDC_SEIR,,,,,,,,,,,,,0.229,0.147,0.354,0.323,,0.354,,0.377
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,0.067
LANL-GrowthRate,,,,,,,,,,,,,,-0.470,-0.442,-0.486,-0.429,-0.370,-0.415,-0.290
IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,,-0.085
TTU-squider,,,,,,,,,,,,,,,,,0.331,0.623,0.621,1.073
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,,-0.488
