,perc_error_2020-04-20_2020-07-04,perc_error_2020-04-27_2020-07-04,perc_error_2020-05-04_2020-07-04,perc_error_2020-05-11_2020-07-04,perc_error_2020-05-18_2020-07-04,perc_error_2020-05-25_2020-07-04,perc_error_2020-06-01_2020-07-04,perc_error_2020-06-08_2020-07-04,perc_error_2020-06-15_2020-07-04,perc_error_2020-06-22_2020-07-04,perc_error_2020-06-29_2020-07-04
UCLA-SuEIR,,,-0.246,-0.036,0.089,-0.061,-0.142,-0.066,-0.152,-0.128,0.036
IowaStateLW-STEM,,,-0.402,,-0.217,-0.050,0.008,-0.015,0.193,0.209,-0.276
IHME-CurveFit,-0.712,-0.751,0.053,0.112,0.238,,-0.032,0.090,0.211,0.010,-0.112
PSI-DRAFT,,,,,,0.218,0.161,0.273,0.297,0.056,-0.047
YYG-ParamSearch,,,0.156,0.495,0.656,0.501,0.295,0.273,0.207,-0.000,0.001
MOBS-GLEAM_COVID,,,,,,,,-0.048,0.062,-0.010,0.060
LANL-GrowthRate,,,,,-0.164,0.065,0.002,0.147,0.378,0.488,0.474
CovidAnalytics-DELPHI,,,,,,,-0.060,0.190,0.264,0.147,0.332
UT-Mobility,,,,,,,,-0.151,0.165,0.156,0.175
UMass-MechBayes,,,,,,,,0.180,0.108,0.169,0.266
OliverWyman-Navigator,,,,,,,,-0.127,0.206,0.194,0.264
Covid19Sim-Simulator,,,,,,-0.348,-0.479,-0.524,0.161,0.132,-0.454
USACE-ERDC_SEIR,,,,,-0.339,-0.324,-0.443,-0.439,-0.094,-0.457,-2.694
STH-3PU,,,,,,,,,0.182,-0.122,-0.247
GT-DeepCOVID,,,,,,,,0.296,0.353,-0.025,0.387
Baseline,0.853,0.905,0.924,0.986,0.860,0.665,0.460,0.444,0.297,0.090,0.497
UA-EpiCovDA,,,,,,,,0.601,1.343,0.025,0.319
COVIDhub-ensemble,,,,,,,,0.223,0.325,0.387,0.421
SWC-TerminusCM,,,,,,,-0.138,,,,-0.167
COVIDhub-baseline,,,,,,,,0.428,0.377,0.153,0.666
epiforecasts-ensemble1,,,,,,,,,0.368,0.266,-0.194
NotreDame-mobility,,,,,,,,,,-1.170,0.088
Imperial-combined,,,,,,,,,,,0.055
JHU_IDD-CovidSP,,,,,,,,1.148,0.652,0.762,0.362
CU-select,,,,,,,,0.828,0.636,0.909,1.078
Auquan-SEIR,,,,,,,,2.983,2.433,3.811,0.396
CovidActNow-SEIR_CAN,,,,,,,,9.645,0.545,,
MITCovAlliance-SIR,,,,,,,,,,,0.459
USC-SI_kJalpha,,,,,,,,,,,0.475
