,mean_abs_error_2020-05-25_2020-10-03,mean_abs_error_2020-06-01_2020-10-10,mean_abs_error_2020-06-08_2020-10-17,mean_abs_error_2020-06-15_2020-10-24,mean_abs_error_2020-06-22_2020-10-31,mean_abs_error_2020-06-29_2020-11-07,mean_abs_error_2020-07-06_2020-11-14,mean_abs_error_2020-07-13_2020-11-21,mean_abs_error_2020-07-20_2020-11-28,mean_abs_error_2020-07-27_2020-12-05,mean_abs_error_2020-08-03_2020-12-12,mean_abs_error_2020-08-10_2020-12-19,mean_abs_error_2020-08-17_2020-12-26,mean_abs_error_2020-08-24_2021-01-02,mean_abs_error_2020-08-31_2021-01-09,mean_abs_error_2020-09-07_2021-01-16,mean_abs_error_2020-09-14_2021-01-23,mean_abs_error_2020-09-21_2021-01-30,mean_abs_error_2020-09-28_2021-02-06,mean_abs_error_2020-10-05_2021-02-13,mean_abs_error_2020-10-12_2021-02-20,mean_abs_error_2020-10-19_2021-02-27,mean_abs_error_2020-10-26_2021-03-06,mean_sq_abs_error_2020-05-25_2020-10-03,mean_sq_abs_error_2020-06-01_2020-10-10,mean_sq_abs_error_2020-06-08_2020-10-17,mean_sq_abs_error_2020-06-15_2020-10-24,mean_sq_abs_error_2020-06-22_2020-10-31,mean_sq_abs_error_2020-06-29_2020-11-07,mean_sq_abs_error_2020-07-06_2020-11-14,mean_sq_abs_error_2020-07-13_2020-11-21,mean_sq_abs_error_2020-07-20_2020-11-28,mean_sq_abs_error_2020-07-27_2020-12-05,mean_sq_abs_error_2020-08-03_2020-12-12,mean_sq_abs_error_2020-08-10_2020-12-19,mean_sq_abs_error_2020-08-17_2020-12-26,mean_sq_abs_error_2020-08-24_2021-01-02,mean_sq_abs_error_2020-08-31_2021-01-09,mean_sq_abs_error_2020-09-07_2021-01-16,mean_sq_abs_error_2020-09-14_2021-01-23,mean_sq_abs_error_2020-09-21_2021-01-30,mean_sq_abs_error_2020-09-28_2021-02-06,mean_sq_abs_error_2020-10-05_2021-02-13,mean_sq_abs_error_2020-10-12_2021-02-20,mean_sq_abs_error_2020-10-19_2021-02-27,mean_sq_abs_error_2020-10-26_2021-03-06
Baseline,2261.5,1919.7,1868.4,1539.8,1298.8,1919.3,1258.3,996.8,988.0,1165.5,1760.6,1866.6,1986.4,1919.9,1918.7,2151.7,2696.5,2933.8,3225.5,3577.1,3697.7,3924.3,3808.3,16456900.8,11479226.9,10923602.3,8648736.5,6520080.5,32824963.8,6137819.4,2711826.7,2182657.6,3127984.9,11625097.5,9553252.9,9067786.4,7959296.6,8070561.2,10225838.5,15043716.1,18644438.8,23875041.3,29194953.2,33595283.9,39670115.2,41787175.4
IHME-CurveFit,,,1670.8,1456.3,1088.9,1062.2,893.5,,1242.8,1219.7,1190.8,1571.1,,1893.3,1700.2,1634.0,,1584.6,1541.8,,,1756.1,1826.9,,,8874246.2,9421433.3,4541989.8,2981219.3,1722084.8,,3645263.6,3289975.0,3142897.5,9605191.2,,19019035.2,19271770.5,15029672.3,,10255397.3,11693788.4,,,6544576.7,8901530.6
Covid19Sim-Simulator,1269.8,1315.7,1304.8,1101.9,1069.8,2341.0,2088.7,1627.2,1215.0,1119.0,1173.4,,,2636.6,2480.2,2701.4,3279.5,3708.6,3804.4,3703.9,3468.7,4014.1,2760.7,7484596.7,7654364.2,7521663.5,5416500.1,4170206.5,57186365.8,43397432.9,18700286.3,5682882.1,4207938.0,3195663.1,,,13550714.1,12292641.0,17788294.4,25498668.8,32809482.4,34076908.8,34334276.3,29600674.9,44167864.1,27567120.1
IowaStateLW-STEM,,,,,,,1180.0,1231.3,1198.8,1494.2,1649.5,,1907.6,2014.3,2225.9,2636.2,2743.2,3096.1,3965.2,4169.6,4280.7,4494.1,4316.5,,,,,,,4447485.2,4568195.4,2786337.2,5319008.8,6859303.0,,8150401.4,8789144.9,10243169.6,13752076.3,16077839.4,22250935.4,34384689.8,39706504.3,43838626.9,50306513.0,50889937.3
