,perc_error_2020-04-20_2020-06-06,perc_error_2020-04-27_2020-06-13,perc_error_2020-05-04_2020-06-20,perc_error_2020-05-11_2020-06-27,perc_error_2020-05-18_2020-07-04,perc_error_2020-05-25_2020-07-11,perc_error_2020-06-01_2020-07-18,perc_error_2020-06-08_2020-07-25,perc_error_2020-06-15_2020-08-01,perc_error_2020-06-22_2020-08-08,perc_error_2020-06-29_2020-08-15,perc_error_2020-07-06_2020-08-22,perc_error_2020-07-13_2020-08-29,perc_error_2020-07-20_2020-09-05,perc_error_2020-07-27_2020-09-12,perc_error_2020-08-03_2020-09-19,perc_error_2020-08-10_2020-09-26,perc_error_2020-08-17_2020-10-03,perc_error_2020-08-24_2020-10-10,perc_error_2020-08-31_2020-10-17,perc_error_2020-09-07_2020-10-24,perc_error_2020-09-14_2020-10-31,perc_error_2020-09-21_2020-11-07,perc_error_2020-09-28_2020-11-14,perc_error_2020-10-05_2020-11-21,perc_error_2020-10-12_2020-11-28,perc_error_2020-10-19_2020-12-05,perc_error_2020-10-26_2020-12-12,perc_error_2020-11-02_2020-12-19,perc_error_2020-11-09_2020-12-26,perc_error_2020-11-16_2021-01-02,perc_error_2020-11-23_2021-01-09,perc_error_2020-11-30_2021-01-16,perc_error_2020-12-07_2021-01-23,perc_error_2020-12-14_2021-01-30,perc_error_2020-12-21_2021-02-06,perc_error_2020-12-28_2021-02-13,perc_error_2021-01-04_2021-02-20,perc_error_2021-01-11_2021-02-27,perc_error_2021-01-18_2021-03-06
YYG-ParamSearch,,,0.085,0.413,0.656,0.506,0.273,0.163,-0.044,-0.296,-0.257,-0.354,-0.125,-0.130,-0.035,0.067,0.071,0.009,-0.129,-0.179,-0.241,-0.352,,,,,,,,,,,,,,,,,,
Covid19Sim-Simulator,,,,,,-0.380,-0.521,-0.578,-0.266,-0.349,-0.241,-0.138,-0.150,-0.039,0.017,-0.023,,-0.486,-0.603,-0.046,-0.200,-0.303,-0.414,-0.351,-0.181,-0.272,-0.523,-0.197,-0.225,-0.077,,0.059,0.078,-0.057,-0.147,-0.120,-0.062,0.043,-0.049,-0.087
Baseline,0.451,0.582,0.708,0.880,0.860,0.648,0.385,0.250,-0.033,-0.269,-0.070,-0.466,-0.235,-0.228,-0.045,0.246,0.215,0.240,0.227,0.174,0.109,-0.061,-0.052,-0.140,-0.287,-0.352,-0.474,-0.497,-0.555,-0.542,-0.514,-0.398,-0.486,-0.241,-0.197,-0.135,-0.279,-0.103,0.180,0.326
IowaStateLW-STEM,,,-0.391,,-0.217,-0.130,-0.207,-0.410,-0.389,-0.475,-0.784,-0.145,-0.307,-0.340,-0.255,-0.113,,-0.109,-0.006,0.021,-0.099,0.008,-0.065,-0.503,-0.339,-0.418,-0.567,-0.542,-0.561,-0.575,-0.496,-0.289,-0.372,-0.269,-0.029,-0.020,-0.052,-0.242,-0.025,0.321
IHME-CurveFit,-0.644,-0.704,0.108,0.146,0.238,,-0.195,-0.116,-0.125,-0.290,-0.361,-0.345,,-0.071,-0.075,-0.018,0.136,,0.350,0.471,0.431,,-0.058,0.200,,,-0.263,-0.270,,,,-0.144,,-0.062,-0.265,0.069,0.091,,,0.100
Columbia_UNC-SurvCon,,,,,,,,,,,,0.498,0.232,-0.184,-0.215,-0.201,-0.283,-0.032,-0.209,-0.103,0.115,-0.130,-0.245,0.187,0.131,-0.169,-0.168,-0.132,-0.118,0.236,0.325,0.261,-0.410,-0.235,0.266,0.794,-0.006,-0.204,0.190,0.466
UCLA-SuEIR,,,-0.200,-0.010,0.089,-0.153,-0.332,-0.397,-0.592,-0.664,-0.538,-0.566,-0.358,-0.313,-0.105,0.065,-0.207,-0.042,-0.103,-0.094,-0.187,-0.294,-0.307,-0.374,-0.388,-0.435,-0.528,-0.606,-0.583,-0.502,-0.450,-0.329,-0.532,-0.223,-0.309,-0.218,-0.700,-0.488,-0.308,-0.329
USC-SI_kJalpha,,,,,,,,,,,0.166,1.000,1.022,-0.213,-0.420,0.104,-0.206,-0.211,-0.238,-0.103,-0.110,-0.320,-0.142,-0.086,-0.272,-0.284,-0.341,-0.284,-0.344,-0.348,,,,,,,,,,
USACE-ERDC_SEIR,,,,,-0.339,-0.385,-0.491,-0.521,-0.311,-0.277,-0.152,-0.139,-0.070,1.100,0.460,0.369,0.321,0.299,0.131,0.204,0.255,0.147,0.295,0.206,,0.193,,0.170,,,0.785,0.601,0.397,,,,,,,
QJHong-Encounter,,,,,,,,,,,,,,,,,,,,,,-0.319,-0.238,-0.084,-0.234,-0.208,-0.303,-0.313,-0.317,-0.269,-0.050,0.040,-0.076,-0.122,-0.058,-0.052,-0.029,0.035,,0.250
LANL-GrowthRate,,0.231,0.055,-0.287,-0.164,-0.017,-0.179,-0.209,,,-0.389,-0.637,-0.528,-0.519,-0.500,-0.436,-0.395,-0.397,-0.425,-0.459,-0.530,-0.470,-0.512,-0.607,-0.643,-0.666,-0.751,-0.748,,,,,,,,,,,,
CovidAnalytics-DELPHI,,,,,,,,,,,,0.057,-0.095,-0.119,-0.024,,-0.152,-0.143,-0.015,-0.083,-0.187,-0.309,-0.398,-0.482,,-0.556,-0.712,-0.596,,-0.459,-0.313,,,,,,,,,
IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,,0.304,0.120,0.169,0.044,,-0.203,-0.331,-0.356,-0.420,-0.378,-0.332,-0.232,-0.341,-0.129,-0.031,-0.026,-0.145,0.034,0.308,0.440
STH-3PU,,,,,,,,,-0.311,-0.632,-0.733,-0.772,-0.824,-0.292,0.528,1.701,-0.000,0.006,-0.021,-0.032,-0.677,-0.095,-0.206,,-0.385,-0.417,-0.505,-0.604,-0.614,,,,,,,,,,,
JCB-PRM,,,,,,,,,,,,,,,,,,,,,-0.155,-0.250,-0.246,-0.248,-0.246,-0.244,-0.383,-0.326,-0.381,-0.373,-0.115,0.031,-0.014,0.090,0.242,0.356,0.176,,,
JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,,,-0.356,,,,-0.377,-0.361,-0.277,-0.416,-0.330,0.482,0.221,-0.188,-0.157,-0.184,-0.145,-0.434,-0.435,-0.286,
COVIDhub-baseline,,,,,,,,,,,,,,,,,,,,,,,,,-0.289,-0.354,-0.468,-0.486,-0.560,-0.543,-0.519,-0.410,-0.476,-0.247,-0.199,-0.133,-0.258,-0.103,0.166,0.343
BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,-0.437,-0.318,-0.163,-0.210,-0.318,-0.249,-0.195,,,,,,,,,
WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,,,-0.198,-0.386,-0.381,-0.404,-0.433,-0.474,-0.542,-0.589,-0.660,-0.709,-0.750,-0.773,-0.784,-0.790,-0.797,-0.785,-0.772,-0.762,,-0.670,-0.599,-0.517
MITCovAlliance-SIR,,,,,,,,,,,,-0.533,-0.597,-0.563,-0.568,-0.451,,-0.609,,,,,,,,,,,,,,,,,,,,,,
Auquan-SEIR,,,,,,,,,,,,-0.642,,,,,,-0.434,-0.394,,,,,,,,,,,,,,,,,,,,,
RobertWalraven-ESG,,,,,,,,,,,,,,,,,,-0.480,-0.510,-0.423,-0.575,-0.623,-0.625,,-0.706,,,,,,,,,,,,,,,
SWC-TerminusCM,,,,,,,,,,,-0.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIpert-pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.047,-0.797,-0.309,0.606,1.191
