,mean_abs_error_2020-08-24_2021-01-09,mean_abs_error_2020-08-31_2021-01-09,mean_abs_error_2020-09-07_2021-01-09,mean_abs_error_2020-09-14_2021-01-09,mean_abs_error_2020-09-21_2021-01-09,mean_abs_error_2020-09-28_2021-01-09,mean_abs_error_2020-10-05_2021-01-09,mean_abs_error_2020-10-12_2021-01-09,mean_abs_error_2020-10-19_2021-01-09,mean_abs_error_2020-10-26_2021-01-09,mean_abs_error_2020-11-02_2021-01-09,mean_abs_error_2020-11-09_2021-01-09,mean_abs_error_2020-11-16_2021-01-09,mean_abs_error_2020-11-23_2021-01-09,mean_abs_error_2020-11-30_2021-01-09,mean_abs_error_2020-12-07_2021-01-09,mean_abs_error_2020-12-14_2021-01-09,mean_abs_error_2020-12-21_2021-01-09,mean_abs_error_2020-12-28_2021-01-09,mean_abs_error_2021-01-04_2021-01-09,mean_sq_abs_error_2020-08-24_2021-01-09,mean_sq_abs_error_2020-08-31_2021-01-09,mean_sq_abs_error_2020-09-07_2021-01-09,mean_sq_abs_error_2020-09-14_2021-01-09,mean_sq_abs_error_2020-09-21_2021-01-09,mean_sq_abs_error_2020-09-28_2021-01-09,mean_sq_abs_error_2020-10-05_2021-01-09,mean_sq_abs_error_2020-10-12_2021-01-09,mean_sq_abs_error_2020-10-19_2021-01-09,mean_sq_abs_error_2020-10-26_2021-01-09,mean_sq_abs_error_2020-11-02_2021-01-09,mean_sq_abs_error_2020-11-09_2021-01-09,mean_sq_abs_error_2020-11-16_2021-01-09,mean_sq_abs_error_2020-11-23_2021-01-09,mean_sq_abs_error_2020-11-30_2021-01-09,mean_sq_abs_error_2020-12-07_2021-01-09,mean_sq_abs_error_2020-12-14_2021-01-09,mean_sq_abs_error_2020-12-21_2021-01-09,mean_sq_abs_error_2020-12-28_2021-01-09,mean_sq_abs_error_2021-01-04_2021-01-09
JCB-PRM,,,,,,,,,,,,,828.9,874.5,614.3,452.1,338.6,244.0,105.9,,,,,,,,,,,,,,2384469.4,2288876.8,1363257.2,737784.9,300632.5,150610.9,33280.4,
Karlen-pypm,,,,,,,,,,,,,,,,400.6,280.3,160.8,118.8,80.3,,,,,,,,,,,,,,,,559680.6,273652.5,73695.4,52903.1,21958.6
IowaStateLW-STEM,2301.1,2225.9,2240.7,2027.9,2016.5,2442.4,2368.9,2298.5,2288.4,2045.3,1824.7,1645.0,1380.3,789.1,796.4,562.6,405.1,253.4,163.1,77.7,10911242.4,10243169.6,10069506.7,8644753.7,9306811.1,11946257.5,11486617.1,11057441.1,10950586.9,9241716.0,7871050.5,6783826.8,5278593.2,2374693.3,2123727.4,1210709.9,535502.0,192704.6,72923.4,17365.3
Google_Harvard-CPF,,,,,,,,,,,,,,,,,263.6,186.4,119.4,86.7,,,,,,,,,,,,,,,,,174180.7,87238.5,43307.5,27212.2
LANL-GrowthRate,,,,,,,,,,,,,,,957.7,427.3,311.3,316.5,262.6,107.6,,,,,,,,,,,,,,,2870593.1,513142.2,399096.3,540376.8,257473.5,43136.7
Covid19Sim-Simulator,3037.9,2480.2,2325.2,2483.9,2496.3,2269.6,1789.5,1806.9,1981.7,1371.0,1107.0,957.2,,929.3,676.8,451.6,404.6,262.2,175.8,234.7,18109866.2,12292641.0,12704450.9,13967743.1,13923810.8,11240596.8,7648566.3,7315828.1,8838892.6,5113255.0,4062974.0,3265492.0,,2839297.8,1364411.1,705339.4,563903.6,210096.2,79648.2,162916.9
Caltech-CS156,,,,,,,,,,,,,,,,,219.2,124.5,146.6,119.4,,,,,,,,,,,,,,,,,203682.2,46261.6,68071.1,42237.4
COVIDhub-ensemble,,,,,,,,,,,,,,,,,255.0,147.1,145.1,110.7,,,,,,,,,,,,,,,,,303931.2,63473.1,75699.7,38576.7
COVIDhub-baseline,,,,,,,,,,,,,1379.3,1005.9,985.5,543.1,423.3,227.4,208.6,102.6,,,,,,,,,,,,,5126756.6,3178846.4,2963032.8,1233443.6,688550.3,189993.9,167172.0,31886.2
GT-DeepCOVID,,,,,,,,,,,,,,,,,336.1,146.6,167.8,96.7,,,,,,,,,,,,,,,,,461897.7,92900.4,90479.6,24238.1
