,perc_error_2020-07-27_2020-12-12,perc_error_2020-08-03_2020-12-12,perc_error_2020-08-10_2020-12-12,perc_error_2020-08-17_2020-12-12,perc_error_2020-08-24_2020-12-12,perc_error_2020-08-31_2020-12-12,perc_error_2020-09-07_2020-12-12,perc_error_2020-09-14_2020-12-12,perc_error_2020-09-21_2020-12-12,perc_error_2020-09-28_2020-12-12,perc_error_2020-10-05_2020-12-12,perc_error_2020-10-12_2020-12-12,perc_error_2020-10-19_2020-12-12,perc_error_2020-10-26_2020-12-12,perc_error_2020-11-02_2020-12-12,perc_error_2020-11-09_2020-12-12,perc_error_2020-11-16_2020-12-12,perc_error_2020-11-23_2020-12-12,perc_error_2020-11-30_2020-12-12,perc_error_2020-12-07_2020-12-12
Columbia_UNC-SurvCon,,,,,,,,,,,,,-0.215,-0.132,-0.174,-0.003,-0.113,0.040,-0.105,-0.121
BPagano-RtDriven,,,,,,,,,,,-0.555,-0.419,-0.232,-0.210,-0.273,-0.193,-0.156,-0.015,-0.126,-0.018
QJHong-Encounter,,,,,,,,,,,,,-0.351,-0.313,-0.284,-0.246,-0.117,-0.072,-0.106,-0.173
Karlen-pypm,,,,,,,,,,,,,,,,-0.054,0.092,0.024,-0.153,-0.115
USC-SI_kJalpha,,,,,,,,,,,,,-0.425,-0.284,-0.287,-0.244,-0.098,0.050,-0.183,-0.208
JCB-PRM,,,,,,,,,,,,,-0.447,-0.326,-0.339,-0.303,-0.189,-0.112,-0.197,-0.136
IBF-TimeSeries,,,,,,,,,,,,,-0.403,-0.356,-0.365,-0.300,-0.241,-0.084,-0.179,0.180
Covid19Sim-Simulator,-0.075,-0.306,,-0.640,-0.740,-0.620,-0.609,-0.646,-0.717,-0.644,-0.361,-0.385,-0.579,-0.197,-0.200,-0.139,,0.034,0.108,-0.920
LANL-GrowthRate,,,,,,,,,,,,,,-0.748,-0.407,-0.219,-0.157,-0.248,-0.404,-0.096
JHUAPL-Bucky,,,,,,,,,,,,-0.531,-0.417,-0.277,-0.381,-0.310,0.057,-0.220,-0.222,-0.238
LNQ-ens1,,,,,,,,,,,,,,,,,-0.108,-0.030,-0.321,-0.031
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,-0.216,-0.072,-0.258,-0.086
OliverWyman-Navigator,,,,,,,,,,,,,,,,,-0.264,-0.094,-0.136,-0.142
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,-0.051,0.114,0.120,-0.229
UMass-MechBayes,,,,,,,,,,,,,,,,,0.075,0.063,-0.264,-0.183
CovidAnalytics-DELPHI,,,,,,,,,,,,,,-0.596,-0.511,-0.441,-0.332,-0.135,-0.262,-0.296
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,-0.281,-0.117,-0.246,-0.091
MSRA-DeepST,,,,,,,,,,,,,,,,,-0.322,-0.114,-0.218,-0.099
IowaStateLW-STEM,-0.444,-0.391,,-0.447,-0.394,-0.386,-0.466,-0.385,-0.432,-0.689,-0.533,-0.553,-0.619,-0.542,-0.518,-0.522,-0.421,-0.154,-0.260,-0.146
TTU-squider,,,,,,,,,,,,,,,,,-0.282,-0.104,0.032,-0.227
UCLA-SuEIR,,,,,,,-0.594,-0.634,-0.621,-0.632,-0.577,-0.571,-0.585,-0.606,-0.544,-0.459,-0.420,-0.265,-0.444,-0.084
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,-0.305,-0.139,-0.266,-0.125
COVIDhub-ensemble,,,,,,,,,,,,,,,,,-0.273,-0.140,-0.272,-0.164
GT-DeepCOVID,,,,,,,,,,,,,,,,,-0.394,-0.149,-0.208,-0.149
RobertWalraven-ESG,,,,,,,,,,,,,,,,,-0.378,0.040,-0.642,0.128
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,-0.443,-0.127,-0.209,-0.173
PSI-DRAFT,,,,,,,,,,,,,,,-0.453,-0.524,-0.207,-0.237,-0.466,-0.276
Caltech-CS156,,,,,,,,,,,,,,,,,-0.278,-0.168,-0.282,-0.180
COVIDhub-baseline,,,,,,,,,,,,,-0.523,-0.486,-0.520,-0.489,-0.452,-0.307,-0.400,-0.139
JHU_IDD-CovidSP,,,,,,,,,,,,,,,-0.618,-0.661,-0.206,-0.202,-0.386,-0.518
Baseline,-0.175,0.022,-0.051,-0.089,-0.143,-0.215,-0.273,-0.387,-0.370,-0.412,-0.468,-0.485,-0.527,-0.497,-0.516,-0.489,-0.451,-0.299,-0.425,-0.188
CU-select,,,,,,,,,,,,,,,,,-0.166,-0.197,-0.392,-0.298
UA-EpiCovDA,,,,,,,,,,,,,,,,,-0.133,-0.226,-0.422,-0.256
RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,-0.415,-0.402,-0.203,-0.181
UT-Mobility,,,,,,,,,,,,,,,,,-0.393,-0.214,-0.370,-0.223
CEID-Walk,,,,,,,,,,,,,,,,,-0.447,-0.306,-0.386,-0.146
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,-0.305,0.323,-0.397,-0.187
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,-0.453,-0.312,-0.324,-0.153
DDS-NBDS,,,,,,,,,,,,,,,,,-0.487,-0.297,-0.447,-0.130
UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,,-0.481,-0.519,-0.551,-0.473,0.145
NotreDame-mobility,,,,,,,,,,,,,,,-0.527,-0.545,-0.366,-0.426,-0.458,-0.411
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,-0.464,0.058
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,-0.029
STH-3PU,-0.008,0.408,-0.297,-0.312,-0.336,-0.353,-0.767,-0.444,-0.481,,-0.535,-0.539,-0.559,-0.604,-0.568,,,,,
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,-0.104
IHME-CurveFit,-0.292,-0.203,0.109,,0.261,0.332,0.493,,0.079,0.110,,,-0.284,-0.270,,,,-0.194,,-0.284
WalmartLabsML-LogForecasting,,,,,,,,,,,,,-0.705,-0.709,-0.717,-0.730,-0.730,-0.721,-0.727,-0.694
IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,-0.464,
USACE-ERDC_SEIR,,,,,,,,,,,,,,0.170,,,0.875,1.007,0.993,
