,mean_abs_error_2020-08-10_2020-12-26,mean_abs_error_2020-08-17_2020-12-26,mean_abs_error_2020-08-24_2020-12-26,mean_abs_error_2020-08-31_2020-12-26,mean_abs_error_2020-09-07_2020-12-26,mean_abs_error_2020-09-14_2020-12-26,mean_abs_error_2020-09-21_2020-12-26,mean_abs_error_2020-09-28_2020-12-26,mean_abs_error_2020-10-05_2020-12-26,mean_abs_error_2020-10-12_2020-12-26,mean_abs_error_2020-10-19_2020-12-26,mean_abs_error_2020-10-26_2020-12-26,mean_abs_error_2020-11-02_2020-12-26,mean_abs_error_2020-11-09_2020-12-26,mean_abs_error_2020-11-16_2020-12-26,mean_abs_error_2020-11-23_2020-12-26,mean_abs_error_2020-11-30_2020-12-26,mean_abs_error_2020-12-07_2020-12-26,mean_abs_error_2020-12-14_2020-12-26,mean_abs_error_2020-12-21_2020-12-26,mean_sq_abs_error_2020-08-10_2020-12-26,mean_sq_abs_error_2020-08-17_2020-12-26,mean_sq_abs_error_2020-08-24_2020-12-26,mean_sq_abs_error_2020-08-31_2020-12-26,mean_sq_abs_error_2020-09-07_2020-12-26,mean_sq_abs_error_2020-09-14_2020-12-26,mean_sq_abs_error_2020-09-21_2020-12-26,mean_sq_abs_error_2020-09-28_2020-12-26,mean_sq_abs_error_2020-10-05_2020-12-26,mean_sq_abs_error_2020-10-12_2020-12-26,mean_sq_abs_error_2020-10-19_2020-12-26,mean_sq_abs_error_2020-10-26_2020-12-26,mean_sq_abs_error_2020-11-02_2020-12-26,mean_sq_abs_error_2020-11-09_2020-12-26,mean_sq_abs_error_2020-11-16_2020-12-26,mean_sq_abs_error_2020-11-23_2020-12-26,mean_sq_abs_error_2020-11-30_2020-12-26,mean_sq_abs_error_2020-12-07_2020-12-26,mean_sq_abs_error_2020-12-14_2020-12-26,mean_sq_abs_error_2020-12-21_2020-12-26
JCB-PRM,,,,,,,,,,,,,931.0,786.8,479.6,448.1,320.3,219.1,143.8,94.2,,,,,,,,,,,,,2390667.5,1801460.6,877742.9,661331.3,380770.5,172804.2,57306.0,20909.3
Karlen-pypm,,,,,,,,,,,,,,,,474.1,265.5,189.9,122.4,78.2,,,,,,,,,,,,,,,,682372.2,196073.3,124772.3,47766.6,14185.6
LANL-GrowthRate,,,,,,,,,,,,,,,639.8,533.6,532.5,218.7,138.7,95.8,,,,,,,,,,,,,,,1043506.5,911871.0,774278.4,118299.4,69383.4,34738.3
UMass-MechBayes,,,,,,,,,,,,,,,,,418.6,174.0,96.8,48.3,,,,,,,,,,,,,,,,,479258.8,113010.6,36385.4,8529.9
Baseline,2051.4,1986.4,1757.6,1541.3,1471.5,1455.7,1410.2,1398.5,1396.0,1394.5,1379.8,1223.3,1177.8,1046.2,881.2,560.0,579.0,241.4,156.2,59.6,10965960.4,9067786.4,6705352.3,4965635.3,4723145.3,4621140.1,4384369.8,4453238.5,4141381.8,4302861.0,4254922.0,3515389.2,3453530.0,2568458.4,1960291.7,980122.7,903846.8,236732.4,88454.0,10532.9
Caltech-CS156,,,,,,,,,,,,,,,,,390.8,198.4,104.6,59.1,,,,,,,,,,,,,,,,,428279.5,127390.1,40247.2,9083.3
IowaStateLW-STEM,,1907.6,1834.9,1643.1,1586.8,1398.7,1390.7,1744.3,1680.5,1612.7,1597.5,1386.7,1213.3,1063.2,854.4,437.7,415.5,252.7,187.6,100.2,,8150401.4,7156482.6,5657720.1,5373842.9,4319348.2,4597999.2,5998980.1,5691291.4,5335478.1,5167438.6,4131991.9,3379283.6,2775194.5,1907010.1,656905.6,516102.5,205640.0,79939.6,19374.6
UCLA-SuEIR,,,,,,,1763.3,1704.1,1708.2,1657.7,1646.3,1543.0,1404.2,1224.4,1138.3,525.7,619.6,234.8,154.9,62.1,,,,,,,6349044.8,5953318.0,5987248.4,5700350.0,5634827.6,5039992.0,4519102.6,3242029.5,3001438.0,865660.1,1000243.4,192063.8,83206.2,11186.6
COVIDhub-baseline,,,,,,,,,,,,,1155.5,1024.4,879.3,576.3,564.2,247.4,155.4,67.1,,,,,,,,,,,,,3413055.5,2512836.3,1959680.8,1018345.5,860058.4,232315.3,87272.7,12838.6
COVIDhub-ensemble,,,,,,,,,,,,,,,,,381.3,187.7,105.6,71.8,,,,,,,,,,,,,,,,,462360.0,149384.3,42533.7,12167.7
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,314.1,214.5,97.7,85.9,,,,,,,,,,,,,,,,,259581.8,165478.5,36961.5,24424.2
USC-SI_kJalpha,,,,,,,,,,,,,851.9,723.7,,,301.9,214.2,104.9,88.5,,,,,,,,,,,,,2095652.9,1340880.6,,,254518.0,139772.5,44100.5,19545.5
GT-DeepCOVID,,,,,,,,,,,,,,,,,382.1,177.6,143.5,71.5,,,,,,,,,,,,,,,,,576893.6,128097.6,72271.9,15905.6
LNQ-ens1,,,,,,,,,,,,,,,,,492.5,177.6,112.3,76.2,,,,,,,,,,,,,,,,,623583.3,97829.8,40380.1,16706.4
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,334.5,216.2,128.1,92.8,,,,,,,,,,,,,,,,,321987.1,154285.7,33934.4,14533.4
CMU-TimeSeries,,,,,,,,,,,,,,,,,323.9,240.4,154.0,65.8,,,,,,,,,,,,,,,,,311773.5,146460.8,59804.8,13004.5
Google_Harvard-CPF,,,,,,,,,,,,,,,,,245.3,275.4,128.5,74.9,,,,,,,,,,,,,,,,,240209.3,235027.1,50195.8,13376.0
JHUAPL-Bucky,,,,,,,,,,1463.7,,,896.5,736.5,912.0,614.8,394.5,233.3,155.1,160.3,,,,,,,,,,4533480.8,,,2064278.1,1523748.6,2530039.8,2351299.6,397386.7,184148.0,62947.6,102071.5
CovidAnalytics-DELPHI,,,,,,,,,,,,,,1244.6,1069.2,617.9,452.9,299.1,180.4,60.1,,,,,,,,,,,,,,3995914.1,3049581.4,1194986.3,669032.7,335304.8,157964.6,10881.9
JHU_IDD-CovidSP,,,,,,,,,,,,,,,506.2,443.8,480.3,385.9,258.6,139.4,,,,,,,,,,,,,,,599449.8,447690.1,506618.1,315044.0,142337.4,52392.5
BPagano-RtDriven,,,,,,,,,1376.2,1193.3,1081.3,926.5,878.5,694.6,636.8,,298.7,278.8,199.9,101.7,,,,,,,,,3678517.5,3307290.6,3246837.7,1733570.1,1539688.4,1138680.6,1012945.7,,200368.9,158920.9,101183.7,25818.6
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,344.4,229.8,148.9,87.6,,,,,,,,,,,,,,,,,412024.7,157155.4,50673.4,16693.1
MSRA-DeepST,,,,,,,,,,,,,,,,,358.7,190.6,,,,,,,,,,,,,,,,,,,395234.7,110075.4,,
