,perc_error_2020-04-20_2020-08-01,perc_error_2020-04-27_2020-08-08,perc_error_2020-05-04_2020-08-15,perc_error_2020-05-11_2020-08-22,perc_error_2020-05-18_2020-08-29,perc_error_2020-05-25_2020-09-05,perc_error_2020-06-01_2020-09-12,perc_error_2020-06-08_2020-09-19,perc_error_2020-06-15_2020-09-26,perc_error_2020-06-22_2020-10-03,perc_error_2020-06-29_2020-10-10,perc_error_2020-07-06_2020-10-17,perc_error_2020-07-13_2020-10-24,perc_error_2020-07-20_2020-10-31,perc_error_2020-07-27_2020-11-07,perc_error_2020-08-03_2020-11-14,perc_error_2020-08-10_2020-11-21,perc_error_2020-08-17_2020-11-28,perc_error_2020-08-24_2020-12-05,perc_error_2020-08-31_2020-12-12,perc_error_2020-09-07_2020-12-19,perc_error_2020-09-14_2020-12-26,perc_error_2020-09-21_2021-01-02,perc_error_2020-09-28_2021-01-09,perc_error_2020-10-05_2021-01-16,perc_error_2020-10-12_2021-01-23,perc_error_2020-10-19_2021-01-30,perc_error_2020-10-26_2021-02-06,perc_error_2020-11-02_2021-02-13,perc_error_2020-11-09_2021-02-20,perc_error_2020-11-16_2021-02-27,perc_error_2020-11-23_2021-03-06
Baseline,0.966,0.979,0.930,0.887,0.661,0.388,0.152,0.064,-0.109,-0.275,-0.016,-0.405,-0.134,-0.124,0.044,0.291,0.158,0.075,-0.065,-0.215,-0.334,-0.469,-0.485,-0.552,-0.618,-0.643,-0.679,-0.659,-0.663,-0.624,-0.568,-0.410
IHME-CurveFit,-0.777,,-0.322,,,,,-0.208,-0.087,-0.204,-0.378,-0.255,,-0.079,-0.156,-0.058,0.216,,0.320,0.332,0.419,,0.159,0.097,,,-0.273,-0.294,,,,-0.166
IowaStateLW-STEM,,,-0.543,,-0.567,-0.418,-0.504,-0.706,-0.561,-0.538,-0.810,-0.137,-0.183,-0.322,-0.269,-0.203,,-0.333,-0.333,-0.386,-0.515,-0.475,-0.549,-0.775,-0.684,-0.708,-0.761,-0.716,-0.682,-0.664,-0.568,-0.322
Covid19Sim-Simulator,,,,,,-0.560,-0.614,-0.625,-0.411,-0.412,0.283,0.372,0.374,0.273,0.197,-0.065,,-0.563,-0.711,-0.620,-0.655,-0.717,-0.806,-0.780,-0.510,-0.543,-0.780,-0.129,-0.179,0.199,,0.183
STH-3PU,,,,,,,,,-0.502,-0.709,-0.759,-0.734,-0.733,0.196,0.282,1.002,-0.128,-0.180,-0.272,-0.353,-0.786,-0.520,-0.578,,-0.669,-0.687,-0.710,-0.737,-0.732,,,
YYG-ParamSearch,,,,,,,,,-0.134,,,,-0.064,-0.196,,,,,,,,,,,,,,,,,,
