,mean_abs_error_2020-04-20_2020-05-16,mean_abs_error_2020-04-27_2020-05-16,mean_abs_error_2020-05-04_2020-05-16,mean_abs_error_2020-05-11_2020-05-16,mean_sq_abs_error_2020-04-20_2020-05-16,mean_sq_abs_error_2020-04-27_2020-05-16,mean_sq_abs_error_2020-05-04_2020-05-16,mean_sq_abs_error_2020-05-11_2020-05-16
YYG-ParamSearch,262.6,173.1,69.7,25.5,239153.8,140223.9,15473.3,1868.0
Baseline_0.98,325.1,198.1,83.1,30.0,821601.8,250741.4,31783.7,2918.7
COVIDhub-ensemble,,147.9,51.3,40.6,,85709.2,8925.9,7429.3
Baseline,379.5,233.9,93.8,34.2,2237773.3,528171.8,66823.9,4537.8
LANL-GrowthRate,421.0,251.7,93.3,41.4,1802562.5,342315.9,35390.5,6331.6
CU-select,456.2,276.3,98.2,60.9,1019166.9,287716.4,33434.6,11154.3
UMass-MechBayes,,522.7,128.4,34.0,,1510575.4,85762.4,3399.2
IHME-CurveFit,507.6,404.2,144.5,74.9,988636.4,784341.1,102315.2,32596.8
MIT_CovidAnalytics-DELPHI,,181.2,183.9,89.3,,107728.3,167443.8,23647.7
MOBS_NEU-GLEAM_COVID,596.8,317.7,163.0,75.3,1589938.3,352721.6,93449.2,41942.3
IowaStateLW-STEM,,164.9,200.7,,,68269.6,484300.3,
UT-Mobility,642.6,410.1,245.4,48.0,3059454.4,1785238.6,1135943.1,10731.3
UCLA-SuEIR,,,190.3,65.0,,,323080.5,27937.6
Auquan-SEIR,,,207.3,,,,392301.8,
CovidActNow-SEIR_CAN,,,,251.6,,,,349184.6
GT-DeepCOVID,,,389.8,,,,1398330.5,
