,perc_error_2020-04-27_2020-08-22,perc_error_2020-05-04_2020-08-29,perc_error_2020-05-11_2020-09-05,perc_error_2020-05-18_2020-09-12,perc_error_2020-05-25_2020-09-19,perc_error_2020-06-01_2020-09-26,perc_error_2020-06-08_2020-10-03,perc_error_2020-06-15_2020-10-10,perc_error_2020-06-22_2020-10-17,perc_error_2020-06-29_2020-10-24,perc_error_2020-07-06_2020-10-31,perc_error_2020-07-13_2020-11-07,perc_error_2020-07-20_2020-11-14,perc_error_2020-07-27_2020-11-21,perc_error_2020-08-03_2020-11-28,perc_error_2020-08-10_2020-12-05,perc_error_2020-08-17_2020-12-12,perc_error_2020-08-24_2020-12-19,perc_error_2020-08-31_2020-12-26,perc_error_2020-09-07_2021-01-02,perc_error_2020-09-14_2021-01-09,perc_error_2020-09-21_2021-01-16,perc_error_2020-09-28_2021-01-23,perc_error_2020-10-05_2021-01-30,perc_error_2020-10-12_2021-02-06,perc_error_2020-10-19_2021-02-13,perc_error_2020-10-26_2021-02-20,perc_error_2020-11-02_2021-02-27,perc_error_2020-11-09_2021-03-06
Baseline,0.982,0.932,0.893,0.679,0.404,0.160,0.078,-0.094,-0.265,-0.008,-0.403,-0.143,-0.149,-0.018,0.184,0.026,-0.089,-0.210,-0.316,-0.404,-0.532,-0.549,-0.598,-0.647,-0.664,-0.689,-0.657,-0.654,-0.613
IHME-CurveFit,,,,,,,-0.107,0.037,-0.114,-0.347,-0.236,,-0.091,-0.205,-0.124,0.155,,0.212,0.232,0.338,,0.096,0.056,,,-0.265,-0.272,,
Covid19Sim-Simulator,,,,,-0.563,-0.609,-0.613,-0.409,-0.407,0.463,0.484,0.452,0.257,0.120,-0.170,,-0.640,-0.765,-0.702,-0.714,-0.770,-0.848,-0.820,-0.538,-0.571,-0.802,-0.074,-0.121,0.276
IowaStateLW-STEM,,-0.569,,-0.587,-0.416,-0.512,-0.725,-0.562,-0.534,-0.813,-0.149,-0.191,-0.352,-0.324,-0.283,,-0.447,-0.446,-0.473,-0.573,-0.544,-0.611,-0.802,-0.712,-0.730,-0.771,-0.718,-0.676,-0.656
STH-3PU,,,,,,,,-0.439,-0.668,-0.727,-0.690,-0.689,0.297,0.176,0.716,-0.235,-0.312,-0.391,-0.443,-0.810,-0.581,-0.635,,-0.699,-0.709,-0.722,-0.737,-0.727,
