,mean_abs_error_2020-08-03_2020-12-19,mean_abs_error_2020-08-10_2020-12-19,mean_abs_error_2020-08-17_2020-12-19,mean_abs_error_2020-08-24_2020-12-19,mean_abs_error_2020-08-31_2020-12-19,mean_abs_error_2020-09-07_2020-12-19,mean_abs_error_2020-09-14_2020-12-19,mean_abs_error_2020-09-21_2020-12-19,mean_abs_error_2020-09-28_2020-12-19,mean_abs_error_2020-10-05_2020-12-19,mean_abs_error_2020-10-12_2020-12-19,mean_abs_error_2020-10-19_2020-12-19,mean_abs_error_2020-10-26_2020-12-19,mean_abs_error_2020-11-02_2020-12-19,mean_abs_error_2020-11-09_2020-12-19,mean_abs_error_2020-11-16_2020-12-19,mean_abs_error_2020-11-23_2020-12-19,mean_abs_error_2020-11-30_2020-12-19,mean_abs_error_2020-12-07_2020-12-19,mean_abs_error_2020-12-14_2020-12-19,mean_sq_abs_error_2020-08-03_2020-12-19,mean_sq_abs_error_2020-08-10_2020-12-19,mean_sq_abs_error_2020-08-17_2020-12-19,mean_sq_abs_error_2020-08-24_2020-12-19,mean_sq_abs_error_2020-08-31_2020-12-19,mean_sq_abs_error_2020-09-07_2020-12-19,mean_sq_abs_error_2020-09-14_2020-12-19,mean_sq_abs_error_2020-09-21_2020-12-19,mean_sq_abs_error_2020-09-28_2020-12-19,mean_sq_abs_error_2020-10-05_2020-12-19,mean_sq_abs_error_2020-10-12_2020-12-19,mean_sq_abs_error_2020-10-19_2020-12-19,mean_sq_abs_error_2020-10-26_2020-12-19,mean_sq_abs_error_2020-11-02_2020-12-19,mean_sq_abs_error_2020-11-09_2020-12-19,mean_sq_abs_error_2020-11-16_2020-12-19,mean_sq_abs_error_2020-11-23_2020-12-19,mean_sq_abs_error_2020-11-30_2020-12-19,mean_sq_abs_error_2020-12-07_2020-12-19,mean_sq_abs_error_2020-12-14_2020-12-19
JCB-PRM,,,,,,,,,,,,,808.3,763.7,628.6,384.9,304.3,241.6,140.5,58.8,,,,,,,,,,,,,1683799.7,1597301.8,1111130.7,556151.2,346926.6,214304.3,77232.3,13173.0
BPagano-RtDriven,,,,,,,,,,1163.5,1018.3,919.0,787.5,723.3,566.6,479.9,364.4,221.5,147.5,69.7,,,,,,,,,,2576862.0,2381364.5,2365344.5,1223991.3,1042825.1,714506.5,583634.9,376148.5,118961.5,53322.8,13318.2
Karlen-pypm,,,,,,,,,,,,,,,,465.3,268.9,208.4,122.3,58.1,,,,,,,,,,,,,,,,577954.6,253392.1,122082.5,56218.5,11451.1
USC-SI_kJalpha,,,,,,,,,,,,,821.2,677.0,544.1,,255.0,238.7,165.6,54.8,,,,,,,,,,,,,1529751.7,1337361.2,761956.4,,200280.1,148575.9,79730.8,11707.8
LANL-GrowthRate,,,,,,,,,,,,,,,617.8,484.2,384.2,396.0,135.6,57.0,,,,,,,,,,,,,,,935364.1,580311.0,470665.9,408902.5,49104.0,11579.8
LNQ-ens1,,,,,,,,,,,,,,,,,218.5,392.9,130.8,51.3,,,,,,,,,,,,,,,,,186234.2,371162.5,50596.7,8944.8
IowaStateLW-STEM,1921.6,,1715.2,1655.5,1409.5,1342.2,1159.4,1160.9,1475.1,1413.6,1349.9,1332.2,1137.8,986.9,854.2,670.9,326.5,298.7,166.7,82.4,8555352.5,,6547863.2,5811642.7,4241096.7,3964201.9,3094623.6,3264576.7,4282395.1,4036627.8,3735462.0,3571998.1,2787269.3,2235899.0,1799328.6,1163995.5,346204.6,258636.8,81011.2,15018.6
COVIDhub-ensemble,,,,,,,,,,,,,,,,,256.8,303.4,151.7,56.6,,,,,,,,,,,,,,,,,273464.2,269411.7,78424.1,13018.5
MSRA-DeepST,,,,,,,,,,,,,,,,,270.4,271.1,133.1,,,,,,,,,,,,,,,,,,276276.6,210340.0,55641.0,
JHUAPL-Bucky,,,,,,,,,,,1198.9,,718.4,736.4,589.9,590.6,472.2,287.4,177.0,111.5,,,,,,,,,,,3083236.0,,1280313.4,1371534.9,952403.9,974855.2,1060503.4,219045.9,90872.3,32423.1
CMU-TimeSeries,,,,,,,,,,,,,,,,,243.7,303.7,143.7,71.5,,,,,,,,,,,,,,,,,201408.3,248365.2,63076.9,19108.3
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,331.5,267.8,145.6,64.9,,,,,,,,,,,,,,,,,375631.3,264374.1,68661.3,17353.7
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,357.7,219.7,153.6,62.2,,,,,,,,,,,,,,,,,420120.9,159508.3,71595.3,11521.4
COVIDhub-baseline,,,,,,,,,,,,,964.0,950.8,830.1,704.0,443.9,434.1,164.1,72.9,,,,,,,,,,,,,2262967.3,2329386.4,1640181.1,1223647.5,582235.7,467745.4,94451.9,20214.3
Caltech-CS156,,,,,,,,,,,,,,,,,282.0,313.0,150.4,61.8,,,,,,,,,,,,,,,,,282213.6,262938.2,68903.3,14195.4
GT-DeepCOVID,,,,,,,,,,,,,,,,,349.0,292.8,136.0,68.9,,,,,,,,,,,,,,,,,347127.5,299736.9,67228.3,17371.2
UMass-MechBayes,,,,,,,,,,,,,,,,,254.9,328.5,150.9,71.3,,,,,,,,,,,,,,,,,202304.5,285731.4,72789.1,16915.7
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,339.8,279.3,152.1,63.7,,,,,,,,,,,,,,,,,386652.5,279753.2,74150.6,18458.3
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,322.3,280.2,160.9,61.1,,,,,,,,,,,,,,,,,261628.2,258383.9,78782.2,13365.6
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,313.7,235.5,167.9,78.1,,,,,,,,,,,,,,,,,309428.0,140760.5,94737.9,19365.5
OliverWyman-Navigator,,,,,,,,,,,,,,,,,290.1,256.5,169.8,73.8,,,,,,,,,,,,,,,,,298092.9,222679.5,103592.4,25647.3
Google_Harvard-CPF,,,,,,,,,,,,,,,,,245.8,227.6,219.0,81.4,,,,,,,,,,,,,,,,,215309.6,166965.7,132434.5,19899.8
Baseline,1973.5,1866.6,1803.4,1586.6,1387.2,1306.0,1263.0,1216.6,1173.7,1167.9,1166.3,1152.4,1011.1,964.5,845.4,704.9,433.2,448.4,169.5,85.1,13064051.3,9553252.9,7714321.3,5593141.2,3900050.7,3660813.7,3410217.3,3236331.2,3245446.2,2953481.2,3044260.8,2971581.2,2392958.0,2327537.9,1666123.1,1215715.2,561243.0,497844.5,100996.6,24229.7
JHU_IDD-CovidSP,,,,,,,,,,,,,,,1075.5,423.3,364.6,387.8,294.6,169.9,,,,,,,,,,,,,,,2438825.1,425434.7,312046.2,335039.0,181742.1,62806.3
UCLA-SuEIR,,,,,,,1573.5,1489.3,1432.2,1433.7,1390.5,1371.3,1271.0,1147.4,984.1,902.5,416.8,476.0,157.6,83.9,,,,,,,4893861.1,4549348.9,4223296.5,4240273.0,4004230.7,3931967.8,3439948.7,3041007.4,2071538.2,1883481.8,505136.0,557461.4,77319.3,22470.7
Covid19Sim-Simulator,1385.2,,,2022.9,1483.4,1444.9,1518.9,1509.7,1338.2,1028.8,1024.4,1126.4,780.3,613.5,483.4,,452.7,308.5,337.9,314.3,4656822.5,,,8112569.0,4477647.9,4553466.0,5057345.5,4982400.8,3827289.0,2749400.4,2553973.7,2813992.0,1606931.0,1155146.9,815883.6,,692817.7,247808.6,267132.5,206642.5
CU-select,,,,,,,,,,,,,,,,,319.2,407.0,205.7,75.9,,,,,,,,,,,,,,,,,286881.6,364465.3,108979.4,12666.8
CovidAnalytics-DELPHI,,,,,,,,,,,,,,,980.0,793.5,460.9,341.5,228.8,114.0,,,,,,,,,,,,,,,2417772.9,1659834.9,659396.9,371952.5,158514.2,47655.6
Columbia_UNC-SurvCon,,,,,,,,,,,,,1637.4,1241.2,1035.9,1293.7,554.2,362.9,533.3,57.3,,,,,,,,,,,,,15793526.3,6019250.1,2634974.6,5533682.5,784992.4,319916.6,583217.4,9633.6
CEID-Walk,,,,,,,,,,,,,,,,,447.1,433.1,158.6,72.6,,,,,,,,,,,,,,,,,611238.6,468153.8,87670.6,20497.9
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,149.3,56.3,,,,,,,,,,,,,,,,,,,55042.5,9648.3
UCSB-ACTS,,,,,,,,,,,,,,,,,462.6,271.5,213.1,92.5,,,,,,,,,,,,,,,,,669405.5,263995.2,149904.3,29576.2
UA-EpiCovDA,,,,,,,,,,,,,,,,,354.8,440.8,208.8,81.9,,,,,,,,,,,,,,,,,442867.5,536057.8,134391.1,21385.2
PSI-DRAFT,,,,,,,,,,,,,,,906.9,862.7,637.5,511.9,273.2,94.4,,,,,,,,,,,,,,,1934264.8,1729263.9,1103145.8,730651.6,222816.6,27768.4
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,131.4,78.4,,,,,,,,,,,,,,,,,,,54327.0,18827.4
NotreDame-mobility,,,,,,,,,,,,,,,959.6,708.2,606.5,469.7,316.8,197.6,,,,,,,,,,,,,,,2256919.9,1026717.9,800434.3,633481.3,288270.6,137248.3
UT-Mobility,,,,,,,,,,,,,,,,,497.7,406.6,205.1,83.3,,,,,,,,,,,,,,,,,585855.3,362642.5,124074.8,17777.7
RobertWalraven-ESG,,,,,,,,,,,,,,,,,503.7,578.4,278.2,68.8,,,,,,,,,,,,,,,,,764132.2,885143.8,221475.4,16020.2
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,767.7,417.4,160.3,131.1,,,,,,,,,,,,,,,,,2568853.7,399508.3,75280.4,56887.4
DDS-NBDS,,,,,,,,,,,,,,,,,470.8,497.8,173.8,106.9,,,,,,,,,,,,,,,,,691081.9,618604.9,120246.1,33356.5
