,mean_abs_error_2020-04-20_2020-07-11,mean_abs_error_2020-04-27_2020-07-11,mean_abs_error_2020-05-04_2020-07-11,mean_abs_error_2020-05-11_2020-07-11,mean_abs_error_2020-05-18_2020-07-11,mean_abs_error_2020-05-25_2020-07-11,mean_abs_error_2020-06-01_2020-07-11,mean_abs_error_2020-06-08_2020-07-11,mean_abs_error_2020-06-15_2020-07-11,mean_abs_error_2020-06-22_2020-07-11,mean_abs_error_2020-06-29_2020-07-11,mean_abs_error_2020-07-06_2020-07-11,mean_sq_abs_error_2020-04-20_2020-07-11,mean_sq_abs_error_2020-04-27_2020-07-11,mean_sq_abs_error_2020-05-04_2020-07-11,mean_sq_abs_error_2020-05-11_2020-07-11,mean_sq_abs_error_2020-05-18_2020-07-11,mean_sq_abs_error_2020-05-25_2020-07-11,mean_sq_abs_error_2020-06-01_2020-07-11,mean_sq_abs_error_2020-06-08_2020-07-11,mean_sq_abs_error_2020-06-15_2020-07-11,mean_sq_abs_error_2020-06-22_2020-07-11,mean_sq_abs_error_2020-06-29_2020-07-11,mean_sq_abs_error_2020-07-06_2020-07-11
YYG-ParamSearch,,,383.5,593.2,588.4,343.9,191.3,142.2,95.8,71.6,47.7,40.9,,,463293.9,1178530.0,1100014.0,395983.2,81796.7,52161.1,28568.8,16410.6,9515.4,8205.9
LANL-GrowthRate,,,,,,233.4,174.8,144.5,100.3,78.5,65.1,33.3,,,,,,165162.0,93670.9,82756.8,32098.1,20241.0,16889.3,7614.9
COVIDhub-ensemble,,,,,,,,,84.8,58.3,37.9,29.3,,,,,,,,,24231.0,9166.8,5455.9,4565.0
UCLA-SuEIR,,,531.3,437.1,261.2,205.0,166.7,169.8,111.5,81.4,73.3,37.7,,,774275.9,1182025.7,197559.5,107458.1,72110.3,73035.2,44506.6,23168.3,18628.1,6925.5
IHME-CurveFit,1334.4,1200.1,498.6,329.1,291.3,,300.2,154.4,123.3,67.3,47.8,59.7,5233863.0,4456888.7,691793.1,392212.4,292284.8,,339219.1,56864.1,42621.9,13087.1,7412.0,20871.8
UMass-MechBayes,,,,,,,,,96.2,88.1,51.6,32.4,,,,,,,,,39175.6,32270.1,14003.6,5990.8
OliverWyman-Navigator,,,,,,,,,96.5,84.5,53.6,31.2,,,,,,,,,32248.9,21070.0,8959.9,6054.4
UT-Mobility,,,,,,,,,128.2,80.3,45.9,41.2,,,,,,,,,54166.5,17700.2,7287.2,6810.4
IowaStateLW-STEM,,657.0,727.9,,356.5,253.9,233.2,176.4,126.5,82.8,96.0,66.8,,1050529.5,1495628.5,,335574.0,179546.3,157615.7,90922.5,50907.2,21139.7,34358.5,21416.8
Baseline,1834.1,1566.7,1285.1,1070.0,756.5,499.6,336.0,257.8,160.2,92.5,115.5,42.1,50517690.5,23347427.7,11436764.9,6371703.1,3135495.2,908614.1,304306.4,223094.0,80314.8,24327.8,217962.0,8369.1
UA-EpiCovDA,,,,,,,,,153.6,74.9,106.8,45.9,,,,,,,,,71042.0,17462.2,131243.5,9409.9
USACE-ERDC_SEIR,,,,,421.9,328.6,364.7,261.6,118.9,130.9,218.6,37.4,,,,,574421.2,364907.4,441897.5,246887.6,46256.2,54652.6,192673.9,5336.5
MOBS-GLEAM_COVID,,,,,,,,,149.4,115.5,82.6,43.5,,,,,,,,,60668.5,38427.1,24840.4,7489.6
Covid19Sim-Simulator,,,,,,285.5,285.9,237.5,120.3,93.6,117.6,99.6,,,,,,244323.8,238855.2,170949.2,43264.9,28039.7,119775.5,110099.4
USC-SI_kJalpha,,,,,,,,,,,51.9,30.4,,,,,,,,,,,11959.6,4264.5
COVIDhub-baseline,,,,,,,,,178.4,102.1,122.6,37.4,,,,,,,,,120156.3,28203.4,250263.3,7374.6
CovidAnalytics-DELPHI,,,,,,,,231.7,172.0,108.6,86.5,70.5,,,,,,,,223383.4,148532.2,40763.5,31247.4,21827.4
PSI-DRAFT,,,,,,,245.9,491.3,208.1,156.3,100.4,59.4,,,,,,,262667.8,2916218.9,348744.5,154265.5,59396.9,15119.0
Auquan-SEIR,,,,,,,,,834.6,93.9,69.2,61.9,,,,,,,,,2033022.5,35421.2,24231.9,29789.9
JHU_IDD-CovidSP,,,,,,,,,225.8,175.5,90.7,46.0,,,,,,,,,194918.2,94344.0,21581.1,6320.5
SWC-TerminusCM,,,,,,,352.2,434.9,288.5,,77.4,,,,,,,,370948.6,1081138.4,973627.2,,22359.7,
NotreDame-mobility,,,,,,,,,,221.2,130.5,46.4,,,,,,,,,,950446.3,220536.9,10091.7
CU-select,,,,,,,,,273.1,299.8,224.9,51.5,,,,,,,,,298127.3,458266.1,295702.1,11855.9
CovidActNow-SEIR_CAN,,,,,,,,,209.4,175.0,,83.5,,,,,,,,,180609.4,208910.8,,24282.3
MITCovAlliance-SIR,,,,,,,,,,,192.3,270.8,,,,,,,,,,,169660.9,674926.1
GT-DeepCOVID,,,,,,,,,,,,146.6,,,,,,,,,,,,65614.6
RobertWalraven-ESG,,,,,,,,,,,,241.6,,,,,,,,,,,,1120725.7
