,perc_error_2020-04-20_2020-06-20,perc_error_2020-04-27_2020-06-20,perc_error_2020-05-04_2020-06-20,perc_error_2020-05-11_2020-06-20,perc_error_2020-05-18_2020-06-20,perc_error_2020-05-25_2020-06-20,perc_error_2020-06-01_2020-06-20,perc_error_2020-06-08_2020-06-20,perc_error_2020-06-15_2020-06-20
UCLA-SuEIR,,,-0.202,0.007,0.142,-0.002,-0.078,0.007,-0.043
Baseline_0.98,-0.037,0.035,0.101,0.206,0.199,0.134,0.056,0.114,0.060
MOBS_NEU-GLEAM_COVID,,,,,,0.021,-0.034,-0.039,0.082
IHME-CurveFit,-0.682,-0.722,0.105,0.168,0.295,,-0.037,-0.018,-0.080
UMass-MechBayes,,,,,,0.003,0.172,0.100,0.026
MIT_CovidAnalytics-DELPHI,,,,,0.230,0.042,-0.018,0.154,0.192
LANL-GrowthRate,,,0.052,-0.265,-0.114,0.080,0.023,0.159,0.486
UT-Mobility,,,,,,0.207,-0.086,-0.082,0.054
YYG-ParamSearch,,,0.081,0.327,0.426,0.307,0.129,0.107,0.045
GT-DeepCOVID,,,,,,-0.017,0.070,0.080,0.297
PSI-DRAFT,,,,,0.418,0.081,0.078,-0.224,0.142
IowaStateLW-STEM,,,-0.393,,-0.116,0.029,0.153,0.202,0.496
COVIDhub-ensemble,,,,,,0.182,0.153,0.131,0.260
OliverWyman-Navigator,,,,,,,,-0.003,0.132
Baseline,0.673,0.697,0.702,0.757,0.641,0.457,0.270,0.254,0.114
CU-select,,,,0.754,,0.253,0.553,0.290,0.288
Covid19Sim-Simulator,,,,,,-0.371,-0.540,-0.655,0.192
JHU_IDD-CovidSP,,,,,,1.005,0.725,0.652,0.142
USACE-ERDC_SEIR,,,,,-0.315,-0.299,-0.557,-0.696,-0.846
UA-EpiCovDA,,,,,,0.453,0.573,0.685,1.400
Imperial-combined,,,,,,,,,0.235
SWC-TerminusCM,,,,,,,-0.203,,
epiforecasts-ensemble1,,,,,,,,,0.412
CovidActNow-SEIR_CAN,,,,,,,,14.123,0.521
Auquan-SEIR,,,,,,,0.928,3.734,2.957
