,mean_abs_error_2020-04-20_2020-07-18,mean_abs_error_2020-04-27_2020-07-18,mean_abs_error_2020-05-04_2020-07-18,mean_abs_error_2020-05-11_2020-07-18,mean_abs_error_2020-05-18_2020-07-18,mean_abs_error_2020-05-25_2020-07-18,mean_abs_error_2020-06-01_2020-07-18,mean_abs_error_2020-06-08_2020-07-18,mean_abs_error_2020-06-15_2020-07-18,mean_abs_error_2020-06-22_2020-07-18,mean_abs_error_2020-06-29_2020-07-18,mean_abs_error_2020-07-06_2020-07-18,mean_abs_error_2020-07-13_2020-07-18,mean_sq_abs_error_2020-04-20_2020-07-18,mean_sq_abs_error_2020-04-27_2020-07-18,mean_sq_abs_error_2020-05-04_2020-07-18,mean_sq_abs_error_2020-05-11_2020-07-18,mean_sq_abs_error_2020-05-18_2020-07-18,mean_sq_abs_error_2020-05-25_2020-07-18,mean_sq_abs_error_2020-06-01_2020-07-18,mean_sq_abs_error_2020-06-08_2020-07-18,mean_sq_abs_error_2020-06-15_2020-07-18,mean_sq_abs_error_2020-06-22_2020-07-18,mean_sq_abs_error_2020-06-29_2020-07-18,mean_sq_abs_error_2020-07-06_2020-07-18,mean_sq_abs_error_2020-07-13_2020-07-18
YYG-ParamSearch,,,,684.7,707.8,424.5,272.3,214.8,155.4,122.5,86.5,78.6,26.2,,,,1747667.0,1686560.0,648651.8,164378.7,125361.8,88508.7,57419.5,39553.8,38536.1,3893.8
LANL-GrowthRate,,,,,,,239.7,196.4,132.5,112.5,105.6,79.4,37.4,,,,,,,204609.5,187970.1,83674.0,48085.9,62646.5,47784.1,7087.2
COVIDhub-ensemble,,,,,,,,,,86.0,67.6,60.0,30.7,,,,,,,,,,25961.8,23395.5,26411.8,4901.7
UCLA-SuEIR,,,622.6,519.1,326.3,275.8,231.2,239.3,173.6,134.8,124.8,78.0,32.4,,,1101019.8,1413746.5,331516.7,226856.0,154449.3,172264.9,137001.1,86801.8,66572.9,41078.4,4777.4
UT-Mobility,,,,,,,,,,137.4,83.5,80.4,26.0,,,,,,,,,,64575.4,29541.6,31562.0,1789.3
UMass-MechBayes,,,,,,,,,,149.5,101.2,65.2,24.5,,,,,,,,,,117131.7,90635.0,28693.8,2741.3
OliverWyman-Navigator,,,,,,,,,,137.4,102.0,65.2,29.9,,,,,,,,,,59327.5,38286.3,30158.2,3380.5
IHME-CurveFit,1440.8,1304.5,565.4,357.9,342.7,,380.0,203.3,151.1,93.8,86.2,86.7,,5851323.0,5017453.9,850611.0,492075.4,353319.7,,519655.6,120952.4,89309.4,29457.0,27592.8,38101.6,
USACE-ERDC_SEIR,,,,,501.0,409.0,432.4,309.8,150.3,146.5,194.8,83.0,43.5,,,,,744024.5,528240.5,578432.7,336966.8,79759.4,74001.6,174363.9,24806.3,6006.6
UA-EpiCovDA,,,,,,,,,,102.8,179.7,97.0,33.7,,,,,,,,,,31500.1,302693.8,54129.1,5713.1
IowaStateLW-STEM,,742.6,797.6,,456.0,343.0,319.6,257.2,190.1,134.6,158.9,112.0,45.5,,1361170.1,1763958.5,,583827.4,352588.2,323655.1,221887.8,123329.6,68627.2,121180.1,60318.0,7059.2
Covid19Sim-Simulator,,,,,,351.9,352.6,304.5,157.5,117.0,145.0,126.8,59.0,,,,,,407712.8,404305.2,314489.3,89421.2,60036.3,153862.6,139774.1,12310.6
Baseline,2076.7,1806.7,1500.0,1251.4,919.3,633.6,452.8,363.6,248.4,162.6,205.8,89.1,34.5,62146992.8,29430498.2,14872497.9,8484444.9,4333711.3,1385496.3,547864.6,417508.6,196335.1,91695.9,570951.4,46275.3,5320.6
USC-SI_kJalpha,,,,,,,,,,,108.0,83.4,50.5,,,,,,,,,,,73173.1,32449.3,9278.5
COVIDhub-baseline,,,,,,,,,,179.8,219.3,84.7,38.2,,,,,,,,,,104890.9,623155.2,44305.9,7218.9
MOBS-GLEAM_COVID,,,,,,,,,,185.0,148.2,97.9,46.7,,,,,,,,,,125034.4,97743.7,47924.0,10989.1
CovidAnalytics-DELPHI,,,,,,,,,231.1,153.5,126.8,137.7,51.7,,,,,,,,,297927.8,79562.2,69096.2,87877.1,12179.4
JHU_IDD-CovidSP,,,,,,,,,,272.3,163.3,91.8,46.7,,,,,,,,,,218680.6,68627.2,22827.1,7736.6
Auquan-SEIR,,,,,,,,,,148.6,125.8,116.7,,,,,,,,,,,100856.1,75228.4,105253.6,
NotreDame-mobility,,,,,,,,,,266.2,254.9,99.4,41.8,,,,,,,,,,1027763.6,930755.3,52401.5,9006.7
CU-select,,,,,,,,,,477.8,443.6,105.9,34.8,,,,,,,,,,1208569.9,1394537.6,51293.6,5155.1
PSI-DRAFT,,,,,,,,653.7,307.5,247.8,176.1,131.3,71.1,,,,,,,,5313335.0,730378.5,391649.0,200128.7,93505.8,26246.3
SWC-TerminusCM,,,,,,,,626.1,365.8,,138.5,,,,,,,,,,2431061.3,1103564.8,,94603.3,,
GT-DeepCOVID,,,,,,,,,,,,172.5,51.2,,,,,,,,,,,,103623.4,12274.4
CovidActNow-SEIR_CAN,,,,,,,,,,278.9,,204.8,,,,,,,,,,,640459.8,,182634.1,
MITCovAlliance-SIR,,,,,,,,,,,238.2,315.8,312.1,,,,,,,,,,,241208.7,752751.5,744505.4
RobertWalraven-ESG,,,,,,,,,,,,296.7,296.0,,,,,,,,,,,,1158647.6,1469975.2
