,mean_abs_error_2020-04-20_2020-06-20,mean_abs_error_2020-04-27_2020-06-27,mean_abs_error_2020-05-04_2020-07-04,mean_abs_error_2020-05-11_2020-07-11,mean_abs_error_2020-05-18_2020-07-18,mean_abs_error_2020-05-25_2020-07-25,mean_abs_error_2020-06-01_2020-08-01,mean_abs_error_2020-06-08_2020-08-08,mean_abs_error_2020-06-15_2020-08-15,mean_abs_error_2020-06-22_2020-08-22,mean_abs_error_2020-06-29_2020-08-29,mean_abs_error_2020-07-06_2020-09-05,mean_abs_error_2020-07-13_2020-09-12,mean_abs_error_2020-07-20_2020-09-19,mean_abs_error_2020-07-27_2020-09-26,mean_abs_error_2020-08-03_2020-10-03,mean_abs_error_2020-08-10_2020-10-10,mean_abs_error_2020-08-17_2020-10-17,mean_abs_error_2020-08-24_2020-10-24,mean_abs_error_2020-08-31_2020-10-31,mean_abs_error_2020-09-07_2020-11-07,mean_abs_error_2020-09-14_2020-11-14,mean_abs_error_2020-09-21_2020-11-21,mean_abs_error_2020-09-28_2020-11-28,mean_abs_error_2020-10-05_2020-12-05,mean_abs_error_2020-10-12_2020-12-12,mean_abs_error_2020-10-19_2020-12-19,mean_abs_error_2020-10-26_2020-12-26,mean_abs_error_2020-11-02_2021-01-02,mean_abs_error_2020-11-09_2021-01-09,mean_abs_error_2020-11-16_2021-01-16,mean_abs_error_2020-11-23_2021-01-23,mean_abs_error_2020-11-30_2021-01-30,mean_abs_error_2020-12-07_2021-02-06,mean_abs_error_2020-12-14_2021-02-13,mean_abs_error_2020-12-21_2021-02-20,mean_abs_error_2020-12-28_2021-02-27,mean_abs_error_2021-01-04_2021-03-06,mean_sq_abs_error_2020-04-20_2020-06-20,mean_sq_abs_error_2020-04-27_2020-06-27,mean_sq_abs_error_2020-05-04_2020-07-04,mean_sq_abs_error_2020-05-11_2020-07-11,mean_sq_abs_error_2020-05-18_2020-07-18,mean_sq_abs_error_2020-05-25_2020-07-25,mean_sq_abs_error_2020-06-01_2020-08-01,mean_sq_abs_error_2020-06-08_2020-08-08,mean_sq_abs_error_2020-06-15_2020-08-15,mean_sq_abs_error_2020-06-22_2020-08-22,mean_sq_abs_error_2020-06-29_2020-08-29,mean_sq_abs_error_2020-07-06_2020-09-05,mean_sq_abs_error_2020-07-13_2020-09-12,mean_sq_abs_error_2020-07-20_2020-09-19,mean_sq_abs_error_2020-07-27_2020-09-26,mean_sq_abs_error_2020-08-03_2020-10-03,mean_sq_abs_error_2020-08-10_2020-10-10,mean_sq_abs_error_2020-08-17_2020-10-17,mean_sq_abs_error_2020-08-24_2020-10-24,mean_sq_abs_error_2020-08-31_2020-10-31,mean_sq_abs_error_2020-09-07_2020-11-07,mean_sq_abs_error_2020-09-14_2020-11-14,mean_sq_abs_error_2020-09-21_2020-11-21,mean_sq_abs_error_2020-09-28_2020-11-28,mean_sq_abs_error_2020-10-05_2020-12-05,mean_sq_abs_error_2020-10-12_2020-12-12,mean_sq_abs_error_2020-10-19_2020-12-19,mean_sq_abs_error_2020-10-26_2020-12-26,mean_sq_abs_error_2020-11-02_2021-01-02,mean_sq_abs_error_2020-11-09_2021-01-09,mean_sq_abs_error_2020-11-16_2021-01-16,mean_sq_abs_error_2020-11-23_2021-01-23,mean_sq_abs_error_2020-11-30_2021-01-30,mean_sq_abs_error_2020-12-07_2021-02-06,mean_sq_abs_error_2020-12-14_2021-02-13,mean_sq_abs_error_2020-12-21_2021-02-20,mean_sq_abs_error_2020-12-28_2021-02-27,mean_sq_abs_error_2021-01-04_2021-03-06
YYG-ParamSearch,,,318.0,600.5,715.5,558.4,499.4,529.3,506.7,471.7,471.4,431.6,273.2,300.4,254.6,195.1,190.2,165.1,237.4,269.2,,,,,,,,,,,,,,,,,,,,,345233.7,1201926.1,1724083.5,1062804.1,655841.6,997157.8,1346706.6,1398071.1,1510804.6,1452652.1,413656.9,389670.8,172115.4,82707.6,103702.6,63470.7,179506.3,223143.1,,,,,,,,,,,,,,,,,,
Covid19Sim-Simulator,,,,,,437.4,551.7,600.5,465.4,473.3,487.6,441.1,302.1,316.8,310.3,258.7,,,531.2,265.5,332.2,377.0,514.6,536.8,598.3,773.9,1126.4,934.6,896.8,957.2,,1395.5,1255.3,1074.0,888.6,720.5,1011.8,1078.3,,,,,,711584.7,1285560.2,1725157.0,1379620.4,1430217.6,1262331.3,1548855.4,826489.9,659739.1,516791.5,189527.5,,,1114034.4,251029.0,317941.7,342607.8,584361.5,675192.2,984339.5,1558231.7,2813992.0,2304195.4,2581524.3,3265492.0,,6022390.3,5490230.7,3713016.4,2884651.2,1400773.9,3569691.2,3987532.2
IHME-CurveFit,1086.5,1017.0,439.5,330.4,340.6,,586.7,477.9,445.3,389.9,503.3,512.7,,384.0,330.9,340.6,385.2,,636.7,729.2,696.8,,619.3,780.5,,,758.0,821.3,,,,867.3,,925.4,1137.8,955.8,969.5,,3969471.2,3540411.7,602622.7,402011.2,357979.6,,1362635.6,1087753.7,1176191.2,700638.3,1323996.2,1242309.7,,401276.9,233133.8,350254.2,503242.8,,2246572.3,2385127.7,1627357.2,,1306947.0,2307707.1,,,1492208.1,1832935.7,,,,3164098.0,,1997579.6,3729045.5,2483703.7,2725666.8,
UCLA-SuEIR,,,439.2,426.7,323.4,373.4,429.2,549.7,578.5,631.8,700.0,658.5,452.0,417.3,309.5,272.0,333.2,288.4,297.7,313.0,329.8,401.6,500.8,591.9,827.3,1073.9,1371.3,1543.0,1707.3,1871.4,2164.0,1374.7,1803.1,1402.0,1463.0,1282.5,1493.3,1248.4,,,531731.7,1169245.1,341673.7,490378.3,794700.0,1498497.7,2113417.0,2410273.9,2467297.8,2676932.9,1071699.4,1010622.1,372677.5,333325.2,379921.6,196182.5,199744.8,186129.1,213812.6,311830.1,519607.9,769454.3,1484080.7,2431530.0,3931967.8,5039992.0,6671556.4,7846341.6,11337641.1,7272948.1,11774858.5,8539617.9,9512617.2,6940327.0,10859354.3,5593033.0
IowaStateLW-STEM,,516.1,637.2,,451.2,450.5,574.4,614.2,604.4,615.3,736.4,596.3,496.1,390.5,379.9,375.9,,391.2,443.4,343.7,372.9,298.7,409.9,622.7,813.3,1037.5,1332.2,1386.7,1482.9,1645.0,1712.4,1279.7,1547.1,1504.8,1379.1,1346.9,1188.2,1035.2,,654286.4,1244283.0,,588103.4,677504.9,1345041.3,1792851.5,1801792.7,1915865.6,3208047.8,1779870.9,1090008.3,392953.9,469965.0,754174.1,,700558.4,958179.5,403534.9,325092.1,227189.1,371608.3,810371.1,1414069.2,2242705.6,3571998.1,4131991.9,5111256.1,6783826.8,8465770.1,6521633.1,9208127.1,9390660.3,7426043.3,6253316.6,4366970.8,3574101.5
Baseline,1185.6,1155.5,1119.1,1086.3,935.4,798.1,746.1,790.4,719.0,674.5,984.6,676.2,513.4,397.9,252.9,449.3,409.3,453.3,418.3,401.7,387.1,380.7,481.3,547.8,693.3,889.9,1152.4,1223.3,1435.2,1605.4,1709.4,1503.3,1781.3,1445.4,1508.0,1229.3,1164.8,1081.7,22784241.0,13510004.2,8611431.2,6381703.8,4351805.4,2131069.3,1658125.9,2056669.7,2113117.6,2178624.2,8137346.3,2606254.5,1273232.0,558727.7,217354.3,1481231.0,1166144.3,1028642.8,919270.0,513223.1,506509.9,343676.6,505561.9,722656.9,1031538.3,1855871.4,2971581.2,3515389.2,5132225.3,6266768.7,8154805.8,7755146.1,11602795.4,8689982.6,8467600.6,4981882.0,5901329.7,3129300.3
USACE-ERDC_SEIR,,,,,510.3,503.0,617.8,610.3,458.6,456.0,556.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760438.9,811285.7,1295630.0,1433292.9,1181119.2,1038623.7,1986511.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,672.3,820.8,919.0,926.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850394.1,1529112.5,2365344.5,1733570.1,,,,,,,,,,
JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,,,,,,,889.6,,,,1225.2,2278.3,,,1150.6,1038.9,,,1441.8,,,,,,,,,,,,,,,,,,,,,,,,,,1773405.8,,,,4227802.2,14198786.7,,,3361434.6,2254093.5,,,9658813.9
USC-SI_kJalpha,,,,,,,,,,,769.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7161862.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
