,mean_abs_error_2020-08-31_2021-01-16,mean_abs_error_2020-09-07_2021-01-16,mean_abs_error_2020-09-14_2021-01-16,mean_abs_error_2020-09-21_2021-01-16,mean_abs_error_2020-09-28_2021-01-16,mean_abs_error_2020-10-05_2021-01-16,mean_abs_error_2020-10-12_2021-01-16,mean_abs_error_2020-10-19_2021-01-16,mean_abs_error_2020-10-26_2021-01-16,mean_abs_error_2020-11-02_2021-01-16,mean_abs_error_2020-11-09_2021-01-16,mean_abs_error_2020-11-16_2021-01-16,mean_abs_error_2020-11-23_2021-01-16,mean_abs_error_2020-11-30_2021-01-16,mean_abs_error_2020-12-07_2021-01-16,mean_abs_error_2020-12-14_2021-01-16,mean_abs_error_2020-12-21_2021-01-16,mean_abs_error_2020-12-28_2021-01-16,mean_abs_error_2021-01-04_2021-01-16,mean_abs_error_2021-01-11_2021-01-16,mean_sq_abs_error_2020-08-31_2021-01-16,mean_sq_abs_error_2020-09-07_2021-01-16,mean_sq_abs_error_2020-09-14_2021-01-16,mean_sq_abs_error_2020-09-21_2021-01-16,mean_sq_abs_error_2020-09-28_2021-01-16,mean_sq_abs_error_2020-10-05_2021-01-16,mean_sq_abs_error_2020-10-12_2021-01-16,mean_sq_abs_error_2020-10-19_2021-01-16,mean_sq_abs_error_2020-10-26_2021-01-16,mean_sq_abs_error_2020-11-02_2021-01-16,mean_sq_abs_error_2020-11-09_2021-01-16,mean_sq_abs_error_2020-11-16_2021-01-16,mean_sq_abs_error_2020-11-23_2021-01-16,mean_sq_abs_error_2020-11-30_2021-01-16,mean_sq_abs_error_2020-12-07_2021-01-16,mean_sq_abs_error_2020-12-14_2021-01-16,mean_sq_abs_error_2020-12-21_2021-01-16,mean_sq_abs_error_2020-12-28_2021-01-16,mean_sq_abs_error_2021-01-04_2021-01-16,mean_sq_abs_error_2021-01-11_2021-01-16
JCB-PRM,,,,,,,,,,,,,1144.2,843.0,600.8,453.5,328.9,185.9,,,,,,,,,,,,,,,4035731.8,2550675.2,1390817.2,581939.6,307730.1,95111.3,,
Karlen-pypm,,,,,,,,,,,,,,,,368.3,214.9,200.0,187.3,85.4,,,,,,,,,,,,,,,,577122.0,136617.2,188811.6,130472.5,28811.5
LANL-GrowthRate,,,,,,,,,,,,,,,577.9,462.3,476.7,404.8,260.9,84.1,,,,,,,,,,,,,,,1095575.7,802525.0,1171036.5,603693.1,266869.1,18469.3
IHME-CurveFit,1755.9,1634.0,,1539.8,1429.7,,,1252.1,1232.1,,,,769.4,,603.2,629.0,391.8,344.6,,,20683752.0,15029672.3,,9929490.6,9472020.3,,,3578231.7,4222243.1,,,,2319926.6,,879610.7,1111471.2,400297.2,247280.0,,
IowaStateLW-STEM,2559.4,2636.2,2403.8,2398.0,2853.9,2777.9,2705.0,2694.0,2437.5,2196.0,2001.7,1712.4,1051.4,1063.1,802.2,562.7,413.3,262.6,200.4,122.6,13772896.6,13752076.3,12158648.6,13073325.1,16644791.6,16106900.0,15666251.7,15644694.8,13522481.0,11729067.8,10312559.5,8465770.1,4264632.2,3961139.1,2550605.6,1248761.7,629260.7,267783.2,151855.9,41766.8
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,259.7,239.2,183.2,81.7,,,,,,,,,,,,,,,,,242014.5,228997.1,127043.1,24559.2
Covid19Sim-Simulator,2905.5,2701.4,2899.1,2922.2,2681.2,2157.4,2160.2,2359.6,1633.5,1329.4,1205.7,,1177.3,852.4,589.4,506.9,334.8,222.1,301.4,366.1,17166353.6,17788294.4,19429938.3,19418006.8,15912226.0,10845548.5,10439195.2,12890966.8,7634351.6,6304587.6,5257024.6,,4333111.7,2357366.5,1286118.9,997724.0,360351.5,141137.4,277370.6,431508.6
COVIDhub-baseline,,,,,,,,,,,,,1280.0,1258.8,768.7,643.3,398.1,377.3,242.2,88.3,,,,,,,,,,,,,5373731.2,5167920.5,2507094.6,1595790.3,598007.7,596690.0,208220.1,21093.5
OliverWyman-Navigator,,,,,,,,,,,,,,,,,252.5,278.7,185.0,73.1,,,,,,,,,,,,,,,,,187074.6,333552.6,138528.9,10869.5
Google_Harvard-CPF,,,,,,,,,,,,,,,,,275.0,214.0,193.1,84.9,,,,,,,,,,,,,,,,,179062.3,147305.5,143457.2,23688.6
Baseline,2176.0,2151.7,2388.5,2330.2,2313.1,2346.8,2345.5,2339.6,2174.2,2120.1,1948.8,1709.4,1259.1,1282.6,756.5,654.9,393.4,398.5,249.1,85.2,10286989.7,10225838.5,11653797.7,11236070.8,11694853.6,11730712.3,12300446.2,12639421.3,11401765.7,11447736.8,9539050.4,8154805.8,5235776.2,5378138.8,2489926.9,1612142.5,610569.4,676236.7,234242.0,20821.0
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,277.7,286.9,178.7,81.9,,,,,,,,,,,,,,,,,242942.3,246968.8,118655.3,22612.7
COVIDhub-ensemble,,,,,,,,,,,,,,,,,223.0,278.5,244.9,92.9,,,,,,,,,,,,,,,,,174198.5,295084.6,212078.0,30738.6
GT-DeepCOVID,,,,,,,,,,,,,,,,,252.7,305.2,209.6,90.4,,,,,,,,,,,,,,,,,209794.3,305031.9,129673.8,28677.4
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,376.5,232.7,234.9,94.3,,,,,,,,,,,,,,,,,359191.3,308942.6,270011.8,35668.9
Caltech-CS156,,,,,,,,,,,,,,,,,171.2,255.5,252.4,129.2,,,,,,,,,,,,,,,,,83510.7,213555.6,207084.1,63396.4
UCLA-SuEIR,,,,,,,2789.6,2784.9,2674.0,2489.1,2259.7,2164.0,1146.7,1323.6,736.1,681.0,430.4,521.2,273.2,88.7,,,,,,,16439491.8,16483133.0,15513442.6,14445792.9,11803442.8,11337641.1,4809017.6,5558713.7,2340371.9,1798701.1,736196.6,1011761.1,252229.0,19434.9
CovidAnalytics-DELPHI,,,,,,,,,,,,,,,827.6,653.0,313.9,403.5,282.8,137.6,,,,,,,,,,,,,,,3046294.4,2301385.9,331134.0,506416.2,295905.9,78984.0
JHU_IDD-CovidSP,,,,,,,,,,,,,,,867.0,731.3,414.4,283.2,246.4,141.9,,,,,,,,,,,,,,,1834020.5,1397814.8,560990.6,213946.6,173208.5,57929.9
LNQ-ens1,,,,,,,,,,,,,,,,,227.5,447.6,264.5,65.5,,,,,,,,,,,,,,,,,128699.0,515039.9,196658.0,11184.2
USC-SI_kJalpha,,,,,,,,,,,,,,,,,227.3,252.5,292.6,120.8,,,,,,,,,,,,,,,,,205868.4,147052.0,263403.0,43266.4
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,237.2,346.8,252.4,104.1,,,,,,,,,,,,,,,,,234267.8,357557.0,205962.4,44770.9
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,349.9,291.4,257.4,92.6,,,,,,,,,,,,,,,,,355947.4,346984.8,230301.1,30718.8
UMass-MechBayes,,,,,,,,,,,,,,,,,225.6,392.0,248.6,105.6,,,,,,,,,,,,,,,,,172585.6,418571.3,214495.0,41515.7
JHUAPL-Bucky,,,,,,,,,,,,2278.3,1372.3,870.5,595.7,440.6,584.3,587.3,357.5,316.1,,,,,,,,,,,,14198786.7,9366741.2,1711909.0,1055024.7,428806.0,1164857.0,753967.7,527825.4,418568.7
CMU-TimeSeries,,,,,,,,,,,,,,,,,271.7,360.2,246.3,123.5,,,,,,,,,,,,,,,,,173652.6,565476.8,189441.5,55607.1
BPagano-RtDriven,,,,,,,,,1653.3,,,,,,,,338.8,223.8,278.3,242.0,,,,,,,,,6102257.1,,,,,,,,313534.8,137871.0,401084.5,282379.7
Columbia_UNC-SurvCon,,,,,,,,,,,,,7949.5,1638.9,1193.5,658.9,641.0,290.6,337.3,,,,,,,,,,,,,,243245841.6,11214180.8,3331495.5,1262214.5,2417788.4,217456.0,361236.3,
CEID-Walk,,,,,,,,,,,,,,,,,,375.1,242.9,90.1,,,,,,,,,,,,,,,,,,565562.2,197843.4,22028.2
AIpert-pwllnod,,,,,,,,,,,,,,,,,562.5,460.1,205.8,93.0,,,,,,,,,,,,,,,,,1029842.6,1185625.0,124401.4,22751.9
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,185.2,85.0,,,,,,,,,,,,,,,,,,,133156.1,14143.5
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,547.8,430.2,240.5,93.8,,,,,,,,,,,,,,,,,893616.9,712842.0,164077.2,25706.9
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,268.8,355.1,305.4,175.8,,,,,,,,,,,,,,,,,238326.9,379858.5,318856.8,98646.5
Wadhwani_AI-BayesOpt,,,,,,,,,,,,,,,980.3,874.7,726.8,,236.6,,,,,,,,,,,,,,,,3057402.1,2395924.2,1349811.6,,220293.4,
UCSB-ACTS,,,,,,,,,,,,,,,,,395.5,299.0,300.2,139.7,,,,,,,,,,,,,,,,,396369.7,221013.4,232981.5,59634.5
DDS-NBDS,,,,,,,,,,,,,,,,,454.0,422.3,290.8,94.1,,,,,,,,,,,,,,,,,810756.1,562876.5,287017.5,20907.4
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,415.6,296.4,,111.2,,,,,,,,,,,,,,,,,822906.2,674673.0,,50095.8
PSI-DRAFT,,,,,,,,,,,,,,,1356.7,1381.4,597.4,411.5,282.7,132.2,,,,,,,,,,,,,,,10730973.9,12231747.4,1381219.6,487535.2,276455.8,66539.5
NotreDame-mobility,,,,,,,,,,,,,,,1256.0,1233.0,,,,,,,,,,,,,,,,,,,5482513.5,5217058.6,,,,
RobertWalraven-ESG,,,,,,,,,,,,,,,,,398.2,543.8,349.3,108.6,,,,,,,,,,,,,,,,,471052.1,935619.6,366207.4,35367.6
UT-Mobility,,,,,,,,,,,,,,,,,404.9,,,101.0,,,,,,,,,,,,,,,,,401616.7,,,27642.5
UA-EpiCovDA,,,,,,,,,,,,,,,,,523.0,649.4,318.0,106.0,,,,,,,,,,,,,,,,,978243.5,1192536.8,346194.6,27648.7
CU-select,,,,,,,,,,,,,,,,,451.7,481.7,433.7,188.3,,,,,,,,,,,,,,,,,787307.8,766138.5,571535.2,134763.2
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,101.5,,,,,,,,,,,,,,,,,,,,28875.7
TTU-squider,,,,,,,,,,,,,,,,,500.2,502.3,392.7,388.7,,,,,,,,,,,,,,,,,676483.8,687681.6,378426.6,364923.1
WalmartLabsML-LogForecasting,,,,,,,,,,,,,2350.9,2163.7,1852.5,1517.3,1218.5,,649.5,317.9,,,,,,,,,,,,,12278641.4,10720357.3,8317625.7,6028552.8,4107284.9,,1302110.2,308970.3
MITCovAlliance-SIR,,,,,,,,,,,,,,,,,,,389.3,194.4,,,,,,,,,,,,,,,,,,,753179.0,196913.5
USACE-ERDC_SEIR,,,,,,,,,,,,,1771.1,1710.0,,,,,,,,,,,,,,,,,,,11065831.2,11407740.2,,,,,,
