,perc_error_2020-08-03_2020-12-19,perc_error_2020-08-10_2020-12-19,perc_error_2020-08-17_2020-12-19,perc_error_2020-08-24_2020-12-19,perc_error_2020-08-31_2020-12-19,perc_error_2020-09-07_2020-12-19,perc_error_2020-09-14_2020-12-19,perc_error_2020-09-21_2020-12-19,perc_error_2020-09-28_2020-12-19,perc_error_2020-10-05_2020-12-19,perc_error_2020-10-12_2020-12-19,perc_error_2020-10-19_2020-12-19,perc_error_2020-10-26_2020-12-19,perc_error_2020-11-02_2020-12-19,perc_error_2020-11-09_2020-12-19,perc_error_2020-11-16_2020-12-19,perc_error_2020-11-23_2020-12-19,perc_error_2020-11-30_2020-12-19,perc_error_2020-12-07_2020-12-19,perc_error_2020-12-14_2020-12-19
Columbia_UNC-SurvCon,,,,,,,,,,,,,-0.148,-0.118,0.078,-0.028,0.062,-0.187,-0.144,0.042
BPagano-RtDriven,,,,,,,,,,-0.586,-0.457,-0.289,-0.266,-0.318,-0.237,-0.181,-0.026,-0.153,0.000,0.078
QJHong-Encounter,,,,,,,,,,,,,-0.352,-0.317,-0.274,-0.113,-0.062,-0.121,-0.162,-0.134
JCB-PRM,,,,,,,,,,,,,-0.363,-0.381,-0.353,-0.188,-0.101,-0.176,-0.121,-0.072
Karlen-pypm,,,,,,,,,,,,,,,,0.164,0.063,-0.145,-0.103,-0.089
LANL-GrowthRate,,,,,,,,,,,,,,,-0.263,-0.204,-0.312,-0.449,-0.097,-0.011
IBF-TimeSeries,,,,,,,,,,,,,-0.414,-0.420,-0.359,-0.300,-0.162,-0.259,-0.003,0.291
USC-SI_kJalpha,,,,,,,,,,,,,-0.350,-0.344,-0.310,,0.051,-0.202,-0.191,-0.111
JHUAPL-Bucky,,,,,,,,,,,-0.585,,-0.327,-0.416,-0.335,0.175,-0.104,-0.252,-0.197,-0.307
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,-0.052,-0.242,-0.133,-0.026
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,-0.121,-0.238,-0.078,-0.057
OliverWyman-Navigator,,,,,,,,,,,,,,,,,-0.108,-0.133,-0.136,-0.053
LNQ-ens1,,,,,,,,,,,,,,,,,-0.077,-0.348,-0.039,0.065
Covid19Sim-Simulator,-0.365,,-0.671,-0.765,-0.669,-0.655,-0.689,-0.756,-0.692,-0.409,-0.428,-0.626,-0.209,-0.225,-0.130,,0.020,0.109,-0.514,-0.927
IowaStateLW-STEM,-0.437,,-0.494,-0.446,-0.440,-0.515,-0.442,-0.487,-0.721,-0.581,-0.598,-0.658,-0.588,-0.561,-0.560,-0.464,-0.214,-0.294,-0.158,0.061
PSI-DRAFT,,,,,,,,,,,,,,,-0.546,-0.172,-0.222,-0.476,-0.254,0.038
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,-0.142,-0.257,-0.110,-0.094
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,-0.221,-0.135,-0.159,-0.061
CovidAnalytics-DELPHI,,,,,,,,,,,,,,,-0.460,-0.335,-0.140,-0.249,-0.268,0.362
TTU-squider,,,,,,,,,,,,,,,,,-0.118,0.008,-0.226,0.114
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,0.079,0.027,-0.199,-0.138
UCLA-SuEIR,,,,,,,-0.676,-0.666,-0.676,-0.624,-0.618,-0.629,-0.649,-0.583,-0.495,-0.450,-0.310,-0.477,-0.123,-0.149
MSRA-DeepST,,,,,,,,,,,,,,,,,-0.142,-0.240,-0.139,
UMass-MechBayes,,,,,,,,,,,,,,,,,0.101,-0.282,-0.130,-0.172
GT-DeepCOVID,,,,,,,,,,,,,,,,,-0.184,-0.246,-0.136,-0.140
COVIDhub-ensemble,,,,,,,,,,,,,,,,,-0.148,-0.288,-0.160,-0.104
RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,-0.415,-0.175,-0.124,-0.159
COVIDhub-baseline,,,,,,,,,,,,,-0.531,-0.560,-0.529,-0.492,-0.355,-0.427,-0.177,-0.128
UT-Mobility,,,,,,,,,,,,,,,,,-0.220,-0.363,-0.144,-0.124
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,-0.361,-0.370,-0.197,0.002
Caltech-CS156,,,,,,,,,,,,,,,,,-0.184,-0.295,-0.182,-0.138
Baseline,-0.048,-0.120,-0.158,-0.210,-0.279,-0.334,-0.439,-0.424,-0.464,-0.515,-0.530,-0.568,-0.540,-0.555,-0.529,-0.489,-0.345,-0.444,-0.192,-0.177
JHU_IDD-CovidSP,,,,,,,,,,,,,,,-0.677,-0.223,-0.220,-0.365,-0.415,-0.529
RobertWalraven-ESG,,,,,,,,,,,,,,,,,-0.017,-0.678,0.357,-0.127
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,0.086,-0.077
CU-select,,,,,,,,,,,,,,,,,-0.226,-0.412,-0.298,-0.069
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,-0.128,0.072
CEID-Walk,,,,,,,,,,,,,,,,,-0.360,-0.409,-0.180,-0.121
UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,,-0.550,-0.578,-0.532,0.086,0.348
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,0.472,-0.420,-0.151,-0.307
IHME-CurveFit,-0.228,0.066,,0.212,0.261,0.419,,0.100,0.101,,,-0.296,-0.285,,,,-0.187,,-0.157,-0.684
UA-EpiCovDA,,,,,,,,,,,,,,,,,-0.253,-0.420,-0.258,-0.165
NotreDame-mobility,,,,,,,,,,,,,,,-0.574,-0.388,-0.442,-0.459,-0.396,-0.533
DDS-NBDS,,,,,,,,,,,,,,,,,-0.363,-0.492,-0.203,0.117
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,-0.094
WalmartLabsML-LogForecasting,,,,,,,,,,,,,-0.743,-0.750,-0.759,-0.757,-0.749,-0.749,-0.727,-0.688
USACE-ERDC_SEIR,,,,,,,,,,,,,0.068,,,0.864,0.925,0.915,,
STH-3PU,0.283,-0.352,-0.368,-0.391,-0.409,-0.786,-0.493,-0.526,,-0.575,-0.581,-0.600,-0.640,-0.614,,,,,,
