,perc_error_2020-08-10_2020-12-26,perc_error_2020-08-17_2020-12-26,perc_error_2020-08-24_2020-12-26,perc_error_2020-08-31_2020-12-26,perc_error_2020-09-07_2020-12-26,perc_error_2020-09-14_2020-12-26,perc_error_2020-09-21_2020-12-26,perc_error_2020-09-28_2020-12-26,perc_error_2020-10-05_2020-12-26,perc_error_2020-10-12_2020-12-26,perc_error_2020-10-19_2020-12-26,perc_error_2020-10-26_2020-12-26,perc_error_2020-11-02_2020-12-26,perc_error_2020-11-09_2020-12-26,perc_error_2020-11-16_2020-12-26,perc_error_2020-11-23_2020-12-26,perc_error_2020-11-30_2020-12-26,perc_error_2020-12-07_2020-12-26,perc_error_2020-12-14_2020-12-26,perc_error_2020-12-21_2020-12-26
QJHong-Encounter,,,,,,,,,,,,-0.361,-0.320,-0.269,-0.069,0.002,-0.073,-0.101,-0.017,0.135
JCB-PRM,,,,,,,,,,,,,-0.392,-0.373,-0.144,-0.034,-0.104,-0.037,0.054,0.246
Karlen-pypm,,,,,,,,,,,,,,,,0.178,-0.083,-0.015,0.029,0.185
JHUAPL-Bucky,,,,,,,,,,-0.616,,,-0.422,-0.330,0.350,0.045,-0.216,-0.126,-0.137,0.032
Columbia_UNC-SurvCon,,,,,,,,,,,,,-0.007,0.236,0.140,0.150,-0.216,-0.109,0.085,0.262
CovidAnalytics-DELPHI,,,,,,,,,,,,,,-0.459,-0.312,-0.103,-0.201,-0.206,0.143,0.026
RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,-0.104,-0.020,-0.091,-0.055
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,0.005,-0.015,0.040,0.228
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,-0.201,-0.025,0.021,0.165
PSI-DRAFT,,,,,,,,,,,,,,,-0.083,-0.152,-0.456,-0.168,0.229,0.067
UMass-MechBayes,,,,,,,,,,,,,,,,,-0.266,-0.045,0.017,0.057
IBF-TimeSeries,,,,,,,,,,,,,-0.445,-0.378,-0.312,-0.172,-0.264,-0.003,0.204,0.552
GT-DeepCOVID,,,,,,,,,,,,,,,,,-0.225,-0.079,-0.038,0.089
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,-0.181,0.009,0.061,0.205
OliverWyman-Navigator,,,,,,,,,,,,,,,,,-0.085,-0.082,0.051,0.158
LANL-GrowthRate,,,,,,,,,,,,,,,-0.228,-0.337,-0.457,-0.030,0.102,0.273
BPagano-RtDriven,,,,,,,,,-0.600,-0.473,-0.315,-0.289,-0.333,-0.249,-0.176,,-0.125,0.085,0.224,0.249
USC-SI_kJalpha,,,,,,,,,,,,,-0.373,-0.348,,,-0.189,-0.124,0.013,0.217
UCLA-SuEIR,,,,,,,-0.693,-0.702,-0.652,-0.644,-0.653,-0.671,-0.600,-0.502,-0.446,-0.305,-0.474,-0.103,-0.116,0.107
IHME-CurveFit,0.053,,0.202,0.232,0.384,,0.148,0.119,,,-0.279,-0.270,,,,-0.144,,-0.059,-0.387,0.001
