,perc_error_2020-04-20_2020-05-09,perc_error_2020-04-27_2020-05-09,perc_error_2020-05-04_2020-05-09
Baseline,0.080,0.057,-0.017
CU-select,0.235,-0.052,-0.209
COVIDhub-baseline,0.331,0.098,0.013
YYG-ParamSearch,-0.248,-0.083,-0.118
LANL-GrowthRate,,0.224,-0.008
UMass-ExpertCrowd,-0.395,,
MOBS-GLEAM_COVID,-0.418,-0.376,-0.162
COVIDhub-ensemble,,-0.231,-0.213
IHME-CurveFit,-0.423,-0.475,0.321
GT-DeepCOVID,,,-0.022
Imperial-combined,,,0.049
CovidAnalytics-DELPHI,,,-0.119
UCLA-SuEIR,,,-0.135
UT-Mobility,-0.592,-0.550,-0.734
Geneva-DetGrowth,,,-0.414
JHU_IDD-CovidSP,,0.648,
IowaStateLW-STEM,,,-0.472
