,perc_error_2020-09-21_2021-02-06,perc_error_2020-09-28_2021-02-06,perc_error_2020-10-05_2021-02-06,perc_error_2020-10-12_2021-02-06,perc_error_2020-10-19_2021-02-06,perc_error_2020-10-26_2021-02-06,perc_error_2020-11-02_2021-02-06,perc_error_2020-11-09_2021-02-06,perc_error_2020-11-16_2021-02-06,perc_error_2020-11-23_2021-02-06,perc_error_2020-11-30_2021-02-06,perc_error_2020-12-07_2021-02-06,perc_error_2020-12-14_2021-02-06,perc_error_2020-12-21_2021-02-06,perc_error_2020-12-28_2021-02-06,perc_error_2021-01-04_2021-02-06,perc_error_2021-01-11_2021-02-06,perc_error_2021-01-18_2021-02-06,perc_error_2021-01-25_2021-02-06,perc_error_2021-02-01_2021-02-06
QJHong-Encounter,,,,,,,,,,,,,,-0.052,-0.055,-0.032,-0.081,-0.021,-0.069,-0.041
Columbia_UNC-SurvCon,,,,,,,,,,,,,0.424,0.794,-0.031,-0.234,-0.012,0.117,0.002,-0.026
COVIDhub-baseline,,,,,,,,,,,,,-0.201,-0.133,-0.278,-0.184,-0.002,0.076,-0.004,0.047
Baseline,-0.598,-0.624,-0.657,-0.664,-0.686,-0.659,-0.662,-0.631,-0.585,-0.452,-0.504,-0.252,-0.198,-0.135,-0.300,-0.187,0.003,0.047,-0.034,-0.023
UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,,-0.161,0.033,-0.009,0.006,0.068
CEID-Walk,,,,,,,,,,,,,,,,,0.002,0.038,-0.003,0.030
JHU_IDD-CovidSP,,,,,,,,,,,,,,,-0.008,-0.094,-0.076,-0.051,-0.179,-0.420
IowaStateLW-STEM,-0.659,-0.818,-0.722,-0.730,-0.768,-0.716,-0.680,-0.668,-0.581,-0.363,-0.405,-0.295,-0.037,-0.020,-0.067,-0.295,-0.144,0.087,-0.012,0.078
JCB-PRM,,,,,,,,,,,,,0.331,0.356,0.106,,,,,
Karlen-pypm,,,,,,,,,,,,,,,,-0.154,-0.037,-0.029,-0.104,-0.116
LANL-GrowthRate,,,,,,,,,,,,,,,0.059,-0.260,0.159,0.129,-0.032,-0.101
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,-0.147,-0.045,-0.026,0.004
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,0.025,0.095,-0.029,-0.034
PSI-DRAFT,,,,,,,,,,,,,,,-0.219,-0.214,-0.062,-0.075,0.125,0.121
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,0.061,0.126,-0.010,-0.011
COVIDhub-ensemble,,,,,,,,,,,,,,,,,-0.028,0.060,-0.058,-0.041
USC-SI_kJalpha,,,,,,,,,,,,,,,,,-0.051,0.219,0.021,-0.013
SigSci-TS,,,,,,,,,,,,,,,,,-0.096,-0.046,-0.035,-0.047
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,0.076,0.077,0.060,0.033
GT-DeepCOVID,,,,,,,,,,,,,,,,,-0.027,0.070,-0.086,-0.140
UMass-MechBayes,,,,,,,,,,,,,,,,,0.033,-0.014,-0.149,-0.140
LNQ-ens1,,,,,,,,,,,,,,,,,0.159,0.141,0.050,-0.024
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,-0.031,0.051,-0.126,-0.162
IBF-TimeSeries,,,,,,,,,,,,,-0.035,-0.026,-0.165,-0.048,0.152,0.230,0.231,0.559
CovidAnalytics-DELPHI,,,,,,,,,,,,,,,-0.294,-0.343,-0.092,0.261,-0.065,-0.139
IHME-CurveFit,0.013,0.018,,,-0.272,-0.294,,,,-0.190,,-0.077,-0.259,0.069,0.092,,,0.084,-0.041,-0.379
