,mean_abs_error_2020-04-20_2020-04-25,mean_sq_abs_error_2020-04-20_2020-04-25
Baseline_0.98,52.5,16703.9
Baseline,55.7,23619.1
IHME-CurveFit,66.1,27411.5
YYG-ParamSearch,68.3,24662.0
LANL-GrowthRate,94.9,87070.8
CU-select,172.1,225264.0
UT-Mobility,176.6,678482.9
MOBS_NEU-GLEAM_COVID,211.7,199849.9
