,perc_error_2020-04-20_2020-07-25,perc_error_2020-04-27_2020-07-25,perc_error_2020-05-04_2020-07-25,perc_error_2020-05-11_2020-07-25,perc_error_2020-05-18_2020-07-25,perc_error_2020-05-25_2020-07-25,perc_error_2020-06-01_2020-07-25,perc_error_2020-06-08_2020-07-25,perc_error_2020-06-15_2020-07-25,perc_error_2020-06-22_2020-07-25,perc_error_2020-06-29_2020-07-25,perc_error_2020-07-06_2020-07-25,perc_error_2020-07-13_2020-07-25,perc_error_2020-07-20_2020-07-25
USACE-ERDC_SEIR,,,,,-0.486,-0.505,-0.534,-0.525,-0.238,-0.213,-0.263,0.014,0.074,-0.034
OliverWyman-Navigator,,,,,,,,,,,0.029,-0.193,-0.001,-0.099
CovidAnalytics-DELPHI,,,,,,,,,,-0.185,-0.021,0.345,0.209,0.042
UMass-MechBayes,,,,,,,,,,,0.220,-0.119,-0.011,-0.132
Baseline,0.974,0.993,0.981,0.992,0.808,0.552,0.312,0.239,0.050,-0.161,0.091,-0.392,-0.149,-0.236
UT-Mobility,,,,,,,,,,,-0.126,-0.245,0.124,0.098
COVIDhub-ensemble,,,,,,,,,,,0.071,-0.257,-0.117,-0.151
GT-DeepCOVID,,,,,,,,,,,0.068,-0.603,0.016,-0.037
YYG-ParamSearch,,,,,0.696,0.464,0.232,0.153,0.021,-0.216,-0.198,-0.353,-0.202,-0.217
COVIDhub-baseline,,,,,,,,,,,0.117,-0.383,-0.149,-0.176
IowaStateLW-STEM,,,-0.474,,-0.406,-0.266,-0.299,-0.416,-0.288,-0.328,-0.682,0.120,-0.150,-0.194
Columbia_UNC-SurvCon,,,,,,,,,,,,0.137,0.180,0.041
IHME-CurveFit,-0.760,-0.800,-0.140,-0.120,-0.048,,-0.286,-0.124,-0.044,-0.180,-0.210,-0.275,,-0.137
JHU_IDD-CovidSP,,,,,,,,,,,0.419,0.184,-0.045,-0.242
LANL-GrowthRate,,,,,,,,-0.216,-0.120,-0.107,-0.120,-0.465,-0.267,-0.302
USC-SI_kJalpha,,,,,,,,,,,0.208,0.512,0.482,0.031
UA-EpiCovDA,,,,,,,,,,,0.043,-0.465,-0.280,-0.203
CU-select,,,,,,,,,,,1.643,0.446,-0.079,-0.105
MOBS-GLEAM_COVID,,,,,,,,,,,-0.369,-0.275,-0.243,0.157
PSI-DRAFT,,,,,,,,,0.017,-0.215,-0.276,-0.413,-0.286,-0.332
Covid19Sim-Simulator,,,,,,-0.453,-0.551,-0.582,-0.178,-0.217,-0.246,-0.225,-0.438,-0.738
QJHong-Encounter,,,,,,,,,,,,0.427,0.255,-0.041
UCLA-SuEIR,,,-0.389,-0.231,-0.165,-0.330,-0.423,-0.403,-0.510,-0.527,-0.380,-0.442,-0.179,-0.236
NotreDame-mobility,,,,,,,,,,-0.666,-0.041,-0.533,-0.378,-0.434
Geneva-DetGrowth,,,,,,,,,,,,,,0.022
Auquan-SEIR,,,,,,,,,,,-0.320,-0.232,,
CovidActNow-SEIR_CAN,,,,,,,,,,,,-0.071,,
MITCovAlliance-SIR,,,,,,,,,,,-0.132,-0.506,-0.732,-1.215
LNQ-ens1,,,,,,,,,,,,,,0.092
epiforecasts-ensemble1,,,,,,,,,,,-0.226,-0.555,-0.626,-1.103
RobertWalraven-ESG,,,,,,,,,,,,-1.124,-1.441,-0.107
UMich-RidgeTfReg,,,,,,,,,,,,-0.589,-0.361,-0.352
STH-3PU,,,,,,,,,-0.916,-0.947,-0.940,-0.918,-0.901,-0.297
SWC-TerminusCM,,,,,,,,,,,-0.464,,,
